voter_reg_num,county_desc,race,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000000039915,ANSON,UNDESIGNATED,U,67,MORVEN,NC,28119,UNA,0,1,1
000000039319,ANSON,WHITE,F,22,WADESBORO,NC,28170,UNA,0,1,1
000000042789,ANSON,WHITE,M,20,WADESBORO,NC,28170,REP,0,0,1
000000038830,ANSON,WHITE,F,23,WADESBORO,NC,28170,REP,0,1,1
000000035528,ANSON,UNDESIGNATED,U,54,WADESBORO,NC,28170,REP,1,1,1
000000041421,ANSON,WHITE,M,22,WADESBORO,NC,28170,REP,0,0,1
000000037476,ANSON,WHITE,M,24,WADESBORO,NC,28170,REP,0,1,1
000000035529,ANSON,UNDESIGNATED,U,55,WADESBORO,NC,28170,REP,1,1,1
000000038588,ANSON,WHITE,M,57,MARSHVILLE,NC,28103,REP,1,1,1
000000044757,ANSON,WHITE,F,33,WADESBORO,NC,28170,REP,0,1,1
000000045086,ANSON,UNDESIGNATED,M,34,WADESBORO,NC,28170,DEM,0,0,1
000000037929,ANSON,UNDESIGNATED,U,72,LILESVILLE,NC,28091,UNA,0,1,1
000000024176,ANSON,WHITE,M,86,WADESBORO,NC,28170,UNA,1,1,1
000000015055,ANSON,WHITE,F,72,WADESBORO,NC,28170,UNA,1,1,1
000000005786,ANSON,WHITE,M,83,MORVEN,NC,28119,DEM,1,1,1
000000020858,ANSON,BLACK or AFRICAN AMERICAN,F,86,LILESVILLE,NC,28091,DEM,1,1,1
000000038507,ANSON,WHITE,F,23,WADESBORO,NC,28170,UNA,0,1,1
000000039276,ANSON,WHITE,F,22,WADESBORO,NC,28170,UNA,0,1,1
000000006045,ANSON,WHITE,M,81,POLKTON,NC,28135,UNA,1,1,1
000000042721,ANSON,WHITE,F,20,WADESBORO,NC,28170,UNA,0,0,1
000000013756,ANSON,BLACK or AFRICAN AMERICAN,F,50,WADESBORO,NC,28170,DEM,1,1,1
000000038015,ANSON,WHITE,M,81,WADESBORO,NC,28170,REP,0,1,1
000000031429,ANSON,UNDESIGNATED,U,33,MORVEN,NC,28119,UNA,1,1,1
000000005219,ANSON,BLACK or AFRICAN AMERICAN,M,58,WADESBORO,NC,28170,DEM,1,1,1
000000011528,ANSON,WHITE,M,68,POLKTON,NC,28135,DEM,1,1,1
000000043089,ANSON,WHITE,F,61,POLKTON,NC,28135,UNA,1,1,1
000000009487,ANSON,WHITE,F,71,WADESBORO,NC,28170,UNA,1,1,1
000000020735,ANSON,WHITE,M,47,WADESBORO,NC,28170,UNA,1,1,1
000000005791,ANSON,WHITE,F,82,MORVEN,NC,28119,DEM,1,1,1
000000031585,ANSON,OTHER,F,47,WADESBORO,NC,28170,UNA,1,1,1
000000001543,ANSON,WHITE,F,81,MORVEN,NC,28119,DEM,0,1,1
000000005795,ANSON,WHITE,F,79,MORVEN,NC,28119,DEM,1,1,1
000000006046,ANSON,WHITE,F,84,POLKTON,NC,28135,UNA,1,1,1
000000001544,ANSON,WHITE,F,60,MORVEN,NC,28119,REP,1,1,1
000000019694,ANSON,WHITE,M,45,WADESBORO,NC,28170,UNA,1,1,1
000000029544,ANSON,BLACK or AFRICAN AMERICAN,F,50,WADESBORO,NC,28170,UNA,0,1,1
000000019155,ANSON,WHITE,M,73,WADESBORO,NC,28170,UNA,1,1,1
000000005799,ANSON,WHITE,M,77,MORVEN,NC,28119,DEM,1,1,1
000000023414,ANSON,WHITE,M,75,LILESVILLE,NC,28091,UNA,1,1,1
000000040288,ANSON,WHITE,M,78,WADESBORO,NC,28170,DEM,0,1,1
000000044949,ANSON,UNDESIGNATED,U,61,WADESBORO,NC,28170,UNA,0,0,0
000000042856,ANSON,WHITE,F,28,WADESBORO,NC,28170,UNA,0,0,1
000000042855,ANSON,WHITE,M,30,WADESBORO,NC,28170,UNA,0,0,1
000000038065,ANSON,UNDESIGNATED,U,65,POLKTON,NC,28135,REP,0,1,1
000000041457,ANSON,OTHER,M,45,WADESBORO,NC,28170,DEM,0,1,1
000000040474,ANSON,WHITE,F,50,POLKTON,NC,28135,UNA,0,1,1
000000040541,ANSON,UNDESIGNATED,U,76,WADESBORO,NC,28170,DEM,0,1,1
000000040263,ANSON,WHITE,F,65,LILESVILLE,NC,28091,DEM,1,1,1
000000038037,ANSON,WHITE,M,70,LILESVILLE,NC,28091,REP,1,1,1
000000032796,ANSON,WHITE,F,56,POLKTON,NC,28135,REP,1,1,1
000000030943,ANSON,WHITE,M,60,POLKTON,NC,28135,REP,1,1,1
000000038051,ANSON,BLACK or AFRICAN AMERICAN,F,42,WADESBORO,NC,28170,UNA,1,1,1
000000044925,ANSON,UNDESIGNATED,U,50,WADESBORO,NC,28170,REP,0,1,1
000000023833,ANSON,WHITE,M,38,PEACHLAND,NC,28133,UNA,1,1,1
000000007315,ANSON,WHITE,F,72,PEACHLAND,NC,28133,UNA,1,1,1
000000013143,ANSON,WHITE,F,92,PEACHLAND,NC,28133,UNA,1,1,1
000000016674,ANSON,WHITE,M,70,PEACHLAND,NC,28133,UNA,1,1,1
000000016675,ANSON,WHITE,F,63,PEACHLAND,NC,28133,UNA,1,1,1
000000034679,ANSON,WHITE,M,72,WADESBORO,NC,28170,REP,1,1,1
000000035851,ANSON,BLACK or AFRICAN AMERICAN,M,51,POLKTON,NC,28135,DEM,1,1,1
000000038847,ANSON,UNDESIGNATED,U,58,WADESBORO,NC,28170,REP,1,1,1
000000037964,ANSON,BLACK or AFRICAN AMERICAN,M,40,WADESBORO,NC,28170,DEM,0,0,1
000000040280,ANSON,WHITE,F,51,POLKTON,NC,28135,UNA,0,1,1
000000024418,ANSON,WHITE,F,61,MORVEN,NC,28119,REP,1,1,1
000000043219,ANSON,BLACK or AFRICAN AMERICAN,M,45,WADESBORO,NC,28170,UNA,0,0,1
000000032040,ANSON,UNDESIGNATED,U,33,MORVEN,NC,28119,REP,1,1,1
000000042562,ANSON,UNDESIGNATED,U,69,LILESVILLE,NC,28091,DEM,0,0,1
000000039870,ANSON,BLACK or AFRICAN AMERICAN,U,50,WADESBORO,NC,28170,DEM,0,1,1
000000005058,ANSON,BLACK or AFRICAN AMERICAN,F,57,LILESVILLE,NC,28091,DEM,1,1,1
000000039591,ANSON,BLACK or AFRICAN AMERICAN,M,66,LILESVILLE,NC,28091,DEM,1,1,1
000000000004,ANSON,WHITE,F,72,ANSONVILLE,NC,28007,REP,1,1,1
