voter_reg_num,county_desc,race,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000000020290,AVERY,WHITE,M,81,NEWLAND,NC,28657,REP,1,1,1
000000034274,AVERY,WHITE,M,84,NEWLAND,NC,28657,REP,0,0,1
000000029893,AVERY,WHITE,M,66,NEWLAND,NC,28657,REP,0,1,1
000000014587,AVERY,WHITE,F,76,NEWLAND,NC,28657,REP,1,1,1
000000031220,AVERY,WHITE,M,66,BANNER ELK,NC,28604,UNA,0,0,1
000000031231,AVERY,WHITE,M,30,BANNER ELK,NC,28604,UNA,1,1,1
000000031682,AVERY,WHITE,F,22,LINVILLE,NC,28646,UNA,0,0,1
000000033319,AVERY,WHITE,F,23,NEWLAND,NC,28657,DEM,0,0,1
000000033320,AVERY,WHITE,F,49,NEWLAND,NC,28657,DEM,0,0,1
000000033327,AVERY,WHITE,M,19,NEWLAND,NC,28657,REP,0,0,1
000000033321,AVERY,WHITE,M,52,NEWLAND,NC,28657,DEM,0,0,1
000000028344,AVERY,WHITE,F,52,BANNER ELK,NC,28604,DEM,0,1,1
000000027681,AVERY,WHITE,M,68,LINVILLE,NC,28646,REP,1,1,1
000000034203,AVERY,WHITE,M,18,NEWLAND,NC,28657,REP,0,0,1
000000027682,AVERY,WHITE,F,75,LINVILLE,NC,28646,REP,1,1,1
000000018904,AVERY,WHITE,F,64,BANNER ELK,NC,28604,REP,1,1,1
000000014665,AVERY,WHITE,M,69,BANNER ELK,NC,28604,REP,1,1,1
000000028502,AVERY,WHITE,M,54,NEWLAND,NC,28657,UNA,0,1,1
000000028374,AVERY,WHITE,F,54,NEWLAND,NC,28657,REP,1,1,1
000000030028,AVERY,WHITE,F,67,ELK PARK,NC,28622,REP,0,1,1
000000034615,AVERY,UNDESIGNATED,U,42,SPRUCE PINE,NC,28777,REP,0,0,1
000000034614,AVERY,UNDESIGNATED,U,39,NEWLAND,NC,28657,REP,0,0,1
000000031816,AVERY,WHITE,F,73,NEWLAND,NC,28657,UNA,1,0,1
000000031456,AVERY,WHITE,F,58,LINVILLE,NC,28646,REP,0,1,1
000000030873,AVERY,WHITE,F,60,NEWLAND,NC,28657,REP,1,1,1
000000031619,AVERY,WHITE,M,61,NEWLAND,NC,28657,REP,1,1,1
000000027356,AVERY,WHITE,M,46,BANNER ELK,NC,28604,UNA,0,1,1
000000030237,AVERY,WHITE,M,27,NEWLAND,NC,28657,UNA,1,1,1
