voter_reg_num,county_desc,race,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000000078704,BEAUFORT,UNDESIGNATED,U,58,WASHINGTON,NC,27889,UNA,0,0,1
000000078705,BEAUFORT,WHITE,M,67,WASHINGTON,NC,27889,UNA,1,1,1
000000085587,BEAUFORT,WHITE,M,64,WASHINGTON,NC,27889,REP,0,0,1
000000085270,BEAUFORT,WHITE,F,70,WASHINGTON,NC,27889,REP,0,0,1
000000008356,BEAUFORT,BLACK or AFRICAN AMERICAN,F,75,CHOCOWINITY,NC,27817,DEM,1,1,1
000000008358,BEAUFORT,BLACK or AFRICAN AMERICAN,M,75,CHOCOWINITY,NC,27817,DEM,1,1,1
000000000143,BEAUFORT,WHITE,F,81,WASHINGTON,NC,27889,REP,1,1,1
000000084626,BEAUFORT,WHITE,M,20,PINETOWN,NC,27865,REP,0,0,1
000000076584,BEAUFORT,UNDESIGNATED,U,40,PINETOWN,NC,27865,UNA,0,1,1
000000068316,BEAUFORT,WHITE,F,59,PINETOWN,NC,27865,UNA,0,0,1
000000070846,BEAUFORT,WHITE,F,75,BATH,NC,27808,UNA,0,1,1
000000058377,BEAUFORT,WHITE,F,36,PINETOWN,NC,27865,UNA,1,1,1
000000078035,BEAUFORT,WHITE,F,28,BELHAVEN,NC,27810,REP,0,0,1
000000078034,BEAUFORT,WHITE,F,56,BELHAVEN,NC,27810,REP,0,0,1
000000085284,BEAUFORT,WHITE,F,23,WASHINGTON,NC,27889,REP,0,0,1
000000085314,BEAUFORT,WHITE,M,24,WASHINGTON,NC,27889,REP,0,0,1
000000084346,BEAUFORT,WHITE,F,45,WASHINGTON,NC,27889,REP,0,0,1
000000078436,BEAUFORT,OTHER,M,47,WASHINGTON,NC,27889,REP,0,0,1
000000084345,BEAUFORT,WHITE,M,18,WASHINGTON,NC,27889,REP,0,0,1
000000085023,BEAUFORT,WHITE,M,56,CHOCOWINITY,NC,27817,REP,0,0,1
000000081937,BEAUFORT,WHITE,F,20,WASHINGTON,NC,27889,UNA,0,0,1
000000044943,BEAUFORT,WHITE,M,52,WASHINGTON,NC,27889,UNA,1,1,1
000000039782,BEAUFORT,WHITE,F,53,WASHINGTON,NC,27889,UNA,1,1,1
000000053721,BEAUFORT,WHITE,M,79,WASHINGTON,NC,27889,UNA,0,1,1
000000050506,BEAUFORT,BLACK or AFRICAN AMERICAN,M,48,CHOCOWINITY,NC,27817,DEM,1,1,1
000000021193,BEAUFORT,BLACK or AFRICAN AMERICAN,M,50,CHOCOWINITY,NC,27817,DEM,0,0,1
000000080877,BEAUFORT,UNDESIGNATED,U,65,CHOCOWINITY,NC,27817,UNA,0,0,1
000000030119,BEAUFORT,BLACK or AFRICAN AMERICAN,F,74,CHOCOWINITY,NC,27817,DEM,1,1,1
