voter_reg_num,county_desc,race,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000014538428,CALDWELL,WHITE,M,64,GRANITE FALLS,NC,28630,UNA,1,1,1
000014501056,CALDWELL,WHITE,F,74,LENOIR,NC,28645,DEM,1,1,1
000014502095,CALDWELL,WHITE,M,76,LENOIR,NC,28645,UNA,1,1,1
000014538729,CALDWELL,WHITE,F,71,LENOIR,NC,28645,REP,0,0,1
000014538730,CALDWELL,WHITE,M,71,LENOIR,NC,28645,REP,0,0,1
000014521517,CALDWELL,WHITE,F,63,LENOIR,NC,28645,REP,0,1,1
000014538852,CALDWELL,WHITE,M,21,HUDSON,NC,28638,REP,0,0,1
000000000250,CALDWELL,WHITE,M,88,HICKORY,NC,28601,REP,1,1,1
000014491747,CALDWELL,WHITE,M,87,LENOIR,NC,28645,REP,1,1,1
000000000200,CALDWELL,WHITE,F,87,HICKORY,NC,28601,REP,1,1,1
000001469410,CALDWELL,WHITE,M,57,GRANITE FALLS,NC,28630,REP,1,1,1
000000021106,CALDWELL,WHITE,F,55,LENOIR,NC,28645,REP,1,1,1
000001469409,CALDWELL,WHITE,F,55,GRANITE FALLS,NC,28630,REP,1,1,1
000001470498,CALDWELL,WHITE,F,60,HICKORY,NC,28601,UNA,1,1,1
000001470335,CALDWELL,WHITE,M,62,HICKORY,NC,28601,REP,1,1,1
000014476685,CALDWELL,WHITE,F,50,LENOIR,NC,28645,REP,1,1,1
000000000350,CALDWELL,WHITE,F,85,LENOIR,NC,28645,REP,1,1,1
000000002614,CALDWELL,WHITE,M,68,LENOIR,NC,28645,REP,1,1,1
000000000500,CALDWELL,WHITE,F,76,LENOIR,NC,28645,REP,1,1,1
000001458634,CALDWELL,WHITE,F,46,LENOIR,NC,28645,REP,1,1,1
000000009010,CALDWELL,WHITE,M,54,LENOIR,NC,28645,REP,1,1,1
000000000600,CALDWELL,WHITE,F,72,LENOIR,NC,28645,REP,1,1,1
000000019008,CALDWELL,WHITE,M,78,LENOIR,NC,28645,REP,1,1,1
000001462351,CALDWELL,WHITE,M,47,LENOIR,NC,28645,REP,1,1,1
000014541117,CALDWELL,WHITE,M,18,GRANITE FALLS,NC,28630,REP,0,0,0
000014544991,CALDWELL,WHITE,F,39,LENOIR,NC,28645,UNA,1,1,1
000014530494,CALDWELL,UNDESIGNATED,U,41,LENOIR,NC,28645,REP,1,1,1
000014480112,CALDWELL,WHITE,F,40,LENOIR,NC,28645,REP,1,1,1
000014472867,CALDWELL,WHITE,M,40,LENOIR,NC,28645,REP,1,1,1
000000017769,CALDWELL,WHITE,M,60,LENOIR,NC,28645,REP,1,1,1
000014526827,CALDWELL,WHITE,F,36,GRANITE FALLS,NC,28630,UNA,0,1,1
000000010127,CALDWELL,BLACK or AFRICAN AMERICAN,M,69,LENOIR,NC,28645,REP,0,1,1
000014516707,CALDWELL,WHITE,F,65,LENOIR,NC,28645,DEM,0,1,1
000014544519,CALDWELL,WHITE,F,80,RHODHISS,NC,28667,UNA,0,0,1
000001462409,CALDWELL,WHITE,M,71,GRANITE FALLS,NC,28630,REP,1,1,1
000000019093,CALDWELL,WHITE,M,52,GRANITE FALLS,NC,28630,REP,1,1,1
000014544306,CALDWELL,WHITE,M,47,LENOIR,NC,28645,REP,0,0,1
000014540784,CALDWELL,WHITE,F,29,GRANITE FALLS,NC,28630,REP,1,1,1
000000012271,CALDWELL,WHITE,F,83,HUDSON,NC,28638,DEM,1,1,1
000014526482,CALDWELL,BLACK or AFRICAN AMERICAN,F,33,GRANITE FALLS,NC,28630,DEM,0,1,1
000014516927,CALDWELL,WHITE,F,70,LENOIR,NC,28645,REP,0,1,1
000000001700,CALDWELL,WHITE,M,93,GRANITE FALLS,NC,28630,REP,1,1,1
000001422675,CALDWELL,WHITE,F,60,LENOIR,NC,28645,REP,1,1,1
000014502347,CALDWELL,BLACK or AFRICAN AMERICAN,F,77,LENOIR,NC,28645,DEM,0,1,1
000014507263,CALDWELL,WHITE,F,32,LENOIR,NC,28645,DEM,1,1,1
000014526828,CALDWELL,WHITE,M,37,GRANITE FALLS,NC,28630,UNA,0,1,1
000014507454,CALDWELL,WHITE,M,81,LENOIR,NC,28645,REP,1,1,1
000014539569,CALDWELL,WHITE,F,19,GRANITE FALLS,NC,28630,REP,0,0,1
000014498202,CALDWELL,WHITE,F,77,GRANITE FALLS,NC,28630,REP,1,1,1
000001473652,CALDWELL,WHITE,F,44,GRANITE FALLS,NC,28630,REP,1,1,1
000014497708,CALDWELL,WHITE,M,39,GRANITE FALLS,NC,28630,REP,1,1,1
000014514773,CALDWELL,WHITE,F,35,GRANITE FALLS,NC,28630,DEM,1,1,1
000014485479,CALDWELL,WHITE,F,66,HICKORY,NC,28601,REP,1,1,1
000014479738,CALDWELL,WHITE,F,68,LENOIR,NC,28645,UNA,1,1,1
000000011488,CALDWELL,WHITE,F,57,GRANITE FALLS,NC,28630,REP,1,1,1
000014498203,CALDWELL,WHITE,M,77,GRANITE FALLS,NC,28630,REP,1,1,1
000014536864,CALDWELL,WHITE,F,74,LENOIR,NC,28645,REP,0,0,1
000000002575,CALDWELL,UNDESIGNATED,M,60,GRANITE FALLS,NC,28630,UNA,1,1,1
000014537088,CALDWELL,WHITE,F,27,GRANITE FALLS,NC,28630,UNA,1,1,1
000014489358,CALDWELL,WHITE,M,36,GRANITE FALLS,NC,28630,DEM,1,1,1
000014541666,CALDWELL,UNDESIGNATED,F,25,GRANITE FALLS,NC,28630,REP,0,1,1
000014509410,CALDWELL,WHITE,M,27,LENOIR,NC,28645,DEM,1,1,1
000014543404,CALDWELL,WHITE,F,29,LENOIR,NC,28645,UNA,1,1,1
000014499849,CALDWELL,WHITE,M,33,GRANITE FALLS,NC,28630,DEM,1,1,1
000014516485,CALDWELL,WHITE,M,52,GRANITE FALLS,NC,28630,REP,1,1,1
000014516484,CALDWELL,WHITE,F,55,GRANITE FALLS,NC,28630,UNA,1,1,1
000014479739,CALDWELL,WHITE,M,69,LENOIR,NC,28645,UNA,1,1,1
000014541667,CALDWELL,UNDESIGNATED,M,26,GRANITE FALLS,NC,28630,REP,1,1,1
000014526331,CALDWELL,UNDESIGNATED,U,45,LENOIR,NC,28645,DEM,1,1,1
000014535562,CALDWELL,WHITE,F,20,GRANITE FALLS,NC,28630,REP,0,0,1
000014540631,CALDWELL,WHITE,F,18,LENOIR,NC,28645,UNA,0,0,1
000000000591,CALDWELL,WHITE,F,74,LENOIR,NC,28645,REP,1,1,1
000000020059,CALDWELL,WHITE,F,60,LENOIR,NC,28645,REP,1,1,1
000014501398,CALDWELL,WHITE,M,58,LENOIR,NC,28645,DEM,1,1,1
000014532489,CALDWELL,WHITE,F,21,GRANITE FALLS,NC,28630,REP,0,0,1
000014526821,CALDWELL,WHITE,F,28,LENOIR,NC,28645,DEM,0,1,1
000000017341,CALDWELL,WHITE,M,71,LENOIR,NC,28645,REP,1,1,1
000000013691,CALDWELL,WHITE,M,79,LENOIR,NC,28645,REP,1,1,1
000014482644,CALDWELL,WHITE,M,43,GRANITE FALLS,NC,28630,REP,1,1,1
000000004978,CALDWELL,WHITE,F,61,LENOIR,NC,28645,REP,0,1,1
000014524430,CALDWELL,WHITE,M,22,LENOIR,NC,28645,REP,0,1,0
000014530395,CALDWELL,WHITE,F,79,LENOIR,NC,28645,REP,1,1,1
000014477610,CALDWELL,WHITE,M,51,GRANITE FALLS,NC,28630,UNA,1,1,1
000000010594,CALDWELL,WHITE,F,68,HUDSON,NC,28638,REP,0,1,1
000014539629,CALDWELL,WHITE,F,19,GRANITE FALLS,NC,28630,REP,0,0,1
000001473842,CALDWELL,WHITE,M,68,HUDSON,NC,28638,REP,1,1,1
000014530393,CALDWELL,WHITE,M,83,LENOIR,NC,28645,REP,1,1,1
000000021069,CALDWELL,WHITE,M,56,GRANITE FALLS,NC,28630,UNA,1,1,1
000014480534,CALDWELL,UNDESIGNATED,U,46,GRANITE FALLS,NC,28630,REP,1,1,1
000014544897,CALDWELL,WHITE,F,47,GRANITE FALLS,NC,28630,UNA,0,1,1
000014522423,CALDWELL,WHITE,M,23,LENOIR,NC,28645,REP,0,1,1
000014494110,CALDWELL,WHITE,M,57,LENOIR,NC,28645,REP,1,1,1
000014534768,CALDWELL,WHITE,M,20,LENOIR,NC,28645,REP,0,0,1
000014545020,CALDWELL,WHITE,F,54,LENOIR,NC,28645,UNA,0,0,1
000014532815,CALDWELL,WHITE,M,21,LENOIR,NC,28645,REP,0,0,1
000014544224,CALDWELL,OTHER,F,21,HUDSON,NC,28638,UNA,0,0,1
000014529716,CALDWELL,WHITE,F,44,GRANITE FALLS,NC,28630,LIB,1,1,1
000014527222,CALDWELL,OTHER,M,43,GRANITE FALLS,NC,28630,UNA,1,1,1
000014544878,CALDWELL,WHITE,M,63,HICKORY,NC,28601,REP,0,0,1
000014508513,CALDWELL,WHITE,F,56,HUDSON,NC,28638,UNA,1,1,1
000014538206,CALDWELL,WHITE,F,27,GRANITE FALLS,NC,28630,UNA,0,0,1
000014545137,CALDWELL,WHITE,M,28,GRANITE FALLS,NC,28630,UNA,0,0,1
000014502326,CALDWELL,WHITE,M,60,LENOIR,NC,28645,DEM,1,1,1
000014508107,CALDWELL,WHITE,F,28,HUDSON,NC,28638,UNA,0,0,1
000014474127,CALDWELL,WHITE,F,42,LENOIR,NC,28645,UNA,1,1,1
000014519696,CALDWELL,WHITE,F,25,LENOIR,NC,28645,REP,0,1,1
000014519832,CALDWELL,WHITE,F,33,HUDSON,NC,28638,UNA,0,1,1
000014498167,CALDWELL,WHITE,M,35,GRANITE FALLS,NC,28630,REP,1,1,1
000014531471,CALDWELL,WHITE,F,71,GRANITE FALLS,NC,28630,REP,1,1,1
000001462672,CALDWELL,WHITE,M,48,LENOIR,NC,28645,UNA,1,1,1
