voter_reg_num,county_desc,race,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000000132538,CARTERET,BLACK or AFRICAN AMERICAN,F,46,NEWPORT,NC,28570,DEM,0,0,1
000000112269,CARTERET,WHITE,M,74,HARKERS ISLAND,NC,28531,REP,1,1,1
000000112267,CARTERET,WHITE,F,70,HARKERS ISLAND,NC,28531,REP,1,1,1
000000139065,CARTERET,WHITE,M,25,MOREHEAD CITY,NC,28557,REP,0,0,0
000000122452,CARTERET,WHITE,F,63,NEWPORT,NC,28570,DEM,1,1,1
000000109810,CARTERET,WHITE,F,73,EMERALD ISLE,NC,28594,UNA,1,1,1
000000149793,CARTERET,WHITE,F,24,SWANSBORO,NC,28584,REP,0,1,1
000000101011,CARTERET,WHITE,F,29,SMYRNA,NC,28579,UNA,1,0,1
000000134854,CARTERET,WHITE,M,21,NEWPORT,NC,28570,UNA,0,0,1
000000079036,CARTERET,WHITE,F,58,NEWPORT,NC,28570,UNA,1,1,1
000000086842,CARTERET,WHITE,M,56,NEWPORT,NC,28570,REP,1,1,1
000000114525,CARTERET,WHITE,M,31,SMYRNA,NC,28579,REP,0,1,1
000000084756,CARTERET,WHITE,F,85,NEWPORT,NC,28570,DEM,1,1,1
000000148298,CARTERET,WHITE,F,23,BEAUFORT,NC,28516,UNA,0,0,1
000000145080,CARTERET,WHITE,F,56,BEAUFORT,NC,28516,REP,0,0,1
000000034051,CARTERET,WHITE,F,80,MOREHEAD CITY,NC,28557,REP,1,1,1
000000034052,CARTERET,WHITE,M,83,MOREHEAD CITY,NC,28557,REP,1,1,1
000000084575,CARTERET,WHITE,M,50,MOREHEAD CITY,NC,28557,UNA,1,1,1
000000084501,CARTERET,WHITE,F,52,MOREHEAD CITY,NC,28557,DEM,1,1,1
000000145508,CARTERET,OTHER,F,18,MOREHEAD CITY,NC,28557,REP,0,0,1
000000071526,CARTERET,WHITE,F,38,EMERALD ISLE,NC,28594,REP,1,1,1
000000091334,CARTERET,WHITE,M,35,EMERALD ISLE,NC,28594,REP,1,1,1
000000113555,CARTERET,WHITE,F,34,EMERALD ISLE,NC,28594,REP,1,1,1
000000129798,CARTERET,UNDESIGNATED,U,44,NEWPORT,NC,28570,REP,0,1,1
000000015432,CARTERET,WHITE,F,63,MOREHEAD CITY,NC,28557,REP,1,1,1
000000008503,CARTERET,WHITE,M,67,MOREHEAD CITY,NC,28557,REP,1,1,1
000000014918,CARTERET,WHITE,M,74,MOREHEAD CITY,NC,28557,DEM,1,1,1
000000092912,CARTERET,WHITE,M,68,MOREHEAD CITY,NC,28557,UNA,1,1,1
000000108434,CARTERET,WHITE,M,58,EMERALD ISLE,NC,28594,REP,0,1,1
000000095726,CARTERET,WHITE,M,73,PINE KNOLL SHORES,NC,28512,REP,1,1,1
000000108013,CARTERET,WHITE,F,45,NEWPORT,NC,28570,LIB,1,1,1
000000099774,CARTERET,WHITE,F,54,SWANSBORO,NC,28584,REP,1,1,1
000000047663,CARTERET,WHITE,M,58,SWANSBORO,NC,28584,UNA,1,1,1
000000124510,CARTERET,WHITE,F,24,SWANSBORO,NC,28584,REP,0,1,1
000000150771,CARTERET,WHITE,M,21,SWANSBORO,NC,28584,REP,0,0,1
000000010355,CARTERET,WHITE,F,53,EMERALD ISLE,NC,28594,REP,1,1,1
000000008581,CARTERET,WHITE,F,78,CAPE CARTERET,NC,28584,REP,1,1,1
000000131762,CARTERET,WHITE,F,22,BEAUFORT,NC,28516,REP,0,1,1
000000133373,CARTERET,WHITE,F,41,MARSHALLBERG,NC,28553,DEM,0,0,1
