voter_reg_num,county_desc,race,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000000058736,CHEROKEE,OTHER,M,84,MURPHY,NC,28906,REP,0,0,1
000000047778,CHEROKEE,WHITE,M,72,MURPHY,NC,28906,REP,0,1,1
000000053942,CHEROKEE,WHITE,M,44,MARBLE,NC,28905,UNA,0,0,1
000000056673,CHEROKEE,WHITE,M,65,MURPHY,NC,28906,REP,0,0,1
000000055124,CHEROKEE,WHITE,F,62,MURPHY,NC,28906,UNA,0,0,1
000000034292,CHEROKEE,WHITE,F,83,MURPHY,NC,28906,REP,1,1,1
000000056302,CHEROKEE,WHITE,F,63,MURPHY,NC,28906,REP,0,0,1
000000058537,CHEROKEE,UNDESIGNATED,M,49,MURPHY,NC,28906,UNA,0,0,1
000000058535,CHEROKEE,ASIAN,F,48,MURPHY,NC,28906,UNA,0,0,1
000000040429,CHEROKEE,WHITE,M,77,MURPHY,NC,28906,UNA,1,1,1
000000029557,CHEROKEE,WHITE,F,52,MURPHY,NC,28906,UNA,1,1,1
000000004317,CHEROKEE,WHITE,M,68,MURPHY,NC,28906,DEM,1,1,1
000000009406,CHEROKEE,WHITE,F,83,MURPHY,NC,28906,REP,1,1,1
000000051507,CHEROKEE,WHITE,F,35,MURPHY,NC,28906,REP,0,1,1
000000057888,CHEROKEE,WHITE,F,26,ANDREWS,NC,28901,REP,0,0,0
000000055112,CHEROKEE,WHITE,F,47,MURPHY,NC,28906,DEM,0,0,1
000000045023,CHEROKEE,WHITE,F,47,MURPHY,NC,28906,DEM,1,1,1
000000048408,CHEROKEE,WHITE,F,77,MURPHY,NC,28906,REP,0,1,1
000000032410,CHEROKEE,WHITE,F,71,MURPHY,NC,28906,REP,1,1,1
000000048406,CHEROKEE,WHITE,M,68,MURPHY,NC,28906,UNA,0,1,1
000000033168,CHEROKEE,WHITE,M,69,MURPHY,NC,28906,UNA,1,1,1
000000053582,CHEROKEE,WHITE,F,73,MURPHY,NC,28906,DEM,0,0,1
000000053692,CHEROKEE,WHITE,M,79,MURPHY,NC,28906,DEM,0,0,1
000000045885,CHEROKEE,WHITE,M,74,MURPHY,NC,28906,UNA,0,1,1
000000058623,CHEROKEE,WHITE,M,63,MURPHY,NC,28906,UNA,0,0,1
000000054462,CHEROKEE,WHITE,M,75,MURPHY,NC,28906,REP,0,0,1
000000047090,CHEROKEE,WHITE,F,62,ANDREWS,NC,28901,REP,0,0,1
000000018886,CHEROKEE,WHITE,F,61,MURPHY,NC,28906,REP,0,1,1
000000044713,CHEROKEE,WHITE,F,68,MURPHY,NC,28906,REP,1,1,1
000000044732,CHEROKEE,ASIAN,M,66,MURPHY,NC,28906,DEM,1,1,1
000000044603,CHEROKEE,ASIAN,F,26,ANDREWS,NC,28901,DEM,0,1,0
000000041272,CHEROKEE,WHITE,F,28,MURPHY,NC,28906,DEM,0,1,1
000000041344,CHEROKEE,ASIAN,F,28,MURPHY,NC,28906,DEM,1,1,1
000000048786,CHEROKEE,ASIAN,F,57,MURPHY,NC,28906,UNA,0,1,1
000000059512,CHEROKEE,UNDESIGNATED,M,63,MURPHY,NC,28906,UNA,0,0,1
000000030543,CHEROKEE,ASIAN,F,65,MURPHY,NC,28906,UNA,1,1,1
000000030084,CHEROKEE,ASIAN,F,66,MURPHY,NC,28906,DEM,1,1,1
000000054456,CHEROKEE,WHITE,M,65,MURPHY,NC,28906,REP,0,0,1
000000040868,CHEROKEE,WHITE,F,51,MURPHY,NC,28906,REP,1,1,1
000000050307,CHEROKEE,WHITE,F,25,ANDREWS,NC,28901,REP,0,1,1
000000033215,CHEROKEE,WHITE,F,77,MURPHY,NC,28906,REP,1,1,1
000000057140,CHEROKEE,WHITE,M,19,MURPHY,NC,28906,REP,0,0,1
000000031571,CHEROKEE,WHITE,M,71,ANDREWS,NC,28901,REP,1,1,1
000000010352,CHEROKEE,WHITE,F,50,MURPHY,NC,28906,REP,1,1,1
000000059503,CHEROKEE,WHITE,M,45,MURPHY,NC,28906,UNA,0,0,0
000000037023,CHEROKEE,WHITE,M,70,MURPHY,NC,28906,REP,1,1,1
000000023864,CHEROKEE,WHITE,M,44,MARBLE,NC,28905,REP,1,1,1
000000051165,CHEROKEE,WHITE,M,56,ANDREWS,NC,28901,REP,0,1,1
000000002090,CHEROKEE,WHITE,M,71,MURPHY,NC,28906,UNA,1,1,1
000000000033,CHEROKEE,WHITE,F,75,ANDREWS,NC,28901,DEM,1,1,1
000000055700,CHEROKEE,WHITE,F,20,MURPHY,NC,28906,REP,0,0,1
000000000069,CHEROKEE,WHITE,M,61,ANDREWS,NC,28901,REP,1,1,1
000000000097,CHEROKEE,WHITE,F,85,ANDREWS,NC,28901,REP,1,1,1
000000042493,CHEROKEE,WHITE,F,52,MURPHY,NC,28906,UNA,0,1,1
000000026530,CHEROKEE,WHITE,M,85,MURPHY,NC,28906,REP,1,1,1
000000048998,CHEROKEE,WHITE,F,70,MURPHY,NC,28906,REP,0,1,1
000000048334,CHEROKEE,WHITE,M,60,MURPHY,NC,28906,REP,0,1,1
000000054563,CHEROKEE,INDIAN AMERICAN or ALASKA NATIVE,M,41,ANDREWS,NC,28901,REP,1,1,1
000000052259,CHEROKEE,WHITE,F,42,MURPHY,NC,28906,REP,0,0,1
000000030861,CHEROKEE,WHITE,F,37,MURPHY,NC,28906,REP,1,1,1
000000046494,CHEROKEE,WHITE,F,72,ANDREWS,NC,28901,REP,0,1,1
000000000045,CHEROKEE,WHITE,F,59,ANDREWS,NC,28901,DEM,1,1,1
000000004119,CHEROKEE,WHITE,F,64,MARBLE,NC,28905,REP,1,1,1
000000057563,CHEROKEE,WHITE,F,18,MURPHY,NC,28906,REP,0,0,1
000000036803,CHEROKEE,WHITE,M,45,MURPHY,NC,28906,REP,1,1,1
000000032091,CHEROKEE,WHITE,M,37,MURPHY,NC,28906,REP,1,1,1
000000054330,CHEROKEE,WHITE,F,34,ANDREWS,NC,28901,REP,1,1,1
000000024645,CHEROKEE,WHITE,F,45,ANDREWS,NC,28901,REP,1,0,1
000000002091,CHEROKEE,WHITE,F,70,MURPHY,NC,28906,REP,1,1,1
000000013016,CHEROKEE,WHITE,M,70,MURPHY,NC,28906,REP,1,1,1
000000000105,CHEROKEE,WHITE,F,77,ANDREWS,NC,28901,UNA,1,1,1
000000041896,CHEROKEE,WHITE,F,65,MURPHY,NC,28906,REP,1,1,1
000000002092,CHEROKEE,WHITE,F,65,MURPHY,NC,28906,DEM,1,1,1
000000048335,CHEROKEE,WHITE,F,54,MURPHY,NC,28906,REP,0,1,1
000000002093,CHEROKEE,WHITE,M,68,MURPHY,NC,28906,DEM,1,1,1
000000014175,CHEROKEE,WHITE,F,70,MURPHY,NC,28906,REP,1,1,1
000000059146,CHEROKEE,WHITE,F,72,MURPHY,NC,28906,UNA,0,0,1
000000033398,CHEROKEE,WHITE,M,62,MARBLE,NC,28905,UNA,1,1,1
000000002864,CHEROKEE,WHITE,M,71,MURPHY,NC,28906,REP,1,1,1
000000024069,CHEROKEE,WHITE,F,59,MURPHY,NC,28906,REP,1,1,1
000000047052,CHEROKEE,WHITE,F,24,MARBLE,NC,28905,UNA,0,1,1
000000000052,CHEROKEE,WHITE,M,80,ANDREWS,NC,28901,REP,1,1,1
000000026529,CHEROKEE,WHITE,F,82,MURPHY,NC,28906,REP,1,1,1
000000030187,CHEROKEE,WHITE,F,71,MURPHY,NC,28906,UNA,1,1,1
000000000055,CHEROKEE,WHITE,F,76,ANDREWS,NC,28901,REP,1,1,1
000000019826,CHEROKEE,WHITE,F,61,MARBLE,NC,28905,UNA,1,1,1
000000057176,CHEROKEE,WHITE,M,76,MURPHY,NC,28906,UNA,0,0,1
000000040540,CHEROKEE,WHITE,M,73,MURPHY,NC,28906,UNA,1,1,1
000000051802,CHEROKEE,UNDESIGNATED,M,47,MURPHY,NC,28906,REP,0,1,1
