voter_reg_num,county_desc,race,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000000022150,CHOWAN,BLACK or AFRICAN AMERICAN,F,63,EDENTON,NC,27932,DEM,1,1,1
000000022773,CHOWAN,WHITE,M,33,EDENTON,NC,27932,UNA,0,1,1
000000011240,CHOWAN,WHITE,M,73,EDENTON,NC,27932,UNA,1,1,1
000000011868,CHOWAN,WHITE,F,66,EDENTON,NC,27932,DEM,1,1,1
000000027356,CHOWAN,WHITE,F,49,EDENTON,NC,27932,UNA,0,1,1
000000027418,CHOWAN,WHITE,M,38,EDENTON,NC,27932,REP,0,1,1
000000029552,CHOWAN,WHITE,F,66,EDENTON,NC,27932,REP,0,1,1
000000017558,CHOWAN,WHITE,M,78,EDENTON,NC,27932,UNA,1,1,1
000000029930,CHOWAN,WHITE,F,75,EDENTON,NC,27932,REP,0,0,1
000000030168,CHOWAN,WHITE,F,66,EDENTON,NC,27932,REP,1,1,1
000000028599,CHOWAN,WHITE,M,48,EDENTON,NC,27932,REP,1,1,1
000000029972,CHOWAN,WHITE,M,76,EDENTON,NC,27932,REP,1,0,1
000000012635,CHOWAN,WHITE,F,84,EDENTON,NC,27932,REP,1,1,1
000000012691,CHOWAN,WHITE,M,80,EDENTON,NC,27932,REP,1,1,1
000000029359,CHOWAN,UNDESIGNATED,F,48,EDENTON,NC,27932,REP,1,1,1
000000029016,CHOWAN,UNDESIGNATED,U,49,EDENTON,NC,27932,REP,0,0,0
000000029017,CHOWAN,WHITE,F,49,EDENTON,NC,27932,REP,0,0,0
000000013864,CHOWAN,WHITE,F,43,EDENTON,NC,27932,DEM,1,1,1
000000022995,CHOWAN,WHITE,U,55,EDENTON,NC,27932,DEM,1,1,1
000000022008,CHOWAN,WHITE,F,72,EDENTON,NC,27932,UNA,1,1,1
000000022020,CHOWAN,WHITE,M,84,EDENTON,NC,27932,DEM,1,1,1
000000009730,CHOWAN,WHITE,M,51,EDENTON,NC,27932,REP,1,1,1
000000010753,CHOWAN,WHITE,F,50,EDENTON,NC,27932,REP,1,1,1
000000028358,CHOWAN,WHITE,M,56,EDENTON,NC,27932,REP,0,0,1
000000028359,CHOWAN,WHITE,F,56,EDENTON,NC,27932,REP,0,0,1
000000017319,CHOWAN,WHITE,M,37,EDENTON,NC,27932,REP,1,1,1
000000018109,CHOWAN,WHITE,M,36,EDENTON,NC,27932,REP,1,1,1
000000018655,CHOWAN,WHITE,F,37,EDENTON,NC,27932,UNA,1,1,1
000000025599,CHOWAN,WHITE,M,71,EDENTON,NC,27932,DEM,0,1,1
