voter_reg_num,county_desc,race,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000001055465,CLEVELAND,BLACK or AFRICAN AMERICAN,F,57,KINGS MOUNTAIN,NC,28086,DEM,0,1,1
000001060624,CLEVELAND,WHITE,F,58,GROVER,NC,28073,DEM,0,1,1
000000039546,CLEVELAND,OTHER,M,77,SHELBY,NC,28150,DEM,1,1,0
000000000010,CLEVELAND,BLACK or AFRICAN AMERICAN,F,72,SHELBY,NC,28150,DEM,1,1,1
000001027942,CLEVELAND,BLACK or AFRICAN AMERICAN,F,78,SHELBY,NC,28152,DEM,1,1,1
000001011893,CLEVELAND,WHITE,F,45,CASAR,NC,28020,UNA,1,1,1
000001085775,CLEVELAND,UNDESIGNATED,U,62,SHELBY,NC,28150,UNA,0,0,1
000001045340,CLEVELAND,BLACK or AFRICAN AMERICAN,F,31,SHELBY,NC,28152,REP,1,1,1
000001080846,CLEVELAND,BLACK or AFRICAN AMERICAN,F,74,SHELBY,NC,28150,DEM,0,0,1
000001075794,CLEVELAND,WHITE,F,21,SHELBY,NC,28152,DEM,0,0,1
000000000014,CLEVELAND,WHITE,F,94,SHELBY,NC,28152,REP,1,1,0
000001090713,CLEVELAND,WHITE,F,28,SHELBY,NC,28150,REP,0,0,1
000001079901,CLEVELAND,WHITE,M,26,SHELBY,NC,28150,UNA,0,0,1
000001074054,CLEVELAND,WHITE,F,21,SHELBY,NC,28150,REP,0,0,1
000000000016,CLEVELAND,WHITE,F,75,SHELBY,NC,28150,DEM,1,1,1
000001081697,CLEVELAND,UNDESIGNATED,U,47,SHELBY,NC,28152,REP,0,0,1
000000086150,CLEVELAND,WHITE,M,74,SHELBY,NC,28152,UNA,1,1,1
000001077095,CLEVELAND,WHITE,F,20,SHELBY,NC,28152,REP,0,0,1
000001009615,CLEVELAND,WHITE,F,72,SHELBY,NC,28152,REP,1,1,1
000000061865,CLEVELAND,WHITE,M,77,SHELBY,NC,28152,REP,0,1,1
000000087041,CLEVELAND,WHITE,F,58,SHELBY,NC,28152,UNA,1,1,1
000001088550,CLEVELAND,WHITE,F,60,SHELBY,NC,28150,REP,0,0,1
000000085893,CLEVELAND,WHITE,F,79,SHELBY,NC,28150,REP,1,1,1
000001037081,CLEVELAND,WHITE,U,32,SHELBY,NC,28150,UNA,0,1,1
000001063673,CLEVELAND,WHITE,F,68,CHERRYVILLE,NC,28021,UNA,0,1,1
000000087230,CLEVELAND,WHITE,M,45,SHELBY,NC,28150,REP,1,1,1
000001062081,CLEVELAND,WHITE,M,31,SHELBY,NC,28150,REP,0,1,1
000001090761,CLEVELAND,WHITE,M,59,SHELBY,NC,28152,REP,0,0,1
000001084159,CLEVELAND,WHITE,M,73,SHELBY,NC,28150,UNA,0,0,1
000001077163,CLEVELAND,BLACK or AFRICAN AMERICAN,F,20,SHELBY,NC,28150,UNA,0,0,1
000001052802,CLEVELAND,WHITE,M,50,KINGS MOUNTAIN,NC,28086,UNA,0,1,1
000001015323,CLEVELAND,WHITE,M,45,GROVER,NC,28073,REP,1,1,1
000001083515,CLEVELAND,UNDESIGNATED,U,67,LAWNDALE,NC,28090,REP,1,1,1
000001087353,CLEVELAND,WHITE,F,62,SHELBY,NC,28150,REP,0,0,1
000001015324,CLEVELAND,WHITE,F,47,GROVER,NC,28073,REP,1,1,1
000001044345,CLEVELAND,WHITE,F,40,SHELBY,NC,28150,REP,1,1,1
000001089521,CLEVELAND,UNDESIGNATED,U,42,KINGS MOUNTAIN,NC,28086,NLB,1,0,1
000001059633,CLEVELAND,UNDESIGNATED,U,44,CHERRYVILLE,NC,28021,UNA,0,1,1
000000058759,CLEVELAND,WHITE,M,51,SHELBY,NC,28152,DEM,1,1,1
000001091023,CLEVELAND,WHITE,M,72,CHERRYVILLE,NC,28021,REP,0,0,1
000001053340,CLEVELAND,WHITE,F,51,KINGS MOUNTAIN,NC,28086,UNA,0,1,1
000000000029,CLEVELAND,WHITE,F,83,SHELBY,NC,28152,DEM,1,1,1
000001083726,CLEVELAND,WHITE,M,50,SHELBY,NC,28150,REP,0,0,1
000001050214,CLEVELAND,WHITE,F,45,SHELBY,NC,28150,REP,1,0,1
000001044235,CLEVELAND,WHITE,F,39,SHELBY,NC,28152,UNA,1,1,1
000001064133,CLEVELAND,WHITE,M,63,KINGS MOUNTAIN,NC,28086,UNA,0,1,1
000001046668,CLEVELAND,WHITE,M,39,SHELBY,NC,28152,REP,1,1,1
000001074233,CLEVELAND,WHITE,M,40,LAWNDALE,NC,28090,REP,1,1,1
