voter_reg_num,county_desc,race,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000000046399,CURRITUCK,WHITE,M,51,JARVISBURG,NC,27947,REP,0,1,1
000000009240,CURRITUCK,WHITE,M,58,POPLAR BRANCH,NC,27965,REP,1,1,1
000000044033,CURRITUCK,WHITE,M,24,COINJOCK,NC,27923,UNA,0,1,1
000000043905,CURRITUCK,WHITE,F,23,POPLAR BRANCH,NC,27965,UNA,0,1,1
000000051723,CURRITUCK,WHITE,M,55,MOYOCK,NC,27958,REP,0,0,1
000000020630,CURRITUCK,WHITE,F,78,COROLLA,NC,27927,UNA,0,1,0
000000039132,CURRITUCK,WHITE,F,81,JARVISBURG,NC,27947,REP,0,1,1
000000008024,CURRITUCK,WHITE,F,67,COROLLA,NC,27927,REP,1,1,1
000000025914,CURRITUCK,WHITE,M,66,COROLLA,NC,27927,REP,1,1,1
000000029731,CURRITUCK,WHITE,M,69,MOYOCK,NC,27958,UNA,1,1,1
000000033632,CURRITUCK,WHITE,F,59,MOYOCK,NC,27958,REP,1,1,1
000000041809,CURRITUCK,OTHER,F,60,MOYOCK,NC,27958,REP,0,1,1
000000041807,CURRITUCK,WHITE,M,62,MOYOCK,NC,27958,DEM,0,1,1
000000035465,CURRITUCK,WHITE,M,45,MOYOCK,NC,27958,UNA,0,0,0
000000052276,CURRITUCK,WHITE,M,51,MOYOCK,NC,27958,REP,0,0,1
000000052071,CURRITUCK,WHITE,F,53,MOYOCK,NC,27958,REP,0,0,1
000000043705,CURRITUCK,WHITE,M,79,KNOTTS ISLAND,NC,27950,REP,0,1,1
000000005290,CURRITUCK,WHITE,F,71,MOYOCK,NC,27958,DEM,1,1,1
000000043704,CURRITUCK,WHITE,F,74,KNOTTS ISLAND,NC,27950,REP,0,1,1
000000053089,CURRITUCK,WHITE,M,78,GRANDY,NC,27939,UNA,0,0,1
000000021774,CURRITUCK,WHITE,F,60,MOYOCK,NC,27958,REP,1,1,1
000000051850,CURRITUCK,OTHER,M,33,COROLLA,NC,27927,REP,0,0,1
000000045926,CURRITUCK,WHITE,F,38,COROLLA,NC,27927,UNA,0,1,1
000000046500,CURRITUCK,WHITE,F,32,MOYOCK,NC,27958,UNA,0,1,0
000000036592,CURRITUCK,WHITE,F,34,MOYOCK,NC,27958,REP,1,1,1
000000027656,CURRITUCK,WHITE,M,34,MOYOCK,NC,27958,REP,1,1,1
000000055099,CURRITUCK,BLACK or AFRICAN AMERICAN,F,21,MOYOCK,NC,27958,DEM,0,0,1
000000042050,CURRITUCK,WHITE,M,35,MOYOCK,NC,27958,UNA,0,1,1
000000031179,CURRITUCK,WHITE,M,67,MOYOCK,NC,27958,REP,1,1,1
000000045923,CURRITUCK,WHITE,F,64,KNOTTS ISLAND,NC,27950,DEM,0,1,1
000000054990,CURRITUCK,UNDESIGNATED,U,32,COROLLA,NC,27927,UNA,0,1,1
000000034532,CURRITUCK,WHITE,F,67,MOYOCK,NC,27958,REP,1,1,1
000000046905,CURRITUCK,WHITE,M,30,MOYOCK,NC,27958,REP,0,0,1
000000034279,CURRITUCK,WHITE,F,75,MOYOCK,NC,27958,REP,1,1,1
000000047772,CURRITUCK,WHITE,F,65,MOYOCK,NC,27958,DEM,0,0,1
000000042102,CURRITUCK,WHITE,F,30,MOYOCK,NC,27958,REP,0,1,1
000000022983,CURRITUCK,WHITE,F,70,MOYOCK,NC,27958,UNA,1,1,1
000000047938,CURRITUCK,BLACK or AFRICAN AMERICAN,F,41,MOYOCK,NC,27958,DEM,0,0,1
