voter_reg_num,county_desc,race,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000000357143,DAVIE,WHITE,F,19,ADVANCE,NC,27006,REP,0,0,1
000000335054,DAVIE,UNDESIGNATED,F,67,MOCKSVILLE,NC,27028,REP,1,1,1
000000359699,DAVIE,WHITE,F,78,ADVANCE,NC,27006,UNA,0,1,1
000000007234,DAVIE,WHITE,F,59,MOCKSVILLE,NC,27028,DEM,1,1,1
000000017252,DAVIE,WHITE,F,72,MOCKSVILLE,NC,27028,UNA,1,1,1
000000015492,DAVIE,WHITE,M,72,MOCKSVILLE,NC,27028,UNA,1,1,1
000000320124,DAVIE,WHITE,M,48,MOCKSVILLE,NC,27028,DEM,1,1,1
000000027139,DAVIE,WHITE,M,66,MOCKSVILLE,NC,27028,REP,1,1,1
000000027140,DAVIE,WHITE,F,63,MOCKSVILLE,NC,27028,REP,1,1,1
000000342376,DAVIE,WHITE,F,33,ADVANCE,NC,27006,UNA,1,1,1
000000030205,DAVIE,WHITE,M,58,ADVANCE,NC,27006,UNA,0,1,1
000000342660,DAVIE,WHITE,M,35,ADVANCE,NC,27006,UNA,1,1,1
000000328379,DAVIE,BLACK or AFRICAN AMERICAN,F,33,MOCKSVILLE,NC,27028,DEM,1,1,1
000000352708,DAVIE,BLACK or AFRICAN AMERICAN,M,35,MOCKSVILLE,NC,27028,UNA,0,0,1
000000353104,DAVIE,UNDESIGNATED,U,49,BERMUDA RUN,NC,27006,REP,1,1,1
000000329212,DAVIE,WHITE,F,51,MOCKSVILLE,NC,27028,REP,1,1,1
000000328589,DAVIE,WHITE,M,53,MOCKSVILLE,NC,27028,UNA,1,1,1
000000352874,DAVIE,BLACK or AFRICAN AMERICAN,F,29,MOCKSVILLE,NC,27028,UNA,0,0,1
000000356131,DAVIE,OTHER,F,24,MOCKSVILLE,NC,27028,UNA,0,1,1
000000360165,DAVIE,WHITE,M,56,MOCKSVILLE,NC,27028,UNA,0,0,1
000000323483,DAVIE,WHITE,M,61,ADVANCE,NC,27006,UNA,1,1,1
000000334723,DAVIE,WHITE,F,29,ADVANCE,NC,27006,UNA,0,0,1
000000323470,DAVIE,WHITE,F,59,ADVANCE,NC,27006,UNA,1,1,1
000000351135,DAVIE,WHITE,M,37,ADVANCE,NC,27006,UNA,0,1,1
000000016807,DAVIE,WHITE,M,77,ADVANCE,NC,27006,UNA,1,1,1
000000021811,DAVIE,WHITE,F,67,ADVANCE,NC,27006,REP,1,1,1
000000352092,DAVIE,WHITE,F,22,ADVANCE,NC,27006,REP,0,0,1
000000018371,DAVIE,WHITE,F,66,ADVANCE,NC,27006,UNA,1,1,1
000000341680,DAVIE,UNDESIGNATED,F,71,MOCKSVILLE,NC,27028,UNA,1,1,1
000000000891,DAVIE,WHITE,F,67,MOCKSVILLE,NC,27028,REP,1,1,1
000000323192,DAVIE,WHITE,F,37,MOCKSVILLE,NC,27028,DEM,1,0,1
000000021028,DAVIE,WHITE,F,77,ADVANCE,NC,27006,UNA,1,1,1
000000024457,DAVIE,WHITE,M,90,MOCKSVILLE,NC,27028,REP,1,1,1
000000348464,DAVIE,WHITE,M,61,ADVANCE,NC,27006,REP,1,1,1
000000346137,DAVIE,UNDESIGNATED,U,81,ADVANCE,NC,27006,REP,1,1,1
000000343708,DAVIE,UNDESIGNATED,M,71,MOCKSVILLE,NC,27028,DEM,1,1,1
000000359537,DAVIE,WHITE,M,71,ADVANCE,NC,27006,REP,1,1,1
000000343319,DAVIE,WHITE,M,57,MOCKSVILLE,NC,27028,REP,1,1,1
000000021029,DAVIE,WHITE,M,80,ADVANCE,NC,27006,UNA,1,1,1
000000345611,DAVIE,WHITE,F,63,BERMUDA RUN,NC,27006,UNA,0,1,1
000000346971,DAVIE,WHITE,M,87,BERMUDA RUN,NC,27006,REP,1,1,1
000000339766,DAVIE,WHITE,M,26,ADVANCE,NC,27006,REP,1,1,1
000000358174,DAVIE,WHITE,F,55,MOCKSVILLE,NC,27028,REP,0,0,1
000000320481,DAVIE,WHITE,F,54,ADVANCE,NC,27006,UNA,1,1,1
000000323495,DAVIE,WHITE,F,45,ADVANCE,NC,27006,REP,1,1,1
000000324632,DAVIE,WHITE,M,59,ADVANCE,NC,27006,REP,1,1,1
000000334733,DAVIE,WHITE,M,43,MOCKSVILLE,NC,27028,REP,1,1,1
000000319045,DAVIE,WHITE,M,58,ADVANCE,NC,27006,REP,1,1,1
000000358222,DAVIE,WHITE,F,19,MOCKSVILLE,NC,27028,REP,0,0,1
000000355290,DAVIE,WHITE,F,37,ADVANCE,NC,27006,UNA,0,0,1
000000008119,DAVIE,WHITE,F,80,MOCKSVILLE,NC,27028,REP,1,1,1
000000318921,DAVIE,WHITE,F,53,ADVANCE,NC,27006,REP,1,1,1
000000031591,DAVIE,WHITE,M,61,ADVANCE,NC,27006,REP,1,1,1
000000346078,DAVIE,WHITE,F,57,MOCKSVILLE,NC,27028,REP,1,1,1
000000355337,DAVIE,WHITE,M,38,ADVANCE,NC,27006,UNA,0,0,1
000000315690,DAVIE,WHITE,F,74,ADVANCE,NC,27006,DEM,1,1,1
000000329832,DAVIE,WHITE,F,68,MOCKSVILLE,NC,27028,UNA,1,1,1
000000359561,DAVIE,WHITE,U,29,MOCKSVILLE,NC,27028,REP,1,1,1
000000343977,DAVIE,WHITE,M,63,BERMUDA RUN,NC,27006,UNA,0,1,1
000000347391,DAVIE,WHITE,M,23,ADVANCE,NC,27006,REP,0,1,1
000000324633,DAVIE,WHITE,F,55,ADVANCE,NC,27006,REP,1,1,1
000000318119,DAVIE,WHITE,F,86,ADVANCE,NC,27006,REP,1,1,1
000000343386,DAVIE,WHITE,F,77,BERMUDA RUN,NC,27006,DEM,1,1,1
000000317550,DAVIE,WHITE,M,51,ADVANCE,NC,27006,REP,1,1,1
000000338962,DAVIE,WHITE,M,57,MOCKSVILLE,NC,27028,UNA,1,1,1
000000351031,DAVIE,UNDESIGNATED,U,59,ADVANCE,NC,27006,REP,0,1,1
000000359536,DAVIE,WHITE,F,69,ADVANCE,NC,27006,UNA,1,1,1
000000337894,DAVIE,WHITE,F,59,ADVANCE,NC,27006,UNA,1,1,1
000000340410,DAVIE,WHITE,F,55,MOCKSVILLE,NC,27028,REP,1,1,1
000000358175,DAVIE,WHITE,M,56,MOCKSVILLE,NC,27028,REP,0,0,1
000000352251,DAVIE,UNDESIGNATED,U,77,MOCKSVILLE,NC,27028,REP,0,0,1
000000318442,DAVIE,WHITE,F,80,ADVANCE,NC,27006,REP,1,1,1
000000346248,DAVIE,WHITE,M,52,ADVANCE,NC,27006,REP,0,1,1
000000347252,DAVIE,WHITE,M,23,ADVANCE,NC,27006,UNA,0,1,1
000000360817,DAVIE,WHITE,F,53,ADVANCE,NC,27006,REP,0,0,1
000000332451,DAVIE,WHITE,M,30,ADVANCE,NC,27006,REP,1,1,1
000000024009,DAVIE,WHITE,M,70,ADVANCE,NC,27006,REP,1,1,1
000000332867,DAVIE,WHITE,M,32,ADVANCE,NC,27006,REP,1,1,1
000000017343,DAVIE,WHITE,F,65,ADVANCE,NC,27006,REP,1,1,1
000000346782,DAVIE,WHITE,M,51,MOCKSVILLE,NC,27028,UNA,0,0,1
000000346709,DAVIE,WHITE,F,55,MOCKSVILLE,NC,27028,UNA,0,1,1
000000329189,DAVIE,WHITE,M,53,MOCKSVILLE,NC,27028,UNA,1,1,1
000000329317,DAVIE,WHITE,F,47,MOCKSVILLE,NC,27028,UNA,1,1,1
000000326960,DAVIE,WHITE,F,54,ADVANCE,NC,27006,REP,1,1,1
000000326967,DAVIE,WHITE,M,55,ADVANCE,NC,27006,UNA,1,1,1
000000354551,DAVIE,WHITE,M,20,ADVANCE,NC,27006,REP,0,0,1
000000345859,DAVIE,UNDESIGNATED,U,32,BERMUDA RUN,NC,27006,UNA,0,1,1
000000340286,DAVIE,WHITE,F,33,MOCKSVILLE,NC,27028,UNA,0,1,1
000000358557,DAVIE,WHITE,M,88,BERMUDA RUN,NC,27006,REP,1,1,1
000000351400,DAVIE,WHITE,M,61,MOCKSVILLE,NC,27028,REP,0,1,1
000000025923,DAVIE,WHITE,F,60,MOCKSVILLE,NC,27028,REP,1,1,1
000000345858,DAVIE,OTHER,U,33,BERMUDA RUN,NC,27006,DEM,0,1,1
000000021031,DAVIE,WHITE,F,65,MOCKSVILLE,NC,27028,REP,1,1,1
000000015834,DAVIE,WHITE,M,68,MOCKSVILLE,NC,27028,REP,1,1,1
000000340287,DAVIE,WHITE,M,34,MOCKSVILLE,NC,27028,REP,0,1,1
000000360654,DAVIE,UNDESIGNATED,U,54,ADVANCE,NC,27006,UNA,0,0,1
000000357518,DAVIE,WHITE,F,71,BERMUDA RUN,NC,27006,UNA,1,1,1
000000357519,DAVIE,WHITE,M,77,BERMUDA RUN,NC,27006,UNA,1,1,1
000000346599,DAVIE,WHITE,F,44,ADVANCE,NC,27006,DEM,1,1,1
000000352757,DAVIE,UNDESIGNATED,U,76,ADVANCE,NC,27006,UNA,0,0,1
000000346898,DAVIE,WHITE,M,41,ADVANCE,NC,27006,DEM,1,1,1
000000012044,DAVIE,WHITE,F,79,ADVANCE,NC,27006,REP,1,1,1
000000361438,DAVIE,WHITE,F,24,ADVANCE,NC,27006,UNA,0,1,1
000000321385,DAVIE,WHITE,F,78,ADVANCE,NC,27006,REP,1,1,1
000000330921,DAVIE,WHITE,F,58,ADVANCE,NC,27006,REP,1,1,1
000000331991,DAVIE,WHITE,M,61,ADVANCE,NC,27006,REP,1,1,1
000000359488,DAVIE,WHITE,U,42,ADVANCE,NC,27006,UNA,0,0,1
000000361862,DAVIE,UNDESIGNATED,F,57,COOLEEMEE,NC,27014,REP,1,1,1
000000360769,DAVIE,WHITE,F,81,BERMUDA RUN,NC,27006,UNA,1,1,1
000000340708,DAVIE,WHITE,F,44,ADVANCE,NC,27006,REP,0,0,1
000000018940,DAVIE,WHITE,F,101,BERMUDA RUN,NC,27006,REP,1,1,1
000000357090,DAVIE,WHITE,F,19,BERMUDA RUN,NC,27006,UNA,0,0,1
000000330974,DAVIE,WHITE,F,31,ADVANCE,NC,27006,UNA,1,1,1
000000316311,DAVIE,OTHER,M,65,ADVANCE,NC,27006,REP,1,1,1
000000343891,DAVIE,WHITE,F,48,MOCKSVILLE,NC,27028,REP,0,1,1
000000350203,DAVIE,UNDESIGNATED,U,33,MOCKSVILLE,NC,27028,UNA,1,1,1
000000354511,DAVIE,WHITE,F,20,ADVANCE,NC,27006,UNA,0,0,1
000000336218,DAVIE,WHITE,F,47,ADVANCE,NC,27006,DEM,1,1,1
000000322288,DAVIE,WHITE,F,55,ADVANCE,NC,27006,DEM,1,1,1
000000358064,DAVIE,OTHER,F,34,MOCKSVILLE,NC,27028,REP,1,1,1
000000338043,DAVIE,WHITE,F,46,MOCKSVILLE,NC,27028,REP,1,1,1
000000342756,DAVIE,WHITE,F,73,BERMUDA RUN,NC,27006,UNA,0,0,0
000000341611,DAVIE,WHITE,M,54,MOCKSVILLE,NC,27028,UNA,0,1,1
000000025853,DAVIE,WHITE,M,48,MOCKSVILLE,NC,27028,REP,1,1,1
000000342760,DAVIE,WHITE,M,77,BERMUDA RUN,NC,27006,UNA,0,0,0
000000000900,DAVIE,WHITE,M,69,MOCKSVILLE,NC,27028,REP,1,1,1
000000349868,DAVIE,WHITE,M,26,COOLEEMEE,NC,27014,UNA,1,1,1
000000342380,DAVIE,WHITE,M,25,MOCKSVILLE,NC,27028,UNA,0,1,1
000000360540,DAVIE,WHITE,M,39,MOCKSVILLE,NC,27028,REP,0,0,1
000000007987,DAVIE,WHITE,F,77,MOCKSVILLE,NC,27028,REP,1,1,1
000000343684,DAVIE,WHITE,M,43,MOCKSVILLE,NC,27028,REP,1,1,1
000000348996,DAVIE,WHITE,F,30,ADVANCE,NC,27006,REP,1,1,1
000000349676,DAVIE,WHITE,F,65,ADVANCE,NC,27006,REP,1,1,1
000000357088,DAVIE,WHITE,U,27,ADVANCE,NC,27006,UNA,0,0,1
000000350089,DAVIE,WHITE,M,61,ADVANCE,NC,27006,REP,1,1,1
000000357151,DAVIE,WHITE,F,80,MOCKSVILLE,NC,27028,DEM,0,0,1
000000357150,DAVIE,WHITE,M,83,MOCKSVILLE,NC,27028,UNA,0,0,1
000000349194,DAVIE,WHITE,U,36,ADVANCE,NC,27006,UNA,0,1,1
000000335490,DAVIE,WHITE,F,28,ADVANCE,NC,27006,REP,1,1,1
000000331957,DAVIE,WHITE,M,30,ADVANCE,NC,27006,REP,1,1,1
000000315978,DAVIE,WHITE,M,59,ADVANCE,NC,27006,REP,1,1,1
000000315977,DAVIE,WHITE,F,58,ADVANCE,NC,27006,REP,1,1,1
000000345315,DAVIE,WHITE,F,24,MOCKSVILLE,NC,27028,DEM,0,0,1
000000348779,DAVIE,WHITE,F,48,MOCKSVILLE,NC,27028,DEM,0,1,1
000000335908,DAVIE,WHITE,F,46,MOCKSVILLE,NC,27028,UNA,1,1,1
