voter_reg_num,county_desc,race,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000000095997,GRANVILLE,BLACK or AFRICAN AMERICAN,F,20,BUTNER,NC,27509,DEM,0,0,1
000000061034,GRANVILLE,WHITE,F,64,CREEDMOOR,NC,27522,REP,1,1,1
000000084633,GRANVILLE,UNDESIGNATED,U,26,CREEDMOOR,NC,27522,DEM,0,1,1
000000074697,GRANVILLE,BLACK or AFRICAN AMERICAN,F,70,CREEDMOOR,NC,27522,UNA,1,1,1
000000057232,GRANVILLE,UNDESIGNATED,U,35,FRANKLINTON,NC,27525,REP,1,1,1
000000063244,GRANVILLE,WHITE,M,83,OXFORD,NC,27565,UNA,0,0,0
000000059137,GRANVILLE,WHITE,F,83,OXFORD,NC,27565,DEM,1,1,1
000000094449,GRANVILLE,WHITE,F,52,OXFORD,NC,27565,UNA,0,0,1
000000035302,GRANVILLE,WHITE,M,42,OXFORD,NC,27565,UNA,1,1,1
000000094612,GRANVILLE,UNDESIGNATED,U,51,OXFORD,NC,27565,REP,0,0,1
000000062795,GRANVILLE,WHITE,F,67,CREEDMOOR,NC,27522,UNA,1,1,1
000000064592,GRANVILLE,WHITE,F,39,OXFORD,NC,27565,DEM,1,1,1
000000007481,GRANVILLE,WHITE,M,87,BUTNER,NC,27509,UNA,1,1,1
000000041304,GRANVILLE,WHITE,M,43,OXFORD,NC,27565,UNA,0,1,1
000000025740,GRANVILLE,WHITE,F,82,OXFORD,NC,27565,DEM,1,1,1
000000045378,GRANVILLE,WHITE,F,63,WAKE FOREST,NC,27587,UNA,1,1,1
000000045245,GRANVILLE,WHITE,U,41,OXFORD,NC,27565,REP,1,1,1
000000078579,GRANVILLE,WHITE,M,25,OXFORD,NC,27565,REP,0,1,1
000000093655,GRANVILLE,UNDESIGNATED,U,32,STEM,NC,27581,REP,0,1,1
000000039927,GRANVILLE,WHITE,F,47,OXFORD,NC,27565,UNA,1,1,1
000000098929,GRANVILLE,UNDESIGNATED,U,19,OXFORD,NC,27565,DEM,0,0,1
000000065286,GRANVILLE,WHITE,M,82,BULLOCK,NC,27507,UNA,1,1,0
000000097558,GRANVILLE,WHITE,U,28,CREEDMOOR,NC,27522,DEM,0,1,1
000000093404,GRANVILLE,WHITE,F,27,CREEDMOOR,NC,27522,DEM,0,1,1
000000041826,GRANVILLE,ASIAN,M,62,CREEDMOOR,NC,27522,LIB,1,1,1
000000069249,GRANVILLE,WHITE,M,81,WAKE FOREST,NC,27587,REP,1,1,1
000000000001,GRANVILLE,BLACK or AFRICAN AMERICAN,M,81,OXFORD,NC,27565,DEM,1,1,1
000000000002,GRANVILLE,BLACK or AFRICAN AMERICAN,F,81,OXFORD,NC,27565,DEM,1,1,1
000000080701,GRANVILLE,WHITE,F,69,OXFORD,NC,27565,REP,0,1,1
000000065852,GRANVILLE,WHITE,M,67,OXFORD,NC,27565,REP,1,1,1
000000100871,GRANVILLE,WHITE,F,27,WAKE FOREST,NC,27587,REP,0,1,1
000000079706,GRANVILLE,WHITE,F,31,WAKE FOREST,NC,27587,UNA,0,1,1
000000089925,GRANVILLE,WHITE,M,32,WAKE FOREST,NC,27587,UNA,0,0,1
000000100225,GRANVILLE,UNDESIGNATED,U,39,STEM,NC,27581,REP,0,1,1
000000100247,GRANVILLE,UNDESIGNATED,U,33,STEM,NC,27581,UNA,0,0,1
000000091427,GRANVILLE,OTHER,F,21,CREEDMOOR,NC,27522,DEM,0,0,1
