voter_reg_num,county_desc,race,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000000028209,GREENE,BLACK or AFRICAN AMERICAN,M,66,SNOW HILL,NC,28580,DEM,0,1,1
000000014085,GREENE,WHITE,M,54,HOOKERTON,NC,28538,REP,1,1,1
000000013688,GREENE,WHITE,F,53,HOOKERTON,NC,28538,REP,1,1,1
000000021157,GREENE,OTHER,F,45,SNOW HILL,NC,28580,REP,1,1,1
000000022011,GREENE,OTHER,F,30,SNOW HILL,NC,28580,UNA,1,1,1
000000026333,GREENE,OTHER,M,23,LA GRANGE,NC,28551,REP,0,1,1
000000030189,GREENE,OTHER,F,18,SNOW HILL,NC,28580,UNA,0,0,1
000000025498,GREENE,OTHER,F,24,SNOW HILL,NC,28580,UNA,0,1,1
000000024998,GREENE,OTHER,F,50,SNOW HILL,NC,28580,DEM,0,1,1
000000028480,GREENE,UNDESIGNATED,F,20,SNOW HILL,NC,28580,UNA,0,0,1
000000028482,GREENE,OTHER,F,20,LA GRANGE,NC,28551,UNA,0,0,1
000000030472,GREENE,OTHER,M,18,SNOW HILL,NC,28580,REP,0,0,1
000000016118,GREENE,BLACK or AFRICAN AMERICAN,F,70,SNOW HILL,NC,28580,UNA,1,1,1
000000023168,GREENE,BLACK or AFRICAN AMERICAN,M,62,WALSTONBURG,NC,27888,REP,1,1,1
000000005843,GREENE,WHITE,F,88,STANTONSBURG,NC,27883,UNA,1,1,1
000000026706,GREENE,WHITE,M,62,SNOW HILL,NC,28580,REP,1,1,1
000000000391,GREENE,WHITE,M,65,STANTONSBURG,NC,27883,UNA,1,1,1
000000000392,GREENE,WHITE,F,65,STANTONSBURG,NC,27883,UNA,1,1,1
000000023358,GREENE,BLACK or AFRICAN AMERICAN,F,57,WALSTONBURG,NC,27888,REP,0,1,1
000000028137,GREENE,WHITE,M,54,HOOKERTON,NC,28538,REP,0,0,1
000000028134,GREENE,WHITE,F,54,HOOKERTON,NC,28538,UNA,0,0,1
000000030492,GREENE,WHITE,M,25,AYDEN,NC,28513,REP,0,0,1
000000026023,GREENE,WHITE,F,23,WALSTONBURG,NC,27888,UNA,0,1,1
000000025111,GREENE,WHITE,M,25,WALSTONBURG,NC,27888,UNA,0,1,1
000000015504,GREENE,WHITE,M,59,WALSTONBURG,NC,27888,REP,1,1,1
000000026938,GREENE,WHITE,F,51,SNOW HILL,NC,28580,REP,0,1,1
000000009115,GREENE,WHITE,F,61,SNOW HILL,NC,28580,DEM,1,1,1
000000026225,GREENE,WHITE,M,57,SNOW HILL,NC,28580,REP,1,1,1
000000025326,GREENE,WHITE,M,28,SNOW HILL,NC,28580,UNA,1,1,1
000000006552,GREENE,WHITE,M,64,SNOW HILL,NC,28580,DEM,1,1,1
000000026098,GREENE,OTHER,M,59,SNOW HILL,NC,28580,DEM,1,1,1
000000029573,GREENE,OTHER,F,32,LA GRANGE,NC,28551,DEM,1,0,1
000000019204,GREENE,UNDESIGNATED,F,51,SNOW HILL,NC,28580,UNA,1,1,1
000000030591,GREENE,OTHER,F,24,SNOW HILL,NC,28580,REP,0,0,1
000000025276,GREENE,BLACK or AFRICAN AMERICAN,F,25,SNOW HILL,NC,28580,DEM,0,1,1
000000004174,GREENE,WHITE,M,100,SNOW HILL,NC,28580,DEM,1,1,1
000000029316,GREENE,OTHER,F,19,FARMVILLE,NC,27828,DEM,0,0,1
000000023574,GREENE,WHITE,F,26,SNOW HILL,NC,28580,DEM,1,1,1
000000024125,GREENE,WHITE,M,29,SNOW HILL,NC,28580,REP,1,1,1
000000018627,GREENE,BLACK or AFRICAN AMERICAN,M,68,STANTONSBURG,NC,27883,DEM,0,1,1
000000001697,GREENE,BLACK or AFRICAN AMERICAN,F,75,SNOW HILL,NC,28580,DEM,1,1,1
000000004476,GREENE,BLACK or AFRICAN AMERICAN,F,84,SNOW HILL,NC,28580,DEM,1,1,1
000000004808,GREENE,BLACK or AFRICAN AMERICAN,M,72,SNOW HILL,NC,28580,DEM,1,1,1
000000019116,GREENE,BLACK or AFRICAN AMERICAN,F,39,SNOW HILL,NC,28580,DEM,1,1,1
000000004809,GREENE,WHITE,M,70,SNOW HILL,NC,28580,REP,1,1,1
000000028603,GREENE,BLACK or AFRICAN AMERICAN,F,55,SNOW HILL,NC,28580,DEM,1,1,1
000000004177,GREENE,BLACK or AFRICAN AMERICAN,M,80,SNOW HILL,NC,28580,DEM,1,1,1
000000011212,GREENE,BLACK or AFRICAN AMERICAN,M,51,SNOW HILL,NC,28580,DEM,1,1,1
000000004178,GREENE,BLACK or AFRICAN AMERICAN,F,75,SNOW HILL,NC,28580,DEM,1,1,1
000000001254,GREENE,WHITE,F,83,HOOKERTON,NC,28538,UNA,1,1,1
000000002779,GREENE,WHITE,M,65,SNOW HILL,NC,28580,UNA,1,1,1
000000010044,GREENE,BLACK or AFRICAN AMERICAN,M,73,SNOW HILL,NC,28580,DEM,1,1,1
000000011791,GREENE,BLACK or AFRICAN AMERICAN,F,68,SNOW HILL,NC,28580,DEM,1,1,1
000000015594,GREENE,BLACK or AFRICAN AMERICAN,M,39,SNOW HILL,NC,28580,DEM,1,1,1
000000021550,GREENE,WHITE,F,33,AYDEN,NC,28513,UNA,1,1,1
000000002780,GREENE,WHITE,F,66,SNOW HILL,NC,28580,UNA,1,1,1
000000008932,GREENE,WHITE,F,62,SNOW HILL,NC,28580,REP,1,1,1
000000019156,GREENE,BLACK or AFRICAN AMERICAN,F,55,LA GRANGE,NC,28551,DEM,1,1,1
000000030470,GREENE,BLACK or AFRICAN AMERICAN,F,62,SNOW HILL,NC,28580,DEM,0,0,1
000000029649,GREENE,OTHER,M,47,SNOW HILL,NC,28580,UNA,1,1,1
000000003738,GREENE,WHITE,F,86,SNOW HILL,NC,28580,REP,0,1,1
000000004179,GREENE,WHITE,M,69,SNOW HILL,NC,28580,REP,1,1,1
000000004180,GREENE,WHITE,F,68,SNOW HILL,NC,28580,REP,1,1,1
000000030009,GREENE,UNDESIGNATED,U,36,SNOW HILL,NC,28580,UNA,0,0,1
000000001699,GREENE,WHITE,F,68,LA GRANGE,NC,28551,REP,1,1,1
000000019798,GREENE,WHITE,F,32,SNOW HILL,NC,28580,UNA,1,1,1
000000029321,GREENE,BLACK or AFRICAN AMERICAN,M,59,STANTONSBURG,NC,27883,DEM,1,1,1
000000020219,GREENE,BLACK or AFRICAN AMERICAN,M,65,SNOW HILL,NC,28580,DEM,1,1,1
000000017393,GREENE,WHITE,F,70,SNOW HILL,NC,28580,UNA,1,1,1
000000001701,GREENE,WHITE,M,71,LA GRANGE,NC,28551,UNA,1,1,1
000000005169,GREENE,BLACK or AFRICAN AMERICAN,F,71,SNOW HILL,NC,28580,DEM,1,1,1
000000027153,GREENE,WHITE,M,77,SNOW HILL,NC,28580,UNA,0,1,1
000000017665,GREENE,WHITE,M,71,SNOW HILL,NC,28580,UNA,1,1,1
000000023116,GREENE,WHITE,F,74,SNOW HILL,NC,28580,DEM,0,1,1
000000015320,GREENE,WHITE,F,55,SNOW HILL,NC,28580,UNA,1,1,1
000000022403,GREENE,WHITE,F,29,LA GRANGE,NC,28551,REP,1,1,1
000000030237,GREENE,UNDESIGNATED,U,60,SNOW HILL,NC,28580,UNA,0,0,1
000000029455,GREENE,OTHER,M,19,HOOKERTON,NC,28538,REP,0,0,1
000000028798,GREENE,UNDESIGNATED,F,52,HOOKERTON,NC,28538,REP,0,0,1
000000015856,GREENE,WHITE,F,72,LA GRANGE,NC,28551,REP,1,1,1
000000002785,GREENE,WHITE,M,70,HOOKERTON,NC,28538,UNA,1,1,1
000000025905,GREENE,WHITE,M,41,HOOKERTON,NC,28538,UNA,1,1,1
