voter_reg_num,county_desc,race,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000000034971,HERTFORD,BLACK or AFRICAN AMERICAN,F,39,MURFREESBORO,NC,27855,DEM,1,1,1
000000046199,HERTFORD,BLACK or AFRICAN AMERICAN,M,21,MURFREESBORO,NC,27855,REP,0,0,1
000000044093,HERTFORD,UNDESIGNATED,U,66,AULANDER,NC,27805,REP,1,1,1
000000046772,HERTFORD,WHITE,M,80,AHOSKIE,NC,27910,DEM,1,1,1
000000042488,HERTFORD,WHITE,F,57,MURFREESBORO,NC,27855,REP,0,1,1
000000022979,HERTFORD,WHITE,M,59,MURFREESBORO,NC,27855,DEM,0,1,1
000000015647,HERTFORD,WHITE,F,68,MURFREESBORO,NC,27855,REP,1,1,1
000000045020,HERTFORD,WHITE,F,51,MURFREESBORO,NC,27855,DEM,0,0,1
000000043671,HERTFORD,BLACK or AFRICAN AMERICAN,M,54,MURFREESBORO,NC,27855,DEM,0,1,1
000000028060,HERTFORD,WHITE,F,74,MURFREESBORO,NC,27855,REP,1,1,1
000000013852,HERTFORD,WHITE,F,58,MURFREESBORO,NC,27855,DEM,1,1,1
000000026233,HERTFORD,WHITE,F,50,AULANDER,NC,27805,UNA,1,1,1
000000026232,HERTFORD,WHITE,M,64,AULANDER,NC,27805,UNA,1,1,1
000000046422,HERTFORD,WHITE,F,27,MURFREESBORO,NC,27855,UNA,0,0,1
000000045516,HERTFORD,BLACK or AFRICAN AMERICAN,F,73,AHOSKIE,NC,27910,DEM,0,0,1
000000045423,HERTFORD,WHITE,F,45,MURFREESBORO,NC,27855,UNA,0,0,1
000000043550,HERTFORD,BLACK or AFRICAN AMERICAN,F,58,MURFREESBORO,NC,27855,DEM,0,0,1
000000046274,HERTFORD,BLACK or AFRICAN AMERICAN,M,19,MURFREESBORO,NC,27855,UNA,0,0,1
000000047004,HERTFORD,NATIVE HAWAIIAN or PACIFIC ISLANDER,M,54,AHOSKIE,NC,27910,UNA,0,0,1
000000020394,HERTFORD,BLACK or AFRICAN AMERICAN,F,71,AHOSKIE,NC,27910,DEM,1,1,1
000000037885,HERTFORD,WHITE,M,61,COMO,NC,27818,REP,1,1,1
000000039871,HERTFORD,WHITE,M,31,COMO,NC,27818,DEM,1,1,1
000000044084,HERTFORD,WHITE,F,35,MURFREESBORO,NC,27855,UNA,1,1,1
000000043780,HERTFORD,WHITE,F,29,MURFREESBORO,NC,27855,REP,1,1,1
000000044660,HERTFORD,OTHER,M,21,AULANDER,NC,27805,DEM,0,0,1
000000037222,HERTFORD,BLACK or AFRICAN AMERICAN,F,80,COMO,NC,27818,DEM,1,1,1
000000037223,HERTFORD,BLACK or AFRICAN AMERICAN,M,59,MURFREESBORO,NC,27855,DEM,1,1,1
000000031520,HERTFORD,BLACK or AFRICAN AMERICAN,F,50,COMO,NC,27818,DEM,1,1,1
000000043897,HERTFORD,UNDESIGNATED,U,61,AHOSKIE,NC,27910,DEM,0,1,1
000000020889,HERTFORD,BLACK or AFRICAN AMERICAN,F,64,AHOSKIE,NC,27910,DEM,1,1,1
000000047364,HERTFORD,WHITE,F,21,AHOSKIE,NC,27910,REP,0,0,1
000000019678,HERTFORD,BLACK or AFRICAN AMERICAN,F,65,AHOSKIE,NC,27910,DEM,1,1,1
000000022477,HERTFORD,WHITE,F,69,AHOSKIE,NC,27910,DEM,1,1,1
000000017360,HERTFORD,WHITE,F,64,AHOSKIE,NC,27910,UNA,0,1,1
000000040217,HERTFORD,BLACK or AFRICAN AMERICAN,F,66,AHOSKIE,NC,27910,DEM,1,0,1
000000013842,HERTFORD,WHITE,M,71,AHOSKIE,NC,27910,UNA,1,1,1
000000022378,HERTFORD,WHITE,M,76,AHOSKIE,NC,27910,DEM,1,1,1
000000013457,HERTFORD,WHITE,M,65,AHOSKIE,NC,27910,DEM,0,1,1
000000045354,HERTFORD,WHITE,M,20,MURFREESBORO,NC,27855,UNA,0,0,1
000000010617,HERTFORD,BLACK or AFRICAN AMERICAN,F,81,AHOSKIE,NC,27910,DEM,1,1,1
000000045697,HERTFORD,WHITE,M,73,AHOSKIE,NC,27910,REP,0,0,1
000000020982,HERTFORD,BLACK or AFRICAN AMERICAN,M,67,AHOSKIE,NC,27910,DEM,1,1,1
000000044618,HERTFORD,WHITE,F,48,COMO,NC,27818,DEM,0,0,1
000000031709,HERTFORD,BLACK or AFRICAN AMERICAN,F,34,AHOSKIE,NC,27910,DEM,1,1,1
000000045432,HERTFORD,WHITE,U,73,HARRELLSVILLE,NC,27942,DEM,1,1,1
000000004778,HERTFORD,WHITE,F,86,MURFREESBORO,NC,27855,DEM,1,1,1
000000044077,HERTFORD,BLACK or AFRICAN AMERICAN,M,24,AHOSKIE,NC,27910,DEM,0,0,1
000000043720,HERTFORD,UNDESIGNATED,U,69,AHOSKIE,NC,27910,REP,0,1,0
000000043987,HERTFORD,WHITE,M,48,AHOSKIE,NC,27910,REP,0,1,1
000000030186,HERTFORD,BLACK or AFRICAN AMERICAN,F,80,AHOSKIE,NC,27910,DEM,1,1,1
000000015372,HERTFORD,WHITE,F,74,AHOSKIE,NC,27910,DEM,1,1,1
000000005622,HERTFORD,WHITE,M,72,MURFREESBORO,NC,27855,DEM,1,1,1
000000031575,HERTFORD,OTHER,F,45,AHOSKIE,NC,27910,REP,1,1,1
000000005623,HERTFORD,WHITE,F,71,MURFREESBORO,NC,27855,DEM,1,1,1
000000039540,HERTFORD,WHITE,F,38,AHOSKIE,NC,27910,REP,1,1,1
000000047303,HERTFORD,WHITE,M,62,HARRELLSVILLE,NC,27942,UNA,0,0,1
000000047269,HERTFORD,WHITE,F,46,COFIELD,NC,27922,REP,1,1,1
000000000615,HERTFORD,WHITE,M,82,AHOSKIE,NC,27910,DEM,1,1,1
000000044695,HERTFORD,WHITE,M,21,HARRELLSVILLE,NC,27942,REP,0,0,1
000000038518,HERTFORD,WHITE,F,82,AHOSKIE,NC,27910,DEM,1,1,1
000000042215,HERTFORD,WHITE,M,58,AHOSKIE,NC,27910,REP,0,1,1
000000015679,HERTFORD,WHITE,F,59,HARRELLSVILLE,NC,27942,DEM,1,1,1
000000042806,HERTFORD,WHITE,U,53,COMO,NC,27818,UNA,0,1,1
000000041212,HERTFORD,BLACK or AFRICAN AMERICAN,M,52,MURFREESBORO,NC,27855,DEM,1,1,1
000000035652,HERTFORD,BLACK or AFRICAN AMERICAN,F,72,AHOSKIE,NC,27910,DEM,1,1,1
000000032841,HERTFORD,BLACK or AFRICAN AMERICAN,M,64,AHOSKIE,NC,27910,DEM,1,1,1
000000039459,HERTFORD,BLACK or AFRICAN AMERICAN,F,64,MURFREESBORO,NC,27855,DEM,1,1,1
000000033253,HERTFORD,WHITE,M,68,AHOSKIE,NC,27910,UNA,1,1,1
000000033254,HERTFORD,WHITE,F,68,AHOSKIE,NC,27910,UNA,1,1,1
000000032450,HERTFORD,BLACK or AFRICAN AMERICAN,M,70,AHOSKIE,NC,27910,DEM,0,1,1
000000031500,HERTFORD,BLACK or AFRICAN AMERICAN,M,76,MURFREESBORO,NC,27855,DEM,0,1,1
000000012490,HERTFORD,BLACK or AFRICAN AMERICAN,M,70,MURFREESBORO,NC,27855,DEM,1,1,1
000000032839,HERTFORD,BLACK or AFRICAN AMERICAN,F,60,AHOSKIE,NC,27910,DEM,1,1,1
000000035653,HERTFORD,BLACK or AFRICAN AMERICAN,M,74,AHOSKIE,NC,27910,DEM,1,1,1
000000027752,HERTFORD,WHITE,M,69,HARRELLSVILLE,NC,27942,UNA,1,1,1
000000027753,HERTFORD,WHITE,F,72,HARRELLSVILLE,NC,27942,UNA,1,1,1
000000030764,HERTFORD,WHITE,F,69,COMO,NC,27818,UNA,0,1,1
000000031399,HERTFORD,WHITE,M,67,COMO,NC,27818,REP,1,1,1
000000030832,HERTFORD,WHITE,F,66,COMO,NC,27818,REP,1,1,1
000000037004,HERTFORD,BLACK or AFRICAN AMERICAN,M,35,AULANDER,NC,27805,DEM,1,1,1
000000028463,HERTFORD,BLACK or AFRICAN AMERICAN,F,71,AULANDER,NC,27805,DEM,1,1,1
000000029079,HERTFORD,BLACK or AFRICAN AMERICAN,M,54,AHOSKIE,NC,27910,UNA,1,1,1
000000021839,HERTFORD,BLACK or AFRICAN AMERICAN,F,59,AHOSKIE,NC,27910,DEM,1,1,1
000000028676,HERTFORD,BLACK or AFRICAN AMERICAN,M,60,AHOSKIE,NC,27910,DEM,1,1,1
000000011836,HERTFORD,BLACK or AFRICAN AMERICAN,F,69,AHOSKIE,NC,27910,DEM,1,1,1
000000039886,HERTFORD,BLACK or AFRICAN AMERICAN,M,27,AHOSKIE,NC,27910,DEM,0,1,1
000000012775,HERTFORD,BLACK or AFRICAN AMERICAN,M,60,AHOSKIE,NC,27910,DEM,1,1,1
000000022320,HERTFORD,BLACK or AFRICAN AMERICAN,F,61,MURFREESBORO,NC,27855,DEM,1,1,1
000000047159,HERTFORD,UNDESIGNATED,F,35,AHOSKIE,NC,27910,REP,0,0,1
000000045141,HERTFORD,WHITE,M,70,AULANDER,NC,27805,UNA,0,0,1
000000046369,HERTFORD,WHITE,F,45,AULANDER,NC,27805,REP,0,0,1
000000045117,HERTFORD,WHITE,F,70,AULANDER,NC,27805,UNA,0,0,1
000000021683,HERTFORD,BLACK or AFRICAN AMERICAN,M,60,MURFREESBORO,NC,27855,DEM,1,1,1
000000001693,HERTFORD,BLACK or AFRICAN AMERICAN,M,73,COFIELD,NC,27922,DEM,1,1,1
000000002140,HERTFORD,BLACK or AFRICAN AMERICAN,F,66,WINTON,NC,27986,DEM,1,1,1
000000002141,HERTFORD,BLACK or AFRICAN AMERICAN,F,79,WINTON,NC,27986,DEM,1,1,1
