voter_reg_num,county_desc,race,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000000009463,HYDE,WHITE,F,42,OCRACOKE,NC,27960,REP,1,1,1
000000009471,HYDE,WHITE,M,36,BELHAVEN,NC,27810,REP,1,1,1
000000009472,HYDE,WHITE,F,34,BELHAVEN,NC,27810,REP,1,1,1
000000005124,HYDE,WHITE,F,72,OCRACOKE,NC,27960,UNA,1,1,1
000000007434,HYDE,WHITE,F,66,OCRACOKE,NC,27960,REP,1,1,1
000000007435,HYDE,WHITE,M,77,OCRACOKE,NC,27960,UNA,1,1,1
000000009123,HYDE,WHITE,F,54,OCRACOKE,NC,27960,DEM,0,0,1
000000007147,HYDE,WHITE,M,85,FAIRFIELD,NC,27826,REP,1,1,1
000000000552,HYDE,WHITE,F,66,PANTEGO,NC,27860,UNA,1,1,1
000000000553,HYDE,WHITE,M,66,PANTEGO,NC,27860,UNA,1,1,1
000000008128,HYDE,WHITE,F,36,BELHAVEN,NC,27810,UNA,1,1,1
000000009389,HYDE,WHITE,M,34,OCRACOKE,NC,27960,UNA,0,1,1
000000007089,HYDE,WHITE,F,32,OCRACOKE,NC,27960,REP,1,1,1
000000006154,HYDE,WHITE,F,73,ENGELHARD,NC,27824,UNA,1,1,1
000000004045,HYDE,WHITE,M,68,ENGELHARD,NC,27824,REP,1,1,1
000000008998,HYDE,BLACK or AFRICAN AMERICAN,M,68,SCRANTON,NC,27875,UNA,0,1,1
000000009700,HYDE,WHITE,U,64,BELHAVEN,NC,27810,UNA,0,0,1
000000009345,HYDE,UNDESIGNATED,U,63,BELHAVEN,NC,27810,UNA,0,0,1
000000007553,HYDE,WHITE,M,60,ENGELHARD,NC,27824,UNA,1,1,1
000000008875,HYDE,WHITE,M,58,ENGELHARD,NC,27824,UNA,0,1,1
000000007604,HYDE,WHITE,F,31,BELHAVEN,NC,27810,REP,1,1,1
000000000557,HYDE,WHITE,M,62,BELHAVEN,NC,27810,REP,1,1,1
000000007729,HYDE,WHITE,F,28,BELHAVEN,NC,27810,UNA,0,1,1
000000000561,HYDE,WHITE,F,67,BELHAVEN,NC,27810,REP,1,1,1
000000000562,HYDE,WHITE,M,68,BELHAVEN,NC,27810,REP,1,1,1
000000002516,HYDE,WHITE,F,57,BELHAVEN,NC,27810,REP,1,1,1
000000009135,HYDE,WHITE,F,66,OCRACOKE,NC,27960,UNA,0,0,1
000000009134,HYDE,WHITE,M,64,OCRACOKE,NC,27960,UNA,0,0,1
000000007790,HYDE,BLACK or AFRICAN AMERICAN,M,36,SCRANTON,NC,27875,DEM,1,1,1
000000009741,HYDE,WHITE,M,28,SWAN QUARTER,NC,27885,REP,1,1,1
000000008623,HYDE,WHITE,M,34,OCRACOKE,NC,27960,UNA,0,1,1
000000008620,HYDE,WHITE,F,39,OCRACOKE,NC,27960,UNA,0,1,1
