voter_reg_num,county_desc,race,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000320347041,JACKSON,UNDESIGNATED,F,44,SYLVA,NC,28779,DEM,1,1,1
000320367342,JACKSON,WHITE,F,21,WHITTIER,NC,28789,REP,0,0,1
000320376724,JACKSON,UNDESIGNATED,U,27,CULLOWHEE,NC,28723,UNA,0,1,1
000320368348,JACKSON,OTHER,F,52,SYLVA,NC,28779,REP,0,0,0
000000012233,JACKSON,INDIAN AMERICAN or ALASKA NATIVE,F,72,WHITTIER,NC,28789,UNA,1,1,1
000064619056,JACKSON,WHITE,M,50,WHITTIER,NC,28789,REP,1,1,1
000320369863,JACKSON,WHITE,F,67,TUCKASEGEE,NC,28783,UNA,0,0,1
000000035678,JACKSON,WHITE,M,79,CHEROKEE,NC,28719,UNA,1,1,1
000320369864,JACKSON,WHITE,M,67,TUCKASEGEE,NC,28783,UNA,0,0,1
000064620363,JACKSON,WHITE,F,51,WHITTIER,NC,28789,REP,1,1,1
000320350514,JACKSON,WHITE,F,62,SYLVA,NC,28779,UNA,1,1,1
000320366903,JACKSON,WHITE,F,66,SYLVA,NC,28779,DEM,0,0,1
000320366870,JACKSON,WHITE,M,75,SYLVA,NC,28779,DEM,0,0,1
000320355786,JACKSON,WHITE,F,65,CASHIERS,NC,28717,DEM,1,1,1
000320347838,JACKSON,WHITE,M,41,SYLVA,NC,28779,DEM,1,1,1
000320376466,JACKSON,UNDESIGNATED,U,20,CULLOWHEE,NC,28723,REP,0,0,1
000320377013,JACKSON,WHITE,F,21,CULLOWHEE,NC,28723,REP,0,0,1
000000001799,JACKSON,WHITE,F,67,SYLVA,NC,28779,DEM,1,1,1
000320360066,JACKSON,OTHER,F,38,SYLVA,NC,28779,UNA,1,1,1
000320349786,JACKSON,WHITE,F,65,CASHIERS,NC,28717,REP,1,1,1
000320352526,JACKSON,WHITE,F,33,CASHIERS,NC,28717,DEM,0,1,1
000320347372,JACKSON,WHITE,M,30,CASHIERS,NC,28717,UNA,0,1,1
000320348779,JACKSON,WHITE,U,64,CASHIERS,NC,28717,REP,1,1,1
000320367414,JACKSON,WHITE,F,22,CULLOWHEE,NC,28723,DEM,0,0,1
000320363739,JACKSON,WHITE,F,36,WHITTIER,NC,28789,UNA,0,1,1
000320376206,JACKSON,TWO or MORE RACES,F,21,CULLOWHEE,NC,28723,UNA,0,0,1
000320375314,JACKSON,BLACK or AFRICAN AMERICAN,F,19,CULLOWHEE,NC,28723,UNA,0,0,1
000320336277,JACKSON,INDIAN AMERICAN or ALASKA NATIVE,M,55,SYLVA,NC,28779,DEM,1,1,1
000320377325,JACKSON,WHITE,F,21,CULLOWHEE,NC,28723,UNA,0,0,1
000000035453,JACKSON,WHITE,F,82,MAGGIE VALLEY,NC,28751,UNA,1,1,1
000320354457,JACKSON,WHITE,M,75,CASHIERS,NC,28717,UNA,0,1,1
000320356496,JACKSON,WHITE,M,75,SYLVA,NC,28779,UNA,1,1,1
000064621438,JACKSON,WHITE,F,37,SYLVA,NC,28779,REP,0,1,1
000320376053,JACKSON,UNDESIGNATED,F,20,SYLVA,NC,28779,UNA,0,0,1
000320374761,JACKSON,WHITE,M,19,CULLOWHEE,NC,28723,REP,0,0,1
000320374902,JACKSON,UNDESIGNATED,U,21,CULLOWHEE,NC,28723,UNA,0,0,1
000320368672,JACKSON,UNDESIGNATED,F,69,TUCKASEGEE,NC,28783,REP,0,0,1
000320348940,JACKSON,WHITE,F,74,CULLOWHEE,NC,28723,UNA,1,1,1
000320337864,JACKSON,WHITE,F,50,SYLVA,NC,28779,DEM,0,1,1
000320377100,JACKSON,UNDESIGNATED,U,21,CULLOWHEE,NC,28723,UNA,0,0,1
000320356497,JACKSON,WHITE,F,75,SYLVA,NC,28779,UNA,1,1,1
000000001804,JACKSON,WHITE,M,78,CULLOWHEE,NC,28723,REP,1,1,1
000320368671,JACKSON,UNDESIGNATED,M,67,TUCKASEGEE,NC,28783,REP,0,0,1
000320351682,JACKSON,WHITE,M,54,SYLVA,NC,28779,UNA,1,1,1
000000036436,JACKSON,INDIAN AMERICAN or ALASKA NATIVE,M,42,CHEROKEE,NC,28719,UNA,1,1,1
000320360956,JACKSON,UNDESIGNATED,U,37,SYLVA,NC,28779,REP,0,1,1
000320347441,JACKSON,WHITE,M,52,SYLVA,NC,28779,REP,0,0,1
000320376710,JACKSON,WHITE,F,20,CULLOWHEE,NC,28723,UNA,0,0,1
000320350261,JACKSON,WHITE,F,68,CASHIERS,NC,28717,DEM,1,1,1
000064623228,JACKSON,WHITE,M,59,,,,UNA,1,1,1
000000027361,JACKSON,WHITE,F,63,CULLOWHEE,NC,28723,DEM,1,1,1
000000001809,JACKSON,WHITE,M,86,CULLOWHEE,NC,28723,REP,1,1,1
000320374437,JACKSON,UNDESIGNATED,U,72,SYLVA,NC,28779,REP,0,0,0
000064618217,JACKSON,WHITE,M,64,SYLVA,NC,28779,DEM,1,1,1
000320357733,JACKSON,WHITE,M,52,CULLOWHEE,NC,28723,DEM,0,1,1
000320351677,JACKSON,WHITE,F,56,SYLVA,NC,28779,UNA,1,1,1
000320374838,JACKSON,WHITE,F,49,WHITTIER,NC,28789,DEM,1,0,1
000000032611,JACKSON,WHITE,M,78,HIGHLANDS,NC,28741,REP,1,1,1
000320349483,JACKSON,UNDESIGNATED,M,44,SYLVA,NC,28779,DEM,1,1,1
000000033831,JACKSON,BLACK or AFRICAN AMERICAN,F,61,CULLOWHEE,NC,28723,DEM,1,1,1
000320369910,JACKSON,WHITE,F,21,CULLOWHEE,NC,28723,GRE,0,0,1
000320352649,JACKSON,WHITE,F,55,CULLOWHEE,NC,28723,UNA,1,1,1
000320353147,JACKSON,WHITE,M,74,WHITTIER,NC,28789,REP,1,1,1
000320372884,JACKSON,WHITE,F,18,SYLVA,NC,28779,UNA,0,0,1
000320356876,JACKSON,WHITE,F,55,SYLVA,NC,28779,DEM,0,1,1
000320366425,JACKSON,WHITE,M,21,SYLVA,NC,28779,UNA,0,0,1
000320369578,JACKSON,WHITE,F,79,WHITTIER,NC,28789,REP,0,0,1
000064616645,JACKSON,WHITE,M,59,CULLOWHEE,NC,28723,UNA,1,1,1
000320357363,JACKSON,WHITE,F,61,CASHIERS,NC,28717,UNA,1,0,1
000320371892,JACKSON,WHITE,M,42,SYLVA,NC,28779,REP,0,0,1
000320350565,JACKSON,WHITE,F,61,WHITTIER,NC,28789,DEM,0,1,1
000320338351,JACKSON,WHITE,M,61,SYLVA,NC,28779,REP,1,1,1
000320348098,JACKSON,WHITE,F,31,SYLVA,NC,28779,REP,1,1,1
000320376370,JACKSON,OTHER,F,19,CULLOWHEE,NC,28723,DEM,0,0,1
000320377256,JACKSON,WHITE,F,21,CULLOWHEE,NC,28723,REP,0,0,1
