voter_reg_num,county_desc,race,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000000019160,MARTIN,BLACK or AFRICAN AMERICAN,F,59,ROBERSONVILLE,NC,27871,DEM,1,1,1
000000015679,MARTIN,BLACK or AFRICAN AMERICAN,M,60,ROBERSONVILLE,NC,27871,DEM,1,1,1
000000042710,MARTIN,BLACK or AFRICAN AMERICAN,F,61,WILLIAMSTON,NC,27892,DEM,1,1,1
000000014655,MARTIN,BLACK or AFRICAN AMERICAN,F,57,WILLIAMSTON,NC,27892,DEM,1,1,1
000000026454,MARTIN,WHITE,M,62,WILLIAMSTON,NC,27892,REP,1,1,1
000000020176,MARTIN,WHITE,F,60,JAMESVILLE,NC,27846,REP,1,1,1
000000044177,MARTIN,WHITE,M,47,WILLIAMSTON,NC,27892,REP,0,1,1
000000017722,MARTIN,BLACK or AFRICAN AMERICAN,M,66,WILLIAMSTON,NC,27892,DEM,1,1,1
000000024141,MARTIN,BLACK or AFRICAN AMERICAN,F,75,PARMELE,NC,27861,UNA,1,1,1
000000043345,MARTIN,WHITE,M,35,WILLIAMSTON,NC,27892,REP,1,1,1
000000035683,MARTIN,WHITE,F,47,WILLIAMSTON,NC,27892,REP,1,1,1
000000007041,MARTIN,BLACK or AFRICAN AMERICAN,F,69,WILLIAMSTON,NC,27892,DEM,1,1,1
000000043892,MARTIN,UNDESIGNATED,U,71,ROBERSONVILLE,NC,27871,UNA,0,1,1
000000020177,MARTIN,WHITE,M,65,JAMESVILLE,NC,27846,REP,1,1,1
000000030111,MARTIN,WHITE,M,64,WILLIAMSTON,NC,27892,REP,1,1,1
000000047466,MARTIN,UNDESIGNATED,M,77,WILLIAMSTON,NC,27892,UNA,0,0,1
000000039682,MARTIN,WHITE,M,43,WILLIAMSTON,NC,27892,UNA,1,1,1
000000039747,MARTIN,WHITE,F,40,WILLIAMSTON,NC,27892,REP,1,1,1
000000030290,MARTIN,BLACK or AFRICAN AMERICAN,F,43,WILLIAMSTON,NC,27892,DEM,1,1,1
000000046948,MARTIN,WHITE,F,48,WILLIAMSTON,NC,27892,REP,0,0,1
000000048368,MARTIN,UNDESIGNATED,U,41,WILLIAMSTON,NC,27892,REP,0,0,1
000000047053,MARTIN,WHITE,F,46,JAMESVILLE,NC,27846,UNA,0,1,1
000000025063,MARTIN,BLACK or AFRICAN AMERICAN,M,67,HAMILTON,NC,27840,DEM,0,0,1
000000014405,MARTIN,UNDESIGNATED,M,77,JAMESVILLE,NC,27846,REP,1,1,1
000000015388,MARTIN,WHITE,F,82,WILLIAMSTON,NC,27892,UNA,1,1,1
000000009638,MARTIN,WHITE,M,85,WILLIAMSTON,NC,27892,UNA,1,1,1
000000031015,MARTIN,TWO or MORE RACES,F,77,ROBERSONVILLE,NC,27871,DEM,1,1,1
000000047057,MARTIN,UNDESIGNATED,U,65,WILLIAMSTON,NC,27892,REP,1,1,1
000000018286,MARTIN,BLACK or AFRICAN AMERICAN,F,50,WILLIAMSTON,NC,27892,DEM,1,1,1
000000042460,MARTIN,BLACK or AFRICAN AMERICAN,M,23,WILLIAMSTON,NC,27892,UNA,0,0,1
000000040590,MARTIN,BLACK or AFRICAN AMERICAN,M,57,WILLIAMSTON,NC,27892,DEM,0,1,1
000000014702,MARTIN,BLACK or AFRICAN AMERICAN,F,54,WILLIAMSTON,NC,27892,DEM,1,1,1
000000033620,MARTIN,BLACK or AFRICAN AMERICAN,M,85,ROBERSONVILLE,NC,27871,DEM,1,1,1
000000016526,MARTIN,WHITE,M,54,WILLIAMSTON,NC,27892,DEM,1,1,1
000000016440,MARTIN,BLACK or AFRICAN AMERICAN,F,82,ROBERSONVILLE,NC,27871,DEM,1,1,1
000000024693,MARTIN,BLACK or AFRICAN AMERICAN,F,79,WILLIAMSTON,NC,27892,DEM,1,1,1
000000015035,MARTIN,WHITE,M,74,WILLIAMSTON,NC,27892,UNA,1,1,1
000000044929,MARTIN,WHITE,F,70,WILLIAMSTON,NC,27892,REP,1,1,1
000000015036,MARTIN,WHITE,F,70,WILLIAMSTON,NC,27892,DEM,1,1,1
000000040472,MARTIN,WHITE,F,27,WILLIAMSTON,NC,27892,UNA,0,1,1
000000020288,MARTIN,WHITE,F,55,WILLIAMSTON,NC,27892,REP,1,1,1
000000024160,MARTIN,WHITE,F,72,ROBERSONVILLE,NC,27871,REP,1,1,1
000000005159,MARTIN,BLACK or AFRICAN AMERICAN,F,62,ROBERSONVILLE,NC,27871,DEM,1,1,1
000000023755,MARTIN,WHITE,M,74,WILLIAMSTON,NC,27892,REP,1,1,1
000000030850,MARTIN,WHITE,M,75,JAMESVILLE,NC,27846,UNA,1,1,1
000000030848,MARTIN,WHITE,F,66,JAMESVILLE,NC,27846,REP,1,1,1
000000048439,MARTIN,BLACK or AFRICAN AMERICAN,F,23,ROBERSONVILLE,NC,27871,REP,0,1,1
000000005160,MARTIN,BLACK or AFRICAN AMERICAN,M,62,ROBERSONVILLE,NC,27871,DEM,1,1,1
000000021033,MARTIN,WHITE,F,97,WILLIAMSTON,NC,27892,DEM,1,1,1
000000030156,MARTIN,WHITE,M,73,JAMESVILLE,NC,27846,REP,1,1,1
000000021219,MARTIN,WHITE,F,55,JAMESVILLE,NC,27846,UNA,0,1,1
000000045741,MARTIN,WHITE,M,49,JAMESVILLE,NC,27846,REP,0,1,1
000000009653,MARTIN,WHITE,F,79,WILLIAMSTON,NC,27892,DEM,1,1,1
000000032158,MARTIN,BLACK or AFRICAN AMERICAN,M,70,WILLIAMSTON,NC,27892,DEM,1,1,1
000000031991,MARTIN,BLACK or AFRICAN AMERICAN,F,71,WILLIAMSTON,NC,27892,DEM,1,1,1
000000008713,MARTIN,BLACK or AFRICAN AMERICAN,F,76,WILLIAMSTON,NC,27892,DEM,1,1,1
000000016931,MARTIN,BLACK or AFRICAN AMERICAN,M,55,OAK CITY,NC,27857,UNA,1,1,1
000000002082,MARTIN,BLACK or AFRICAN AMERICAN,F,74,OAK CITY,NC,27857,DEM,1,1,1
000000048500,MARTIN,WHITE,F,40,JAMESVILLE,NC,27846,UNA,1,0,1
000000048414,MARTIN,UNDESIGNATED,U,31,WILLIAMSTON,NC,27892,REP,1,0,1
000000017244,MARTIN,WHITE,M,63,WILLIAMSTON,NC,27892,REP,1,1,1
000000002935,MARTIN,WHITE,F,85,JAMESVILLE,NC,27846,DEM,1,1,1
000000006398,MARTIN,WHITE,M,79,WILLIAMSTON,NC,27892,DEM,1,1,1
000000048519,MARTIN,WHITE,F,57,ROBERSONVILLE,NC,27871,REP,0,1,1
000000017243,MARTIN,WHITE,F,62,WILLIAMSTON,NC,27892,REP,1,1,1
000000015911,MARTIN,WHITE,F,53,WILLIAMSTON,NC,27892,DEM,1,1,1
000000043642,MARTIN,WHITE,M,59,ROBERSONVILLE,NC,27871,REP,0,1,1
000000041583,MARTIN,WHITE,F,77,WILLIAMSTON,NC,27892,UNA,0,1,1
000000043356,MARTIN,WHITE,F,71,JAMESVILLE,NC,27846,REP,0,1,1
000000027424,MARTIN,BLACK or AFRICAN AMERICAN,M,78,OAK CITY,NC,27857,DEM,1,1,1
000000044111,MARTIN,BLACK or AFRICAN AMERICAN,F,75,OAK CITY,NC,27857,DEM,0,1,1
000000040467,MARTIN,TWO or MORE RACES,F,25,ROBERSONVILLE,NC,27871,UNA,0,1,1
000000035860,MARTIN,BLACK or AFRICAN AMERICAN,F,86,ROBERSONVILLE,NC,27871,DEM,1,1,1
000000031806,MARTIN,WHITE,M,49,WILLIAMSTON,NC,27892,DEM,1,1,1
000000045838,MARTIN,WHITE,M,38,WILLIAMSTON,NC,27892,DEM,1,1,1
000000029433,MARTIN,WHITE,F,51,WILLIAMSTON,NC,27892,REP,1,1,1
000000044576,MARTIN,WHITE,M,21,WILLIAMSTON,NC,27892,REP,0,0,1
000000016951,MARTIN,BLACK or AFRICAN AMERICAN,F,76,WILLIAMSTON,NC,27892,UNA,1,1,1
000000037698,MARTIN,WHITE,M,69,WILLIAMSTON,NC,27892,LIB,1,1,1
000000006401,MARTIN,WHITE,F,80,WILLIAMSTON,NC,27892,DEM,1,1,1
000000002693,MARTIN,WHITE,F,59,WILLIAMSTON,NC,27892,UNA,1,1,1
000000004307,MARTIN,BLACK or AFRICAN AMERICAN,M,66,ROBERSONVILLE,NC,27871,DEM,1,1,1
000000040274,MARTIN,BLACK or AFRICAN AMERICAN,F,74,ROBERSONVILLE,NC,27871,DEM,1,1,1
000000024696,MARTIN,BLACK or AFRICAN AMERICAN,F,75,ROBERSONVILLE,NC,27871,DEM,1,1,1
000000027080,MARTIN,BLACK or AFRICAN AMERICAN,F,62,ROBERSONVILLE,NC,27871,DEM,1,1,1
000000034993,MARTIN,BLACK or AFRICAN AMERICAN,F,63,ROBERSONVILLE,NC,27871,DEM,1,1,1
000000017617,MARTIN,BLACK or AFRICAN AMERICAN,F,65,ROBERSONVILLE,NC,27871,DEM,1,1,1
000000019719,MARTIN,BLACK or AFRICAN AMERICAN,F,59,WILLIAMSTON,NC,27892,DEM,1,1,1
000000008404,MARTIN,BLACK or AFRICAN AMERICAN,F,64,WILLIAMSTON,NC,27892,DEM,1,1,1
000000013012,MARTIN,BLACK or AFRICAN AMERICAN,F,70,OAK CITY,NC,27857,DEM,1,1,1
000000044676,MARTIN,WHITE,M,43,WILLIAMSTON,NC,27892,REP,0,0,1
000000032482,MARTIN,BLACK or AFRICAN AMERICAN,M,75,OAK CITY,NC,27857,DEM,1,1,1
000000046789,MARTIN,UNDESIGNATED,U,18,WILLIAMSTON,NC,27892,UNA,0,0,1
000000004314,MARTIN,WHITE,M,81,ROBERSONVILLE,NC,27871,UNA,1,1,1
000000014856,MARTIN,BLACK or AFRICAN AMERICAN,F,76,ROBERSONVILLE,NC,27871,DEM,1,1,1
000000019293,MARTIN,WHITE,F,48,WILLIAMSTON,NC,27892,REP,1,1,1
000000046790,MARTIN,UNDESIGNATED,U,18,WILLIAMSTON,NC,27892,UNA,0,0,1
000000031924,MARTIN,BLACK or AFRICAN AMERICAN,M,74,ROBERSONVILLE,NC,27871,DEM,1,1,1
000000048255,MARTIN,WHITE,M,20,WILLIAMSTON,NC,27892,REP,0,0,1
000000004317,MARTIN,WHITE,F,76,ROBERSONVILLE,NC,27871,UNA,1,1,1
000000029610,MARTIN,BLACK or AFRICAN AMERICAN,M,36,WILLIAMSTON,NC,27892,DEM,1,1,1
000000033746,MARTIN,BLACK or AFRICAN AMERICAN,F,65,ROBERSONVILLE,NC,27871,DEM,1,1,1
000000048476,MARTIN,UNDESIGNATED,U,24,WILLIAMSTON,NC,27892,DEM,0,0,0
000000028517,MARTIN,BLACK or AFRICAN AMERICAN,F,39,ROBERSONVILLE,NC,27871,DEM,1,1,1
000000047460,MARTIN,BLACK or AFRICAN AMERICAN,U,32,WILLIAMSTON,NC,27892,DEM,1,0,1
000000001379,MARTIN,BLACK or AFRICAN AMERICAN,M,78,OAK CITY,NC,27857,DEM,1,1,1
000000034735,MARTIN,BLACK or AFRICAN AMERICAN,F,70,ROBERSONVILLE,NC,27871,DEM,1,1,1
000000033871,MARTIN,BLACK or AFRICAN AMERICAN,M,69,PARMELE,NC,27861,DEM,0,1,1
000000046988,MARTIN,BLACK or AFRICAN AMERICAN,M,62,ROBERSONVILLE,NC,27871,DEM,1,0,1
000000004329,MARTIN,BLACK or AFRICAN AMERICAN,F,87,ROBERSONVILLE,NC,27871,DEM,1,1,1
000000012956,MARTIN,WHITE,F,71,WILLIAMSTON,NC,27892,REP,1,1,1
000000030941,MARTIN,BLACK or AFRICAN AMERICAN,F,67,PARMELE,NC,27861,DEM,1,1,1
000000048320,MARTIN,UNDESIGNATED,U,46,WILLIAMSTON,NC,27892,REP,0,0,1
000000015133,MARTIN,WHITE,M,72,WILLIAMSTON,NC,27892,REP,1,1,1
000000016089,MARTIN,BLACK or AFRICAN AMERICAN,M,65,ROBERSONVILLE,NC,27871,DEM,1,1,1
000000028181,MARTIN,BLACK or AFRICAN AMERICAN,M,60,PARMELE,NC,27861,DEM,1,1,1
000000047389,MARTIN,BLACK or AFRICAN AMERICAN,F,47,ROBERSONVILLE,NC,27871,UNA,1,1,1
000000001382,MARTIN,BLACK or AFRICAN AMERICAN,F,76,OAK CITY,NC,27857,DEM,1,1,1
000000043634,MARTIN,BLACK or AFRICAN AMERICAN,F,60,WILLIAMSTON,NC,27892,DEM,0,1,1
000000039885,MARTIN,WHITE,M,35,OAK CITY,NC,27857,GRE,1,1,1
000000025492,MARTIN,BLACK or AFRICAN AMERICAN,F,56,ROBERSONVILLE,NC,27871,DEM,1,1,1
000000002937,MARTIN,WHITE,M,79,JAMESVILLE,NC,27846,UNA,1,1,1
000000019763,MARTIN,WHITE,F,60,JAMESVILLE,NC,27846,REP,1,1,1
000000002939,MARTIN,WHITE,F,78,JAMESVILLE,NC,27846,UNA,1,1,1
000000016268,MARTIN,WHITE,F,57,JAMESVILLE,NC,27846,REP,1,1,1
000000025493,MARTIN,WHITE,F,61,JAMESVILLE,NC,27846,UNA,1,1,1
000000042762,MARTIN,WHITE,M,22,JAMESVILLE,NC,27846,UNA,0,1,1
000000003926,MARTIN,WHITE,F,59,JAMESVILLE,NC,27846,UNA,1,1,1
000000002943,MARTIN,WHITE,M,63,JAMESVILLE,NC,27846,UNA,0,1,1
000000002945,MARTIN,WHITE,M,60,JAMESVILLE,NC,27846,REP,1,1,1
000000014055,MARTIN,WHITE,M,71,JAMESVILLE,NC,27846,REP,1,1,1
000000035265,MARTIN,WHITE,F,31,JAMESVILLE,NC,27846,REP,1,1,1
000000039256,MARTIN,WHITE,F,42,JAMESVILLE,NC,27846,REP,1,1,1
000000021332,MARTIN,WHITE,M,63,JAMESVILLE,NC,27846,REP,0,1,1
000000024918,MARTIN,WHITE,M,57,JAMESVILLE,NC,27846,UNA,1,1,1
000000002962,MARTIN,WHITE,M,59,JAMESVILLE,NC,27846,REP,1,1,1
000000038800,MARTIN,WHITE,F,27,JAMESVILLE,NC,27846,REP,1,1,1
000000002964,MARTIN,WHITE,F,70,JAMESVILLE,NC,27846,REP,0,1,1
000000014054,MARTIN,WHITE,F,58,JAMESVILLE,NC,27846,REP,1,1,1
000000035674,MARTIN,WHITE,F,60,JAMESVILLE,NC,27846,UNA,0,1,1
000000029267,MARTIN,WHITE,M,38,JAMESVILLE,NC,27846,DEM,1,1,1
000000044163,MARTIN,WHITE,M,34,JAMESVILLE,NC,27846,REP,0,1,1
000000032392,MARTIN,BLACK or AFRICAN AMERICAN,M,71,WILLIAMSTON,NC,27892,DEM,1,1,1
000000029266,MARTIN,BLACK or AFRICAN AMERICAN,F,59,WILLIAMSTON,NC,27892,DEM,1,1,1
000000017290,MARTIN,BLACK or AFRICAN AMERICAN,F,70,WILLIAMSTON,NC,27892,DEM,1,1,1
000000008764,MARTIN,BLACK or AFRICAN AMERICAN,F,69,WILLIAMSTON,NC,27892,DEM,1,1,1
000000016514,MARTIN,BLACK or AFRICAN AMERICAN,F,58,WILLIAMSTON,NC,27892,DEM,1,0,1
000000029857,MARTIN,BLACK or AFRICAN AMERICAN,F,72,ROBERSONVILLE,NC,27871,DEM,1,1,1
000000015815,MARTIN,BLACK or AFRICAN AMERICAN,F,72,WILLIAMSTON,NC,27892,DEM,1,1,1
000000031662,MARTIN,BLACK or AFRICAN AMERICAN,M,72,WILLIAMSTON,NC,27892,DEM,1,1,1
000000029516,MARTIN,BLACK or AFRICAN AMERICAN,M,66,ROBERSONVILLE,NC,27871,DEM,1,1,1
000000038142,MARTIN,BLACK or AFRICAN AMERICAN,F,37,WILLIAMSTON,NC,27892,DEM,1,1,1
000000031563,MARTIN,BLACK or AFRICAN AMERICAN,M,37,WILLIAMSTON,NC,27892,DEM,1,1,1
000000037001,MARTIN,BLACK or AFRICAN AMERICAN,M,68,WILLIAMSTON,NC,27892,DEM,1,1,1
000000016798,MARTIN,WHITE,M,70,JAMESVILLE,NC,27846,REP,1,1,1
000000042287,MARTIN,OTHER,M,48,WILLIAMSTON,NC,27892,REP,0,1,1
000000040875,MARTIN,OTHER,F,32,WILLIAMSTON,NC,27892,UNA,0,1,1
000000042127,MARTIN,WHITE,F,35,JAMESVILLE,NC,27846,DEM,1,1,1
000000005135,MARTIN,BLACK or AFRICAN AMERICAN,F,67,ROBERSONVILLE,NC,27871,DEM,1,1,1
000000031487,MARTIN,BLACK or AFRICAN AMERICAN,M,68,ROBERSONVILLE,NC,27871,DEM,1,1,1
000000014751,MARTIN,BLACK or AFRICAN AMERICAN,F,74,WILLIAMSTON,NC,27892,DEM,1,1,1
000000013747,MARTIN,BLACK or AFRICAN AMERICAN,F,66,WILLIAMSTON,NC,27892,DEM,1,1,1
000000033122,MARTIN,BLACK or AFRICAN AMERICAN,F,50,JAMESVILLE,NC,27846,DEM,1,1,1
000000028167,MARTIN,WHITE,M,58,WILLIAMSTON,NC,27892,REP,1,1,1
000000021153,MARTIN,WHITE,F,59,WILLIAMSTON,NC,27892,REP,1,1,1
000000046127,MARTIN,WHITE,M,58,WILLIAMSTON,NC,27892,REP,1,1,1
000000045216,MARTIN,WHITE,M,20,JAMESVILLE,NC,27846,REP,0,0,1
000000002978,MARTIN,WHITE,F,69,JAMESVILLE,NC,27846,DEM,1,1,1
000000002981,MARTIN,WHITE,M,70,JAMESVILLE,NC,27846,DEM,1,1,1
000000026963,MARTIN,WHITE,F,45,JAMESVILLE,NC,27846,REP,1,1,1
000000045487,MARTIN,WHITE,F,68,WILLIAMSTON,NC,27892,REP,0,1,1
000000045486,MARTIN,WHITE,M,70,WILLIAMSTON,NC,27892,REP,0,1,1
000000027046,MARTIN,BLACK or AFRICAN AMERICAN,M,63,ROBERSONVILLE,NC,27871,DEM,1,1,1
000000036998,MARTIN,BLACK or AFRICAN AMERICAN,F,35,WILLIAMSTON,NC,27892,DEM,0,0,1
000000045568,MARTIN,BLACK or AFRICAN AMERICAN,M,60,WILLIAMSTON,NC,27892,DEM,1,1,1
000000033850,MARTIN,WHITE,F,60,WILLIAMSTON,NC,27892,UNA,1,1,1
000000040753,MARTIN,WHITE,F,25,JAMESVILLE,NC,27846,REP,0,1,1
000000002987,MARTIN,WHITE,M,77,JAMESVILLE,NC,27846,UNA,1,1,1
000000018205,MARTIN,WHITE,M,50,JAMESVILLE,NC,27846,REP,1,1,1
000000036081,MARTIN,WHITE,F,50,JAMESVILLE,NC,27846,LIB,1,1,1
000000047259,MARTIN,UNDESIGNATED,U,19,JAMESVILLE,NC,27846,UNA,0,0,1
000000002988,MARTIN,WHITE,F,77,JAMESVILLE,NC,27846,UNA,1,1,1
000000045969,MARTIN,WHITE,M,40,WILLIAMSTON,NC,27892,REP,1,1,1
000000006416,MARTIN,WHITE,M,81,WILLIAMSTON,NC,27892,UNA,1,1,1
000000044611,MARTIN,WHITE,F,41,WILLIAMSTON,NC,27892,REP,1,1,1
000000039999,MARTIN,BLACK or AFRICAN AMERICAN,M,66,WILLIAMSTON,NC,27892,DEM,1,1,1
000000045114,MARTIN,WHITE,F,20,WILLIAMSTON,NC,27892,REP,0,0,1
000000044878,MARTIN,BLACK or AFRICAN AMERICAN,F,71,WILLIAMSTON,NC,27892,DEM,0,0,1
000000039480,MARTIN,WHITE,F,32,WILLIAMSTON,NC,27892,REP,1,1,1
000000006418,MARTIN,WHITE,F,81,WILLIAMSTON,NC,27892,UNA,1,1,1
000000043434,MARTIN,WHITE,F,33,JAMESVILLE,NC,27846,UNA,1,1,1
000000043359,MARTIN,BLACK or AFRICAN AMERICAN,F,30,WILLIAMSTON,NC,27892,DEM,0,1,1
000000023529,MARTIN,BLACK or AFRICAN AMERICAN,F,74,ROBERSONVILLE,NC,27871,DEM,1,1,1
000000043051,MARTIN,UNDESIGNATED,F,66,WILLIAMSTON,NC,27892,DEM,0,1,1
000000042349,MARTIN,BLACK or AFRICAN AMERICAN,M,71,WILLIAMSTON,NC,27892,DEM,0,1,1
000000037856,MARTIN,BLACK or AFRICAN AMERICAN,F,71,WILLIAMSTON,NC,27892,DEM,0,1,1
000000043014,MARTIN,BLACK or AFRICAN AMERICAN,M,75,WILLIAMSTON,NC,27892,DEM,1,1,1
000000047183,MARTIN,BLACK or AFRICAN AMERICAN,F,20,WILLIAMSTON,NC,27892,DEM,0,0,1
000000048372,MARTIN,BLACK or AFRICAN AMERICAN,F,32,WILLIAMSTON,NC,27892,DEM,0,0,1
000000044954,MARTIN,BLACK or AFRICAN AMERICAN,M,24,WILLIAMSTON,NC,27892,UNA,0,0,1
000000043129,MARTIN,BLACK or AFRICAN AMERICAN,F,71,WILLIAMSTON,NC,27892,DEM,0,1,1
000000024965,MARTIN,BLACK or AFRICAN AMERICAN,F,68,WILLIAMSTON,NC,27892,DEM,1,1,1
000000040371,MARTIN,BLACK or AFRICAN AMERICAN,F,54,ROBERSONVILLE,NC,27871,DEM,1,1,1
000000038423,MARTIN,BLACK or AFRICAN AMERICAN,M,58,ROBERSONVILLE,NC,27871,DEM,1,1,1
000000016255,MARTIN,WHITE,M,67,ROBERSONVILLE,NC,27871,REP,1,1,1
000000016004,MARTIN,WHITE,F,76,ROBERSONVILLE,NC,27871,REP,1,1,1
000000047930,MARTIN,OTHER,F,21,WILLIAMSTON,NC,27892,DEM,0,0,0
000000039672,MARTIN,WHITE,M,73,WILLIAMSTON,NC,27892,DEM,1,1,1
000000039671,MARTIN,WHITE,F,72,WILLIAMSTON,NC,27892,REP,1,1,1
000000030083,MARTIN,WHITE,M,61,WILLIAMSTON,NC,27892,REP,1,1,1
000000036835,MARTIN,WHITE,F,39,WILLIAMSTON,NC,27892,REP,1,1,1
000000021549,MARTIN,WHITE,F,54,WILLIAMSTON,NC,27892,UNA,1,1,1
000000030849,MARTIN,WHITE,F,70,WILLIAMSTON,NC,27892,REP,1,0,0
000000028454,MARTIN,WHITE,M,74,JAMESVILLE,NC,27846,REP,1,1,1
000000002718,MARTIN,WHITE,F,89,WILLIAMSTON,NC,27892,DEM,1,1,1
000000001388,MARTIN,WHITE,M,69,OAK CITY,NC,27857,REP,1,1,1
000000019674,MARTIN,WHITE,M,52,WILLIAMSTON,NC,27892,UNA,1,1,1
000000045910,MARTIN,WHITE,F,20,WILLIAMSTON,NC,27892,UNA,0,0,1
000000043454,MARTIN,WHITE,F,22,OAK CITY,NC,27857,UNA,0,1,1
000000015797,MARTIN,WHITE,M,50,WILLIAMSTON,NC,27892,UNA,1,1,1
000000036399,MARTIN,WHITE,M,30,WILLIAMSTON,NC,27892,UNA,1,1,1
000000034496,MARTIN,WHITE,M,42,WILLIAMSTON,NC,27892,REP,1,1,1
000000041452,MARTIN,WHITE,M,24,WILLIAMSTON,NC,27892,REP,0,1,1
000000037112,MARTIN,WHITE,F,55,WILLIAMSTON,NC,27892,UNA,1,1,1
000000038474,MARTIN,WHITE,M,64,WILLIAMSTON,NC,27892,REP,0,0,1
000000029039,MARTIN,WHITE,M,89,WILLIAMSTON,NC,27892,UNA,1,1,1
000000047388,MARTIN,WHITE,F,28,WILLIAMSTON,NC,27892,DEM,0,0,1
000000038936,MARTIN,BLACK or AFRICAN AMERICAN,F,63,ROBERSONVILLE,NC,27871,DEM,1,1,1
000000033766,MARTIN,BLACK or AFRICAN AMERICAN,M,65,ROBERSONVILLE,NC,27871,DEM,0,1,1
000000040822,MARTIN,BLACK or AFRICAN AMERICAN,F,78,ROBERSONVILLE,NC,27871,DEM,0,1,1
000000040823,MARTIN,BLACK or AFRICAN AMERICAN,M,85,ROBERSONVILLE,NC,27871,DEM,0,1,1
000000047796,MARTIN,OTHER,M,64,WILLIAMSTON,NC,27892,REP,0,1,1
000000047771,MARTIN,UNDESIGNATED,U,38,WILLIAMSTON,NC,27892,UNA,0,0,1
000000025804,MARTIN,WHITE,F,61,JAMESVILLE,NC,27846,UNA,0,1,1
000000036817,MARTIN,WHITE,M,56,JAMESVILLE,NC,27846,UNA,1,1,1
000000007164,MARTIN,WHITE,F,71,WILLIAMSTON,NC,27892,DEM,1,1,1
000000008561,MARTIN,WHITE,F,57,WILLIAMSTON,NC,27892,UNA,1,1,1
000000002997,MARTIN,WHITE,M,78,JAMESVILLE,NC,27846,DEM,1,1,1
000000046756,MARTIN,UNDESIGNATED,U,47,WILLIAMSTON,NC,27892,UNA,1,1,1
000000002998,MARTIN,WHITE,F,76,JAMESVILLE,NC,27846,DEM,1,1,1
000000047051,MARTIN,WHITE,F,18,WILLIAMSTON,NC,27892,REP,0,0,1
000000015003,MARTIN,WHITE,F,51,JAMESVILLE,NC,27846,DEM,1,1,1
