voter_reg_num,county_desc,race,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000000033754,NORTHAMPTON,WHITE,F,37,CONWAY,NC,27820,DEM,0,0,1
000000020047,NORTHAMPTON,BLACK or AFRICAN AMERICAN,F,73,HENRICO,NC,27842,DEM,1,1,1
000000020847,NORTHAMPTON,WHITE,F,78,GASTON,NC,27832,REP,1,1,1
000000027324,NORTHAMPTON,WHITE,M,52,GASTON,NC,27832,UNA,0,1,1
000000030978,NORTHAMPTON,BLACK or AFRICAN AMERICAN,F,23,GASTON,NC,27832,DEM,0,1,1
000000017963,NORTHAMPTON,BLACK or AFRICAN AMERICAN,M,57,GASTON,NC,27832,UNA,1,1,1
000000026920,NORTHAMPTON,BLACK or AFRICAN AMERICAN,F,72,HENRICO,NC,27842,DEM,1,1,1
000000016549,NORTHAMPTON,BLACK or AFRICAN AMERICAN,M,52,GASTON,NC,27832,DEM,1,1,1
000000024436,NORTHAMPTON,BLACK or AFRICAN AMERICAN,M,32,GASTON,NC,27832,DEM,1,1,1
000000006192,NORTHAMPTON,BLACK or AFRICAN AMERICAN,F,76,RICH SQUARE,NC,27869,DEM,1,1,1
000000031861,NORTHAMPTON,WHITE,M,66,MURFREESBORO,NC,27855,REP,1,1,1
000000006885,NORTHAMPTON,BLACK or AFRICAN AMERICAN,F,61,GASTON,NC,27832,DEM,1,1,1
000000029261,NORTHAMPTON,WHITE,F,63,RICH SQUARE,NC,27869,UNA,0,1,1
000000029491,NORTHAMPTON,BLACK or AFRICAN AMERICAN,M,24,GASTON,NC,27832,DEM,0,1,1
000000029287,NORTHAMPTON,WHITE,M,67,RICH SQUARE,NC,27869,UNA,0,1,1
000000018754,NORTHAMPTON,BLACK or AFRICAN AMERICAN,F,49,GASTON,NC,27832,DEM,1,1,1
000000025150,NORTHAMPTON,WHITE,M,74,HENRICO,NC,27842,UNA,1,1,1
000000034100,NORTHAMPTON,WHITE,M,58,HENRICO,NC,27842,UNA,0,0,1
000000026287,NORTHAMPTON,WHITE,M,70,HENRICO,NC,27842,UNA,1,1,1
000000026835,NORTHAMPTON,WHITE,F,62,HENRICO,NC,27842,UNA,1,1,1
000000005238,NORTHAMPTON,BLACK or AFRICAN AMERICAN,M,76,GASTON,NC,27832,DEM,1,1,1
000000010746,NORTHAMPTON,BLACK or AFRICAN AMERICAN,F,73,GASTON,NC,27832,DEM,1,1,1
000000029518,NORTHAMPTON,BLACK or AFRICAN AMERICAN,F,71,JACKSON,NC,27845,DEM,0,1,1
000000005393,NORTHAMPTON,WHITE,M,56,HENRICO,NC,27842,REP,1,1,1
000000028778,NORTHAMPTON,WHITE,M,26,HENRICO,NC,27842,REP,1,1,1
000000022843,NORTHAMPTON,BLACK or AFRICAN AMERICAN,F,77,HENRICO,NC,27842,REP,1,1,1
000000025131,NORTHAMPTON,WHITE,M,58,GARYSBURG,NC,27831,REP,1,1,1
000000014783,NORTHAMPTON,WHITE,M,76,HENRICO,NC,27842,REP,1,1,1
000000032446,NORTHAMPTON,WHITE,F,48,CONWAY,NC,27820,REP,0,0,1
000000002024,NORTHAMPTON,BLACK or AFRICAN AMERICAN,F,74,GARYSBURG,NC,27831,DEM,1,1,1
000000005395,NORTHAMPTON,WHITE,F,56,HENRICO,NC,27842,REP,1,1,1
000000003571,NORTHAMPTON,WHITE,M,66,GASTON,NC,27832,DEM,0,1,1
000000031555,NORTHAMPTON,WHITE,F,56,CONWAY,NC,27820,REP,0,1,1
000000034750,NORTHAMPTON,BLACK or AFRICAN AMERICAN,F,24,HENRICO,NC,27842,UNA,0,1,0
000000005767,NORTHAMPTON,BLACK or AFRICAN AMERICAN,M,75,JACKSON,NC,27845,DEM,1,1,1
000000032445,NORTHAMPTON,WHITE,M,57,CONWAY,NC,27820,REP,0,0,1
000000033382,NORTHAMPTON,BLACK or AFRICAN AMERICAN,F,20,GASTON,NC,27832,DEM,0,0,1
000000030570,NORTHAMPTON,BLACK or AFRICAN AMERICAN,M,23,GASTON,NC,27832,DEM,0,1,1
000000014696,NORTHAMPTON,BLACK or AFRICAN AMERICAN,M,79,GARYSBURG,NC,27831,DEM,1,1,1
000000007885,NORTHAMPTON,BLACK or AFRICAN AMERICAN,F,76,GASTON,NC,27832,UNA,0,1,1
000000024122,NORTHAMPTON,BLACK or AFRICAN AMERICAN,F,50,GARYSBURG,NC,27831,DEM,1,1,1
000000022988,NORTHAMPTON,BLACK or AFRICAN AMERICAN,F,68,RICH SQUARE,NC,27869,DEM,1,1,1
000000018891,NORTHAMPTON,BLACK or AFRICAN AMERICAN,M,73,RICH SQUARE,NC,27869,DEM,1,1,1
000000021143,NORTHAMPTON,BLACK or AFRICAN AMERICAN,M,77,GARYSBURG,NC,27831,DEM,1,1,1
000000001403,NORTHAMPTON,BLACK or AFRICAN AMERICAN,F,62,GARYSBURG,NC,27831,DEM,1,1,1
000000020234,NORTHAMPTON,BLACK or AFRICAN AMERICAN,F,74,GARYSBURG,NC,27831,DEM,1,1,1
000000023134,NORTHAMPTON,BLACK or AFRICAN AMERICAN,M,63,SEABOARD,NC,27876,DEM,1,1,1
000000030674,NORTHAMPTON,BLACK or AFRICAN AMERICAN,M,31,GARYSBURG,NC,27831,UNA,0,1,0
000000007836,NORTHAMPTON,BLACK or AFRICAN AMERICAN,M,69,GASTON,NC,27832,DEM,0,1,1
000000010753,NORTHAMPTON,BLACK or AFRICAN AMERICAN,F,69,GARYSBURG,NC,27831,DEM,1,1,1
000000007625,NORTHAMPTON,BLACK or AFRICAN AMERICAN,M,59,GARYSBURG,NC,27831,DEM,0,1,1
000000017268,NORTHAMPTON,BLACK or AFRICAN AMERICAN,M,62,GARYSBURG,NC,27831,DEM,1,1,1
000000021274,NORTHAMPTON,BLACK or AFRICAN AMERICAN,F,40,GARYSBURG,NC,27831,DEM,1,1,1
000000012434,NORTHAMPTON,BLACK or AFRICAN AMERICAN,F,65,GARYSBURG,NC,27831,DEM,1,1,1
000000029939,NORTHAMPTON,BLACK or AFRICAN AMERICAN,F,44,SEABOARD,NC,27876,DEM,1,1,1
000000002033,NORTHAMPTON,BLACK or AFRICAN AMERICAN,M,67,JACKSON,NC,27845,DEM,1,1,1
000000029921,NORTHAMPTON,BLACK or AFRICAN AMERICAN,M,32,GARYSBURG,NC,27831,DEM,0,1,1
000000032506,NORTHAMPTON,BLACK or AFRICAN AMERICAN,M,45,MARGARETTSVILLE,NC,27853,DEM,0,0,1
000000002037,NORTHAMPTON,BLACK or AFRICAN AMERICAN,F,66,GARYSBURG,NC,27831,DEM,1,1,1
000000006258,NORTHAMPTON,WHITE,F,84,PLEASANT HILL,NC,27866,DEM,1,1,1
000000014001,NORTHAMPTON,BLACK or AFRICAN AMERICAN,M,60,CONWAY,NC,27820,DEM,1,1,1
000000031121,NORTHAMPTON,BLACK or AFRICAN AMERICAN,M,57,RICH SQUARE,NC,27869,DEM,1,1,1
000000030998,NORTHAMPTON,BLACK or AFRICAN AMERICAN,F,56,RICH SQUARE,NC,27869,DEM,0,0,1
000000026789,NORTHAMPTON,BLACK or AFRICAN AMERICAN,M,28,RICH SQUARE,NC,27869,DEM,1,1,1
000000030074,NORTHAMPTON,UNDESIGNATED,M,24,GASTON,NC,27832,UNA,0,1,1
000000031057,NORTHAMPTON,WHITE,F,22,GASTON,NC,27832,UNA,0,1,1
000000022677,NORTHAMPTON,BLACK or AFRICAN AMERICAN,M,62,RICH SQUARE,NC,27869,UNA,1,1,1
000000026213,NORTHAMPTON,BLACK or AFRICAN AMERICAN,M,67,JACKSON,NC,27845,DEM,1,1,1
000000031120,NORTHAMPTON,BLACK or AFRICAN AMERICAN,F,59,RICH SQUARE,NC,27869,DEM,1,1,1
