voter_reg_num,county_desc,race,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000000004467,PAMLICO,WHITE,F,75,BAYBORO,NC,28515,UNA,1,1,1
000006462045,PAMLICO,UNDESIGNATED,M,76,BAYBORO,NC,28515,REP,0,1,1
000006461112,PAMLICO,WHITE,F,53,BAYBORO,NC,28515,REP,0,1,1
000000006129,PAMLICO,WHITE,F,64,BAYBORO,NC,28515,DEM,1,1,1
000006465774,PAMLICO,WHITE,F,57,ORIENTAL,NC,28571,DEM,0,0,1
000006465075,PAMLICO,WHITE,F,76,ORIENTAL,NC,28571,DEM,0,0,1
000006465076,PAMLICO,WHITE,M,78,ORIENTAL,NC,28571,DEM,0,0,1
000000013570,PAMLICO,WHITE,M,77,GRANTSBORO,NC,28529,REP,1,1,1
000006461951,PAMLICO,UNDESIGNATED,U,34,MERRITT,NC,28556,REP,0,1,1
000000007921,PAMLICO,WHITE,F,76,GRANTSBORO,NC,28529,DEM,1,1,1
000006461058,PAMLICO,WHITE,M,38,MERRITT,NC,28556,UNA,0,1,1
000006465742,PAMLICO,NATIVE HAWAIIAN or PACIFIC ISLANDER,F,67,BAYBORO,NC,28515,DEM,0,1,1
000006465741,PAMLICO,OTHER,M,71,BAYBORO,NC,28515,DEM,0,1,1
000000017980,PAMLICO,WHITE,F,74,MINNESOTT BEACH,NC,28510,REP,1,1,1
000006461942,PAMLICO,WHITE,M,65,MINNESOTT BEACH,NC,28510,REP,0,1,1
000006463450,PAMLICO,WHITE,M,83,ORIENTAL,NC,28571,REP,0,0,1
000000018110,PAMLICO,WHITE,M,80,MINNESOTT BEACH,NC,28510,REP,1,1,1
000006464241,PAMLICO,WHITE,U,42,MINNESOTT BEACH,NC,28510,UNA,0,1,1
000000018141,PAMLICO,WHITE,F,83,GRANTSBORO,NC,28529,REP,1,1,1
000006463083,PAMLICO,WHITE,F,80,ORIENTAL,NC,28571,UNA,0,0,1
000006459551,PAMLICO,WHITE,F,61,MERRITT,NC,28556,REP,1,1,1
000006459552,PAMLICO,WHITE,M,64,MERRITT,NC,28556,UNA,1,1,1
000006462133,PAMLICO,WHITE,F,68,ORIENTAL,NC,28571,REP,0,1,1
000006460312,PAMLICO,WHITE,M,71,ORIENTAL,NC,28571,REP,0,1,1
000006457518,PAMLICO,WHITE,M,56,GRANTSBORO,NC,28529,UNA,1,1,1
000006465277,PAMLICO,WHITE,F,46,NEW BERN,NC,28560,DEM,0,1,1
000006461766,PAMLICO,UNDESIGNATED,U,63,ARAPAHOE,NC,28510,UNA,0,1,1
000006456981,PAMLICO,WHITE,M,68,ARAPAHOE,NC,28510,UNA,1,1,1
000006464787,PAMLICO,UNDESIGNATED,M,68,NEW BERN,NC,28560,UNA,1,1,1
000006461697,PAMLICO,WHITE,F,74,MINNESOTT BEACH,NC,28510,UNA,0,1,1
000000001002,PAMLICO,WHITE,F,86,ARAPAHOE,NC,28510,DEM,1,1,1
