voter_reg_num,county_desc,race,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000000034814,PASQUOTANK,WHITE,M,66,ELIZABETH CITY,NC,27909,REP,1,1,1
000002788334,PASQUOTANK,BLACK or AFRICAN AMERICAN,M,70,ELIZABETH CITY,NC,27909,DEM,1,1,1
000002832344,PASQUOTANK,BLACK or AFRICAN AMERICAN,M,80,ELIZABETH CITY,NC,27909,DEM,1,0,1
000002788335,PASQUOTANK,BLACK or AFRICAN AMERICAN,F,69,ELIZABETH CITY,NC,27909,DEM,1,1,1
000000017781,PASQUOTANK,WHITE,M,61,ELIZABETH CITY,NC,27909,UNA,0,1,1
000000019180,PASQUOTANK,WHITE,F,55,ELIZABETH CITY,NC,27909,REP,0,1,1
000002833810,PASQUOTANK,WHITE,F,19,ELIZABETH CITY,NC,27909,REP,0,0,1
000000033890,PASQUOTANK,BLACK or AFRICAN AMERICAN,F,68,ELIZABETH CITY,NC,27909,DEM,1,1,1
000002829514,PASQUOTANK,WHITE,F,87,ELIZABETH CITY,NC,27909,REP,0,0,1
000002831268,PASQUOTANK,OTHER,M,34,ELIZABETH CITY,NC,27909,DEM,0,0,1
000002837235,PASQUOTANK,WHITE,F,45,ELIZABETH CITY,NC,27909,UNA,1,1,1
000002821016,PASQUOTANK,OTHER,M,36,ELIZABETH CITY,NC,27909,DEM,1,0,1
000002791773,PASQUOTANK,WHITE,F,60,ELIZABETH CITY,NC,27909,UNA,1,1,1
000002791037,PASQUOTANK,OTHER,M,69,ELIZABETH CITY,NC,27909,UNA,1,1,1
000002837057,PASQUOTANK,NATIVE HAWAIIAN or PACIFIC ISLANDER,M,25,ELIZABETH CITY,NC,27909,REP,0,0,1
000002832888,PASQUOTANK,OTHER,F,36,ELIZABETH CITY,NC,27909,UNA,0,0,1
000002815676,PASQUOTANK,WHITE,F,66,ELIZABETH CITY,NC,27909,UNA,1,1,1
000002826596,PASQUOTANK,UNDESIGNATED,U,54,ELIZABETH CITY,NC,27909,UNA,0,1,1
000002836964,PASQUOTANK,UNDESIGNATED,U,20,ELIZABETH CITY,NC,27909,DEM,0,0,1
000002823299,PASQUOTANK,WHITE,M,68,ELIZABETH CITY,NC,27909,UNA,1,1,1
000002836880,PASQUOTANK,UNDESIGNATED,U,95,ELIZABETH CITY,NC,27909,DEM,0,0,1
000002799629,PASQUOTANK,BLACK or AFRICAN AMERICAN,F,80,ELIZABETH CITY,NC,27909,DEM,0,1,1
000002822456,PASQUOTANK,WHITE,F,64,ELIZABETH CITY,NC,27909,UNA,0,1,0
000000020643,PASQUOTANK,WHITE,F,86,ELIZABETH CITY,NC,27909,UNA,1,1,1
000000010076,PASQUOTANK,WHITE,M,69,ELIZABETH CITY,NC,27909,UNA,1,1,1
000002815510,PASQUOTANK,BLACK or AFRICAN AMERICAN,F,70,ELIZABETH CITY,NC,27909,DEM,1,1,1
000002830576,PASQUOTANK,BLACK or AFRICAN AMERICAN,M,32,ELIZABETH CITY,NC,27909,DEM,0,0,1
000000010077,PASQUOTANK,WHITE,F,64,ELIZABETH CITY,NC,27909,REP,1,1,1
000002833971,PASQUOTANK,BLACK or AFRICAN AMERICAN,M,18,ELIZABETH CITY,NC,27909,DEM,0,0,1
000002829412,PASQUOTANK,WHITE,F,21,ELIZABETH CITY,NC,27909,UNA,0,0,1
000000017709,PASQUOTANK,WHITE,M,63,ELIZABETH CITY,NC,27909,REP,1,1,1
000002792580,PASQUOTANK,WHITE,M,89,ELIZABETH CITY,NC,27909,REP,1,1,1
000002824452,PASQUOTANK,WHITE,F,24,ELIZABETH CITY,NC,27909,REP,0,1,1
000002833550,PASQUOTANK,OTHER,F,55,ELIZABETH CITY,NC,27909,UNA,0,0,1
000000004375,PASQUOTANK,BLACK or AFRICAN AMERICAN,M,77,ELIZABETH CITY,NC,27909,DEM,1,1,1
000002822007,PASQUOTANK,UNDESIGNATED,U,42,ELIZABETH CITY,NC,27909,REP,0,1,1
000000013430,PASQUOTANK,BLACK or AFRICAN AMERICAN,M,78,ELIZABETH CITY,NC,27909,DEM,1,1,1
000002818612,PASQUOTANK,WHITE,M,32,ELIZABETH CITY,NC,27909,UNA,0,1,1
000002831709,PASQUOTANK,WHITE,F,20,ELIZABETH CITY,NC,27909,UNA,0,0,1
000002833989,PASQUOTANK,BLACK or AFRICAN AMERICAN,F,18,ELIZABETH CITY,NC,27909,DEM,0,0,1
000002830566,PASQUOTANK,BLACK or AFRICAN AMERICAN,M,37,ELIZABETH CITY,NC,27909,REP,0,0,1
000002824132,PASQUOTANK,WHITE,F,33,ELIZABETH CITY,NC,27909,UNA,0,1,1
000002808102,PASQUOTANK,WHITE,U,40,ELIZABETH CITY,NC,27909,UNA,1,1,1
000002820567,PASQUOTANK,WHITE,M,69,ELIZABETH CITY,NC,27909,UNA,0,1,1
000000028588,PASQUOTANK,BLACK or AFRICAN AMERICAN,F,48,ELIZABETH CITY,NC,27909,DEM,1,1,1
000002832098,PASQUOTANK,BLACK or AFRICAN AMERICAN,F,20,ELIZABETH CITY,NC,27909,DEM,0,0,0
000002818834,PASQUOTANK,WHITE,F,72,ELIZABETH CITY,NC,27909,UNA,0,1,1
000002796689,PASQUOTANK,BLACK or AFRICAN AMERICAN,F,40,ELIZABETH CITY,NC,27909,DEM,1,1,1
000000023190,PASQUOTANK,WHITE,F,61,ELIZABETH CITY,NC,27909,UNA,1,1,1
000000029195,PASQUOTANK,WHITE,M,74,ELIZABETH CITY,NC,27909,UNA,1,1,1
000002814532,PASQUOTANK,BLACK or AFRICAN AMERICAN,M,48,ELIZABETH CITY,NC,27909,DEM,1,1,1
000002823092,PASQUOTANK,WHITE,F,44,ELIZABETH CITY,NC,27909,REP,0,1,1
000002833688,PASQUOTANK,WHITE,F,69,ELIZABETH CITY,NC,27909,REP,0,0,1
