voter_reg_num,county_desc,race,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000000024033,PERQUIMANS,UNDESIGNATED,M,53,HERTFORD,NC,27944,REP,0,0,1
000000023712,PERQUIMANS,OTHER,F,21,HERTFORD,NC,27944,DEM,0,0,1
000000021077,PERQUIMANS,OTHER,M,39,HERTFORD,NC,27944,UNA,0,0,1
000000020830,PERQUIMANS,WHITE,F,40,HERTFORD,NC,27944,REP,0,0,1
000000024156,PERQUIMANS,UNDESIGNATED,U,67,HERTFORD,NC,27944,REP,0,0,1
000000024155,PERQUIMANS,WHITE,M,70,HERTFORD,NC,27944,UNA,0,0,1
000000010362,PERQUIMANS,WHITE,F,78,HERTFORD,NC,27944,REP,1,1,1
000000020231,PERQUIMANS,WHITE,F,40,HERTFORD,NC,27944,REP,0,1,1
000000006532,PERQUIMANS,WHITE,F,61,HERTFORD,NC,27944,DEM,1,1,1
000000009849,PERQUIMANS,WHITE,M,69,HERTFORD,NC,27944,UNA,1,1,1
000000020233,PERQUIMANS,WHITE,M,44,HERTFORD,NC,27944,REP,0,1,1
000000023704,PERQUIMANS,UNDESIGNATED,U,66,HERTFORD,NC,27944,REP,0,0,1
000000022432,PERQUIMANS,WHITE,F,20,HERTFORD,NC,27944,DEM,0,0,1
000000021629,PERQUIMANS,UNDESIGNATED,U,45,HERTFORD,NC,27944,REP,1,1,1
000000008336,PERQUIMANS,WHITE,F,70,HERTFORD,NC,27944,DEM,1,1,1
000000022650,PERQUIMANS,OTHER,M,59,HERTFORD,NC,27944,UNA,1,1,1
000000022036,PERQUIMANS,UNDESIGNATED,U,56,HERTFORD,NC,27944,DEM,1,1,1
000000017098,PERQUIMANS,WHITE,F,68,HERTFORD,NC,27944,REP,1,1,1
000000017101,PERQUIMANS,WHITE,M,70,HERTFORD,NC,27944,REP,1,1,1
000000010763,PERQUIMANS,WHITE,M,77,HERTFORD,NC,27944,DEM,1,1,1
000000010986,PERQUIMANS,WHITE,F,72,HERTFORD,NC,27944,DEM,1,1,1
000000015565,PERQUIMANS,WHITE,M,76,HERTFORD,NC,27944,UNA,1,1,1
000000008097,PERQUIMANS,WHITE,F,79,HERTFORD,NC,27944,UNA,1,1,1
000000018184,PERQUIMANS,ASIAN,F,55,HERTFORD,NC,27944,REP,1,1,1
000000019925,PERQUIMANS,WHITE,U,53,HERTFORD,NC,27944,REP,1,1,1
000000018040,PERQUIMANS,WHITE,F,67,HERTFORD,NC,27944,REP,0,1,1
000000024068,PERQUIMANS,UNDESIGNATED,U,30,HERTFORD,NC,27944,REP,0,0,1
000000009370,PERQUIMANS,WHITE,M,55,HERTFORD,NC,27944,UNA,1,1,1
000000009369,PERQUIMANS,WHITE,F,50,HERTFORD,NC,27944,UNA,1,1,1
000000021913,PERQUIMANS,WHITE,F,76,HERTFORD,NC,27944,DEM,0,0,1
000000023586,PERQUIMANS,WHITE,F,73,HERTFORD,NC,27944,UNA,0,0,1
000000023187,PERQUIMANS,WHITE,M,25,HERTFORD,NC,27944,REP,0,0,1
000000016544,PERQUIMANS,WHITE,M,65,HERTFORD,NC,27944,UNA,1,1,1
000000003593,PERQUIMANS,WHITE,F,64,HERTFORD,NC,27944,UNA,1,1,1
000000024039,PERQUIMANS,UNDESIGNATED,U,62,BELVIDERE,NC,27919,UNA,0,0,1
000000019642,PERQUIMANS,WHITE,M,72,BELVIDERE,NC,27919,REP,1,1,1
000000003363,PERQUIMANS,WHITE,M,73,HERTFORD,NC,27944,UNA,1,1,1
000000012196,PERQUIMANS,WHITE,M,75,HERTFORD,NC,27944,UNA,1,1,1
000000021582,PERQUIMANS,WHITE,M,66,HERTFORD,NC,27944,REP,0,0,1
000000021542,PERQUIMANS,WHITE,F,50,HERTFORD,NC,27944,REP,0,0,1
000000018375,PERQUIMANS,WHITE,M,27,HERTFORD,NC,27944,UNA,0,1,1
000000009850,PERQUIMANS,WHITE,M,49,HERTFORD,NC,27944,UNA,1,1,1
000000010862,PERQUIMANS,WHITE,M,77,HERTFORD,NC,27944,REP,1,1,1
000000024024,PERQUIMANS,UNDESIGNATED,U,35,HERTFORD,NC,27944,REP,1,0,1
000000018976,PERQUIMANS,WHITE,F,73,EDENTON,NC,27932,REP,0,1,1
000000020227,PERQUIMANS,UNDESIGNATED,U,47,HERTFORD,NC,27944,UNA,0,1,1
000000008036,PERQUIMANS,WHITE,F,57,HERTFORD,NC,27944,DEM,1,1,1
000000023188,PERQUIMANS,WHITE,M,62,HERTFORD,NC,27944,REP,0,0,1
000000001362,PERQUIMANS,WHITE,F,73,HERTFORD,NC,27944,REP,1,1,1
000000000010,PERQUIMANS,WHITE,M,86,HERTFORD,NC,27944,UNA,0,1,1
000000022169,PERQUIMANS,WHITE,M,21,HERTFORD,NC,27944,UNA,0,0,1
000000022789,PERQUIMANS,WHITE,M,71,HERTFORD,NC,27944,REP,0,0,1
000000023061,PERQUIMANS,WHITE,F,18,HERTFORD,NC,27944,REP,0,0,1
000000009150,PERQUIMANS,WHITE,F,39,HERTFORD,NC,27944,REP,1,1,1
000000009795,PERQUIMANS,BLACK or AFRICAN AMERICAN,F,80,BELVIDERE,NC,27919,DEM,1,1,1
000000023771,PERQUIMANS,WHITE,F,21,HERTFORD,NC,27944,REP,0,0,1
000000004477,PERQUIMANS,BLACK or AFRICAN AMERICAN,F,63,HERTFORD,NC,27944,UNA,1,1,1
000000023109,PERQUIMANS,OTHER,M,19,HERTFORD,NC,27944,REP,0,0,1
000000021213,PERQUIMANS,OTHER,F,25,HERTFORD,NC,27944,REP,0,0,1
000000014826,PERQUIMANS,TWO or MORE RACES,M,76,HERTFORD,NC,27944,REP,1,1,1
000000022960,PERQUIMANS,WHITE,F,83,HERTFORD,NC,27944,REP,0,0,1
000000014427,PERQUIMANS,BLACK or AFRICAN AMERICAN,F,73,HERTFORD,NC,27944,DEM,1,1,1
000000014428,PERQUIMANS,BLACK or AFRICAN AMERICAN,M,71,HERTFORD,NC,27944,DEM,1,1,1
000000017161,PERQUIMANS,WHITE,F,66,HERTFORD,NC,27944,REP,1,1,1
000000018746,PERQUIMANS,WHITE,F,63,HERTFORD,NC,27944,UNA,0,1,1
000000018366,PERQUIMANS,WHITE,F,26,HERTFORD,NC,27944,UNA,0,1,1
000000018744,PERQUIMANS,WHITE,M,66,HERTFORD,NC,27944,UNA,0,1,1
000000017162,PERQUIMANS,WHITE,M,70,HERTFORD,NC,27944,REP,1,1,1
000000008953,PERQUIMANS,WHITE,M,38,HERTFORD,NC,27944,REP,1,1,1
000000010697,PERQUIMANS,WHITE,F,36,HERTFORD,NC,27944,REP,1,1,1
000000000014,PERQUIMANS,WHITE,M,68,HERTFORD,NC,27944,REP,1,1,1
000000023857,PERQUIMANS,UNDESIGNATED,U,40,HERTFORD,NC,27944,UNA,1,1,1
000000000015,PERQUIMANS,WHITE,F,68,HERTFORD,NC,27944,REP,1,1,1
000000021839,PERQUIMANS,WHITE,F,69,HERTFORD,NC,27944,UNA,0,1,1
000000003106,PERQUIMANS,WHITE,F,72,HERTFORD,NC,27944,DEM,1,1,1
000000006041,PERQUIMANS,WHITE,F,77,HERTFORD,NC,27944,UNA,1,1,1
000000022296,PERQUIMANS,BLACK or AFRICAN AMERICAN,F,65,HERTFORD,NC,27944,UNA,0,0,1
000000023352,PERQUIMANS,WHITE,F,35,HERTFORD,NC,27944,REP,1,0,1
000000007717,PERQUIMANS,WHITE,F,79,HERTFORD,NC,27944,UNA,1,1,1
000000023924,PERQUIMANS,WHITE,M,65,HERTFORD,NC,27944,UNA,0,0,1
000000019701,PERQUIMANS,BLACK or AFRICAN AMERICAN,M,72,HERTFORD,NC,27944,DEM,1,1,1
000000021054,PERQUIMANS,BLACK or AFRICAN AMERICAN,M,67,HERTFORD,NC,27944,DEM,0,0,1
000000018293,PERQUIMANS,WHITE,M,65,BELVIDERE,NC,27919,REP,1,1,1
000000022924,PERQUIMANS,WHITE,M,62,HERTFORD,NC,27944,REP,0,0,1
000000015499,PERQUIMANS,WHITE,F,73,HERTFORD,NC,27944,UNA,1,1,1
000000015500,PERQUIMANS,WHITE,F,73,HERTFORD,NC,27944,UNA,1,1,1
000000020946,PERQUIMANS,WHITE,F,76,HERTFORD,NC,27944,UNA,0,0,1
000000014330,PERQUIMANS,WHITE,F,90,HERTFORD,NC,27944,REP,1,1,1
000000021281,PERQUIMANS,WHITE,M,27,HERTFORD,NC,27944,REP,0,0,1
000000019303,PERQUIMANS,BLACK or AFRICAN AMERICAN,F,70,HERTFORD,NC,27944,DEM,1,1,1
000000020629,PERQUIMANS,WHITE,F,73,BELVIDERE,NC,27919,REP,0,1,1
000000017042,PERQUIMANS,WHITE,F,37,HERTFORD,NC,27944,DEM,1,0,0
000000023855,PERQUIMANS,BLACK or AFRICAN AMERICAN,F,54,BELVIDERE,NC,27919,UNA,1,1,1
000000019918,PERQUIMANS,WHITE,F,67,HERTFORD,NC,27944,REP,1,1,1
000000019917,PERQUIMANS,WHITE,M,68,HERTFORD,NC,27944,REP,0,1,1
000000003137,PERQUIMANS,WHITE,F,70,HERTFORD,NC,27944,REP,1,1,1
000000000018,PERQUIMANS,WHITE,M,73,HERTFORD,NC,27944,REP,1,1,1
000000006427,PERQUIMANS,WHITE,M,45,HERTFORD,NC,27944,UNA,1,1,1
000000015818,PERQUIMANS,BLACK or AFRICAN AMERICAN,F,34,HERTFORD,NC,27944,DEM,0,1,1
000000019697,PERQUIMANS,WHITE,F,33,HERTFORD,NC,27944,REP,0,1,1
000000018051,PERQUIMANS,WHITE,M,44,HERTFORD,NC,27944,REP,0,1,1
000000013371,PERQUIMANS,BLACK or AFRICAN AMERICAN,F,33,HERTFORD,NC,27944,DEM,1,1,1
000000005208,PERQUIMANS,WHITE,M,63,HERTFORD,NC,27944,UNA,1,1,1
000000011262,PERQUIMANS,WHITE,F,56,HERTFORD,NC,27944,UNA,1,1,1
000000015178,PERQUIMANS,UNDESIGNATED,F,72,HERTFORD,NC,27944,REP,1,1,1
000000016648,PERQUIMANS,WHITE,F,75,HERTFORD,NC,27944,UNA,1,1,1
000000016573,PERQUIMANS,WHITE,M,69,HERTFORD,NC,27944,UNA,1,1,1
000000022206,PERQUIMANS,OTHER,M,28,HERTFORD,NC,27944,UNA,0,0,1
000000016842,PERQUIMANS,BLACK or AFRICAN AMERICAN,F,56,HERTFORD,NC,27944,DEM,1,1,1
000000022200,PERQUIMANS,UNDESIGNATED,U,53,HERTFORD,NC,27944,REP,0,1,1
000000017371,PERQUIMANS,WHITE,F,27,HERTFORD,NC,27944,UNA,1,0,1
000000021269,PERQUIMANS,BLACK or AFRICAN AMERICAN,F,65,HERTFORD,NC,27944,DEM,0,0,1
000000021268,PERQUIMANS,WHITE,M,62,HERTFORD,NC,27944,DEM,0,0,1
000000016185,PERQUIMANS,WHITE,M,100,HERTFORD,NC,27944,UNA,1,1,1
000000021266,PERQUIMANS,BLACK or AFRICAN AMERICAN,F,63,HERTFORD,NC,27944,DEM,1,1,1
000000023753,PERQUIMANS,UNDESIGNATED,U,66,HERTFORD,NC,27944,UNA,1,1,1
000000010454,PERQUIMANS,WHITE,F,71,HERTFORD,NC,27944,UNA,1,1,1
000000010370,PERQUIMANS,WHITE,M,73,HERTFORD,NC,27944,UNA,1,1,1
000000010871,PERQUIMANS,WHITE,M,79,HERTFORD,NC,27944,UNA,1,1,1
000000010873,PERQUIMANS,WHITE,F,86,HERTFORD,NC,27944,UNA,1,1,1
000000008427,PERQUIMANS,WHITE,M,77,HERTFORD,NC,27944,REP,1,1,1
000000007718,PERQUIMANS,WHITE,M,84,HERTFORD,NC,27944,UNA,1,1,1
000000007221,PERQUIMANS,WHITE,F,68,HERTFORD,NC,27944,UNA,1,1,1
000000018484,PERQUIMANS,WHITE,F,68,HERTFORD,NC,27944,UNA,0,1,1
000000018541,PERQUIMANS,WHITE,M,68,HERTFORD,NC,27944,UNA,0,1,1
000000020433,PERQUIMANS,WHITE,U,33,HERTFORD,NC,27944,REP,1,1,1
