voter_reg_num,county_desc,race,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000000958267,RICHMOND,WHITE,M,73,ROCKINGHAM,NC,28379,REP,1,1,1
000000959378,RICHMOND,WHITE,F,73,ROCKINGHAM,NC,28379,UNA,0,0,1
000000959338,RICHMOND,WHITE,F,57,ROCKINGHAM,NC,28379,REP,1,1,1
000000021765,RICHMOND,WHITE,F,67,ELLERBE,NC,28338,REP,1,1,1
000000021767,RICHMOND,WHITE,M,68,ELLERBE,NC,28338,REP,1,1,1
000000962118,RICHMOND,BLACK or AFRICAN AMERICAN,M,57,HAMLET,NC,28345,UNA,0,0,1
000000954716,RICHMOND,WHITE,M,30,ROCKINGHAM,NC,28379,REP,0,0,1
000000949943,RICHMOND,WHITE,M,25,CORDOVA,NC,28330,REP,0,1,1
000000021768,RICHMOND,BLACK or AFRICAN AMERICAN,F,67,ELLERBE,NC,28338,DEM,1,1,1
000000932479,RICHMOND,BLACK or AFRICAN AMERICAN,F,73,HAMLET,NC,28345,DEM,1,1,1
000000962281,RICHMOND,WHITE,F,43,ROCKINGHAM,NC,28379,REP,0,0,1
000000016160,RICHMOND,BLACK or AFRICAN AMERICAN,F,81,HAMLET,NC,28345,DEM,1,1,1
000000946894,RICHMOND,WHITE,F,26,ELLERBE,NC,28338,REP,1,1,1
000000013134,RICHMOND,WHITE,F,81,HAMLET,NC,28345,REP,1,1,1
000000004037,RICHMOND,WHITE,M,73,ROCKINGHAM,NC,28379,REP,1,1,1
000000962767,RICHMOND,WHITE,F,22,HAMLET,NC,28345,UNA,0,0,1
000000948497,RICHMOND,WHITE,U,26,ROCKINGHAM,NC,28379,REP,1,1,1
000000956574,RICHMOND,BLACK or AFRICAN AMERICAN,F,32,ROCKINGHAM,NC,28379,DEM,0,1,1
000000016166,RICHMOND,WHITE,M,57,CORDOVA,NC,28330,REP,1,1,1
000000024657,RICHMOND,WHITE,F,77,HAMLET,NC,28345,REP,1,1,1
000000024558,RICHMOND,WHITE,M,78,HAMLET,NC,28345,REP,1,1,1
000000022499,RICHMOND,WHITE,F,75,HAMLET,NC,28345,UNA,1,1,1
000000955809,RICHMOND,WHITE,F,51,ROCKINGHAM,NC,28379,REP,0,1,1
000000011546,RICHMOND,WHITE,M,74,ROCKINGHAM,NC,28379,UNA,1,1,1
000000952780,RICHMOND,INDIAN AMERICAN or ALASKA NATIVE,F,32,ROCKINGHAM,NC,28379,REP,0,1,1
000000944212,RICHMOND,WHITE,M,47,HAMLET,NC,28345,REP,1,1,1
000000938496,RICHMOND,WHITE,M,32,HAMLET,NC,28345,UNA,1,1,1
000000016171,RICHMOND,WHITE,F,76,HAMLET,NC,28345,DEM,1,1,1
000000962670,RICHMOND,WHITE,F,19,HAMLET,NC,28345,UNA,0,0,1
000000033378,RICHMOND,WHITE,F,72,ROCKINGHAM,NC,28379,NLB,1,1,1
000000947554,RICHMOND,WHITE,F,41,ROCKINGHAM,NC,28379,REP,1,1,1
