voter_reg_num,county_desc,race,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000000435300,ROBESON,WHITE,M,66,LUMBERTON,NC,28358,REP,1,1,1
000000542862,ROBESON,WHITE,F,33,LUMBERTON,NC,28360,UNA,1,1,1
000000543618,ROBESON,OTHER,M,42,LUMBERTON,NC,28360,UNA,0,0,1
000000475832,ROBESON,WHITE,F,35,LUMBERTON,NC,28358,UNA,1,1,1
000000120003,ROBESON,WHITE,M,71,LUMBERTON,NC,28358,DEM,1,1,1
000000528664,ROBESON,WHITE,M,22,LUMBERTON,NC,28360,REP,0,0,1
000000551232,ROBESON,WHITE,F,18,LUMBERTON,NC,28358,UNA,0,0,1
000000554387,ROBESON,WHITE,F,72,LUMBERTON,NC,28358,REP,0,0,1
000000485492,ROBESON,WHITE,F,59,LUMBERTON,NC,28358,REP,1,1,1
000000521710,ROBESON,WHITE,M,40,LUMBERTON,NC,28358,REP,0,1,1
000000443154,ROBESON,WHITE,M,65,LUMBERTON,NC,28358,UNA,1,1,1
000000512004,ROBESON,OTHER,F,42,LUMBERTON,NC,28358,UNA,1,1,1
000000489340,ROBESON,OTHER,M,51,LUMBERTON,NC,28358,REP,1,1,1
000000550854,ROBESON,WHITE,M,50,LUMBERTON,NC,28358,REP,0,0,1
000000522494,ROBESON,BLACK or AFRICAN AMERICAN,F,71,LUMBERTON,NC,28358,DEM,0,1,1
000000507992,ROBESON,OTHER,M,50,LUMBERTON,NC,28358,DEM,1,1,1
000000533521,ROBESON,UNDESIGNATED,U,25,LUMBERTON,NC,28358,DEM,0,0,1
000000481986,ROBESON,BLACK or AFRICAN AMERICAN,F,33,LUMBERTON,NC,28358,DEM,1,1,1
000000524525,ROBESON,WHITE,M,50,MAXTON,NC,28364,UNA,0,0,1
000000499696,ROBESON,BLACK or AFRICAN AMERICAN,F,71,FAIRMONT,NC,28340,DEM,1,1,1
000000539815,ROBESON,UNDESIGNATED,M,80,FAIRMONT,NC,28340,UNA,0,0,1
000000539814,ROBESON,OTHER,F,79,FAIRMONT,NC,28340,REP,0,0,1
000000050782,ROBESON,BLACK or AFRICAN AMERICAN,F,75,FAIRMONT,NC,28340,DEM,1,1,1
000000427850,ROBESON,BLACK or AFRICAN AMERICAN,F,50,FAIRMONT,NC,28340,DEM,0,1,1
000000061112,ROBESON,BLACK or AFRICAN AMERICAN,F,77,FAIRMONT,NC,28340,DEM,1,1,1
000000429341,ROBESON,BLACK or AFRICAN AMERICAN,M,76,FAIRMONT,NC,28340,DEM,1,1,1
000000050012,ROBESON,BLACK or AFRICAN AMERICAN,F,62,FAIRMONT,NC,28340,DEM,1,1,1
000000536611,ROBESON,WHITE,M,22,LUMBERTON,NC,28358,UNA,0,0,1
000000557285,ROBESON,BLACK or AFRICAN AMERICAN,F,52,RED SPRINGS,NC,28377,DEM,0,0,1
000000451686,ROBESON,WHITE,M,40,ST PAULS,NC,28384,REP,1,1,1
000000479130,ROBESON,INDIAN AMERICAN or ALASKA NATIVE,F,34,FAIRMONT,NC,28340,NLB,1,1,1
000000426817,ROBESON,WHITE,F,76,LUMBERTON,NC,28358,REP,1,0,1
000000430534,ROBESON,WHITE,F,56,ST PAULS,NC,28384,REP,1,1,1
000000523807,ROBESON,UNDESIGNATED,F,23,RED SPRINGS,NC,28377,UNA,0,1,1
000000290614,ROBESON,INDIAN AMERICAN or ALASKA NATIVE,F,76,ROWLAND,NC,28383,DEM,1,1,1
000000292098,ROBESON,INDIAN AMERICAN or ALASKA NATIVE,F,50,ROWLAND,NC,28383,UNA,1,1,1
000000292131,ROBESON,INDIAN AMERICAN or ALASKA NATIVE,M,77,ROWLAND,NC,28383,DEM,1,1,1
000000547433,ROBESON,UNDESIGNATED,U,57,LUMBERTON,NC,28360,UNA,0,0,1
000000544926,ROBESON,INDIAN AMERICAN or ALASKA NATIVE,F,55,LUMBERTON,NC,28360,UNA,1,1,1
000000557087,ROBESON,UNDESIGNATED,F,22,LUMBERTON,NC,28358,REP,0,0,1
000000230080,ROBESON,INDIAN AMERICAN or ALASKA NATIVE,M,59,PEMBROKE,NC,28372,DEM,1,1,1
000000554503,ROBESON,INDIAN AMERICAN or ALASKA NATIVE,M,40,PEMBROKE,NC,28372,DEM,1,1,1
000000250741,ROBESON,INDIAN AMERICAN or ALASKA NATIVE,M,52,PEMBROKE,NC,28372,UNA,1,1,1
000000510641,ROBESON,ASIAN,F,28,LUMBERTON,NC,28358,REP,0,0,1
000000538853,ROBESON,WHITE,M,28,LUMBERTON,NC,28358,REP,0,0,1
000000521769,ROBESON,WHITE,F,67,LUMBERTON,NC,28358,REP,0,1,1
000000442515,ROBESON,BLACK or AFRICAN AMERICAN,M,77,LUMBERTON,NC,28358,DEM,1,1,1
000000061209,ROBESON,WHITE,F,53,FAIRMONT,NC,28340,DEM,1,1,1
000000542558,ROBESON,WHITE,F,60,LUMBERTON,NC,28358,REP,1,1,1
000000458661,ROBESON,UNDESIGNATED,F,38,LUMBERTON,NC,28358,DEM,0,1,1
000000525057,ROBESON,WHITE,M,23,LUMBERTON,NC,28358,REP,0,1,1
000000491505,ROBESON,WHITE,M,43,LUMBERTON,NC,28360,REP,1,1,1
000000527514,ROBESON,WHITE,M,23,LUMBERTON,NC,28358,REP,0,1,1
000000390459,ROBESON,BLACK or AFRICAN AMERICAN,M,70,MAXTON,NC,28364,DEM,1,1,1
000000460950,ROBESON,WHITE,M,40,LUMBERTON,NC,28358,REP,1,1,1
000000411614,ROBESON,WHITE,M,56,LUMBERTON,NC,28358,UNA,1,1,1
000000486092,ROBESON,WHITE,M,32,ORRUM,NC,28369,UNA,1,1,1
000000535214,ROBESON,WHITE,F,64,ST PAULS,NC,28384,REP,0,1,1
000000518249,ROBESON,WHITE,F,54,LUMBERTON,NC,28360,UNA,0,1,1
000000140002,ROBESON,WHITE,F,68,LUMBERTON,NC,28358,DEM,1,1,1
000000495552,ROBESON,BLACK or AFRICAN AMERICAN,F,30,LUMBERTON,NC,28358,DEM,0,1,1
000000121406,ROBESON,WHITE,F,82,LUMBERTON,NC,28358,UNA,1,1,1
000000537664,ROBESON,WHITE,F,92,PARKTON,NC,28371,UNA,0,0,1
000000100001,ROBESON,BLACK or AFRICAN AMERICAN,F,85,LUMBER BRIDGE,NC,28357,DEM,1,1,1
000000533247,ROBESON,WHITE,F,51,LUMBERTON,NC,28358,REP,0,1,1
000000010278,ROBESON,BLACK or AFRICAN AMERICAN,F,71,MAXTON,NC,28364,DEM,1,1,1
000000232252,ROBESON,INDIAN AMERICAN or ALASKA NATIVE,F,80,PEMBROKE,NC,28372,DEM,1,1,1
000000552524,ROBESON,UNDESIGNATED,U,23,LUMBERTON,NC,28358,UNA,0,1,1
000000181919,ROBESON,WHITE,M,69,LUMBERTON,NC,28358,REP,1,1,1
000000110592,ROBESON,WHITE,F,59,LUMBERTON,NC,28358,UNA,1,1,1
000000442517,ROBESON,BLACK or AFRICAN AMERICAN,F,75,LUMBERTON,NC,28358,UNA,1,1,1
000000120004,ROBESON,WHITE,M,61,LUMBERTON,NC,28358,UNA,1,1,1
000000390003,ROBESON,WHITE,M,84,ROWLAND,NC,28383,REP,1,1,1
000000498719,ROBESON,BLACK or AFRICAN AMERICAN,M,44,MAXTON,NC,28364,UNA,1,1,1
000000532723,ROBESON,WHITE,F,67,MAXTON,NC,28364,REP,0,1,1
000000542559,ROBESON,WHITE,M,66,LUMBERTON,NC,28358,REP,1,1,1
000000534187,ROBESON,UNDESIGNATED,U,57,ST PAULS,NC,28384,REP,0,1,1
000000548404,ROBESON,UNDESIGNATED,M,74,LUMBERTON,NC,28360,REP,1,1,1
000000131703,ROBESON,WHITE,M,61,FAIRMONT,NC,28340,DEM,1,1,1
000000120150,ROBESON,WHITE,F,64,LUMBERTON,NC,28358,DEM,1,1,1
000000548662,ROBESON,UNDESIGNATED,F,74,LUMBERTON,NC,28358,DEM,0,0,0
000000462567,ROBESON,WHITE,F,38,LUMBERTON,NC,28358,UNA,1,1,1
000000418380,ROBESON,INDIAN AMERICAN or ALASKA NATIVE,F,48,ROWLAND,NC,28383,DEM,1,1,1
000000553798,ROBESON,BLACK or AFRICAN AMERICAN,M,22,PEMBROKE,NC,28372,NLB,0,0,1
000000478807,ROBESON,BLACK or AFRICAN AMERICAN,F,66,MAXTON,NC,28364,DEM,1,1,1
000000527559,ROBESON,BLACK or AFRICAN AMERICAN,M,23,ST PAULS,NC,28384,DEM,0,0,1
000000553246,ROBESON,WHITE,F,95,FAIRMONT,NC,28340,REP,0,0,1
000000418700,ROBESON,WHITE,M,49,FAIRMONT,NC,28340,DEM,1,1,1
000000526287,ROBESON,WHITE,F,23,LUMBERTON,NC,28358,REP,0,1,1
000000411709,ROBESON,WHITE,F,61,LUMBERTON,NC,28360,UNA,1,1,1
000000411450,ROBESON,WHITE,F,53,LUMBERTON,NC,28358,UNA,1,1,1
000000558227,ROBESON,BLACK or AFRICAN AMERICAN,M,20,PEMBROKE,NC,28372,DEM,0,0,1
000000542177,ROBESON,WHITE,M,20,LUMBERTON,NC,28358,UNA,0,0,1
000000538175,ROBESON,BLACK or AFRICAN AMERICAN,F,21,LUMBERTON,NC,28358,DEM,0,0,1
000000250158,ROBESON,WHITE,M,66,LUMBERTON,NC,28360,REP,1,1,1
000000140010,ROBESON,WHITE,F,66,LUMBERTON,NC,28358,DEM,1,1,1
000000524428,ROBESON,WHITE,F,31,FAIRMONT,NC,28340,DEM,0,1,1
000000536227,ROBESON,WHITE,M,26,LUMBERTON,NC,28358,REP,0,0,1
000000534252,ROBESON,WHITE,F,26,LUMBERTON,NC,28358,REP,1,1,1
000000471940,ROBESON,BLACK or AFRICAN AMERICAN,M,72,LUMBERTON,NC,28358,DEM,1,0,1
000000478763,ROBESON,BLACK or AFRICAN AMERICAN,F,70,LUMBERTON,NC,28358,DEM,1,1,1
000000472511,ROBESON,INDIAN AMERICAN or ALASKA NATIVE,F,54,FAIRMONT,NC,28340,DEM,1,1,1
000000481987,ROBESON,BLACK or AFRICAN AMERICAN,F,34,LUMBERTON,NC,28358,UNA,1,1,1
000000429982,ROBESON,BLACK or AFRICAN AMERICAN,M,65,LUMBERTON,NC,28358,DEM,0,1,1
000000170006,ROBESON,BLACK or AFRICAN AMERICAN,F,74,LUMBERTON,NC,28358,DEM,1,1,1
000000020004,ROBESON,BLACK or AFRICAN AMERICAN,F,80,ROWLAND,NC,28383,DEM,1,1,1
000000472289,ROBESON,BLACK or AFRICAN AMERICAN,F,39,LUMBERTON,NC,28358,DEM,1,1,1
