voter_reg_num,county_desc,race,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000000034188,STOKES,WHITE,F,48,WALNUT COVE,NC,27052,DEM,1,1,1
000030019998,STOKES,WHITE,F,71,DANBURY,NC,27016,REP,1,1,1
000000031054,STOKES,WHITE,F,51,WALNUT COVE,NC,27052,DEM,1,1,1
000030038667,STOKES,WHITE,F,59,KING,NC,27021,DEM,0,1,1
000030044032,STOKES,OTHER,U,29,SANDY RIDGE,NC,27046,REP,0,1,1
000000022397,STOKES,WHITE,F,59,WALNUT COVE,NC,27052,REP,1,1,1
000030005969,STOKES,WHITE,F,77,KING,NC,27021,DEM,1,1,1
000030017408,STOKES,WHITE,M,33,WALNUT COVE,NC,27052,REP,1,1,1
000030030489,STOKES,WHITE,F,30,WALNUT COVE,NC,27052,REP,1,1,1
000000004906,STOKES,WHITE,M,74,WALNUT COVE,NC,27052,REP,1,1,1
000000000010,STOKES,WHITE,M,70,WALNUT COVE,NC,27052,REP,1,1,1
000030043833,STOKES,WHITE,M,76,WESTFIELD,NC,27053,REP,1,1,1
000000022080,STOKES,WHITE,F,68,WALNUT COVE,NC,27052,REP,1,1,1
000000000029,STOKES,WHITE,M,66,WALNUT COVE,NC,27052,UNA,1,1,1
000000022045,STOKES,WHITE,F,72,WALNUT COVE,NC,27052,DEM,1,1,1
000030009293,STOKES,WHITE,F,72,MT. AIRY,NC,27030,UNA,1,1,1
000030045545,STOKES,WHITE,M,72,GERMANTON,NC,27019,UNA,1,0,1
000030045419,STOKES,WHITE,F,26,SANDY RIDGE,NC,27046,REP,0,0,1
000030044039,STOKES,WHITE,M,19,SANDY RIDGE,NC,27046,REP,0,0,1
000030029342,STOKES,WHITE,M,52,KING,NC,27021,REP,0,1,1
000000021338,STOKES,WHITE,F,68,WALNUT COVE,NC,27052,REP,1,1,1
000000023619,STOKES,WHITE,M,63,WALNUT COVE,NC,27052,REP,1,1,1
000030026207,STOKES,WHITE,F,26,WALNUT COVE,NC,27052,REP,1,1,1
000030039084,STOKES,WHITE,F,23,WALNUT COVE,NC,27052,REP,0,1,1
000000027736,STOKES,BLACK or AFRICAN AMERICAN,F,65,WALNUT COVE,NC,27052,DEM,1,1,1
000030044557,STOKES,WHITE,M,30,KING,NC,27021,LIB,0,0,1
000030026250,STOKES,WHITE,M,26,WALNUT COVE,NC,27052,REP,1,0,1
000030043633,STOKES,WHITE,M,30,PINNACLE,NC,27043,REP,1,1,1
000000037510,STOKES,WHITE,M,64,KING,NC,27021,REP,0,1,1
