voter_reg_num,county_desc,race,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000000124927,VANCE,OTHER,F,28,KITTRELL,NC,27544,UNA,1,1,1
000000039784,VANCE,WHITE,F,65,HENDERSON,NC,27537,UNA,1,1,1
000000139755,VANCE,WHITE,M,19,HENDERSON,NC,27537,UNA,0,0,0
000000109071,VANCE,WHITE,M,45,HENDERSON,NC,27537,REP,1,1,1
000000039779,VANCE,WHITE,M,73,HENDERSON,NC,27537,UNA,1,1,1
000000141917,VANCE,WHITE,F,26,HENDERSON,NC,27537,UNA,0,0,1
000000143071,VANCE,WHITE,F,24,HENDERSON,NC,27536,REP,0,0,1
000000000067,VANCE,WHITE,M,62,HENDERSON,NC,27536,DEM,1,1,1
000000120557,VANCE,WHITE,F,39,HENDERSON,NC,27537,UNA,1,1,1
000000103387,VANCE,WHITE,F,39,KITTRELL,NC,27544,REP,1,1,1
000000018634,VANCE,WHITE,M,86,HENDERSON,NC,27537,DEM,1,1,1
000000126604,VANCE,WHITE,M,27,HENDERSON,NC,27537,REP,1,1,1
000000122643,VANCE,WHITE,F,87,HENDERSON,NC,27536,UNA,1,1,1
000000000058,VANCE,WHITE,M,63,HENDERSON,NC,27537,UNA,1,1,1
000000125756,VANCE,WHITE,F,34,HENDERSON,NC,27537,DEM,1,1,1
000000000059,VANCE,WHITE,F,62,HENDERSON,NC,27537,UNA,1,1,1
000000000070,VANCE,WHITE,F,71,HENDERSON,NC,27537,UNA,1,1,1
000000000029,VANCE,WHITE,F,81,HENDERSON,NC,27536,UNA,1,1,1
000000101941,VANCE,WHITE,M,40,HENDERSON,NC,27537,DEM,1,1,1
000000136413,VANCE,WHITE,M,35,HENDERSON,NC,27537,UNA,0,0,1
000000106113,VANCE,WHITE,F,64,HENDERSON,NC,27537,REP,1,1,1
000000126917,VANCE,WHITE,F,39,HENDERSON,NC,27536,REP,1,1,1
000000124047,VANCE,WHITE,F,27,HENDERSON,NC,27537,REP,0,0,0
000000000031,VANCE,WHITE,F,71,HENDERSON,NC,27536,DEM,1,1,1
000000000061,VANCE,WHITE,M,66,HENDERSON,NC,27536,REP,1,1,1
000000000071,VANCE,WHITE,M,68,HENDERSON,NC,27537,REP,1,1,1
000000037564,VANCE,WHITE,F,53,HENDERSON,NC,27537,UNA,1,1,1
000000002841,VANCE,WHITE,M,69,HENDERSON,NC,27536,DEM,1,1,1
000000038574,VANCE,WHITE,M,59,HENDERSON,NC,27537,REP,1,1,1
000000102541,VANCE,WHITE,F,74,HENDERSON,NC,27537,REP,1,1,1
000000002846,VANCE,WHITE,M,90,HENDERSON,NC,27536,DEM,1,1,1
000000104817,VANCE,WHITE,F,38,HENDERSON,NC,27537,UNA,1,1,1
000000140098,VANCE,WHITE,M,19,HENDERSON,NC,27537,REP,0,0,1
000000000033,VANCE,WHITE,F,77,KITTRELL,NC,27544,UNA,1,1,1
000000012249,VANCE,WHITE,M,75,KITTRELL,NC,27544,REP,1,1,1
000000134471,VANCE,WHITE,F,83,OXFORD,NC,27565,REP,0,1,1
000000139470,VANCE,WHITE,F,19,KITTRELL,NC,27544,REP,0,0,1
000000135300,VANCE,OTHER,M,33,HENDERSON,NC,27537,REP,0,1,1
000000109122,VANCE,WHITE,M,81,MANSON,NC,27553,UNA,1,1,1
000000109766,VANCE,WHITE,M,34,HENDERSON,NC,27537,REP,1,0,1
000000010165,VANCE,WHITE,F,72,HENDERSON,NC,27537,DEM,1,1,1
000000012955,VANCE,WHITE,M,89,HENDERSON,NC,27537,DEM,1,1,1
