voter_reg_num,county_desc,race,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000030007485,WILKES,WHITE,M,70,WILKESBORO,NC,28697,REP,1,1,1
000030023452,WILKES,WHITE,F,31,PURLEAR,NC,28665,REP,0,1,1
000030042891,WILKES,WHITE,F,73,RONDA,NC,28670,UNA,0,1,1
000030042890,WILKES,WHITE,M,66,RONDA,NC,28670,UNA,0,1,1
000030043527,WILKES,WHITE,M,32,PURLEAR,NC,28665,REP,1,1,1
000030007085,WILKES,WHITE,F,66,WILKESBORO,NC,28697,REP,1,1,1
000030031104,WILKES,WHITE,M,32,NORTH WILKESBORO,NC,28659,REP,0,0,1
000000056574,WILKES,BLACK or AFRICAN AMERICAN,M,63,WILKESBORO,NC,28697,REP,1,1,1
000030012646,WILKES,WHITE,F,89,MORAVIAN FALLS,NC,28654,REP,1,1,1
000030048122,WILKES,WHITE,F,27,NORTH WILKESBORO,NC,28659,UNA,0,1,1
000030013500,WILKES,WHITE,F,65,NORTH WILKESBORO,NC,28659,REP,1,1,1
000030034190,WILKES,WHITE,M,83,MORAVIAN FALLS,NC,28654,REP,1,1,1
000030048069,WILKES,WHITE,M,36,NORTH WILKESBORO,NC,28659,UNA,1,1,1
000030055890,WILKES,BLACK or AFRICAN AMERICAN,M,69,NORTH WILKESBORO,NC,28659,DEM,1,1,1
000030053175,WILKES,WHITE,F,42,WILKESBORO,NC,28697,DEM,0,0,1
000030050408,WILKES,WHITE,F,68,WILKESBORO,NC,28697,REP,0,0,1
000000057985,WILKES,WHITE,F,51,MORAVIAN FALLS,NC,28654,UNA,1,1,1
000030031231,WILKES,WHITE,F,27,WILKESBORO,NC,28697,UNA,1,1,1
000030002159,WILKES,WHITE,F,55,WILKESBORO,NC,28697,UNA,1,1,1
000030001840,WILKES,WHITE,M,57,WILKESBORO,NC,28697,UNA,1,1,1
000000000026,WILKES,WHITE,F,92,WILKESBORO,NC,28697,REP,1,1,1
000030049013,WILKES,WHITE,F,50,NORTH WILKESBORO,NC,28659,REP,0,0,1
000030049307,WILKES,WHITE,M,38,NORTH WILKESBORO,NC,28659,UNA,0,1,1
000030049262,WILKES,WHITE,U,38,NORTH WILKESBORO,NC,28659,REP,0,1,1
000030055688,WILKES,WHITE,M,25,RONDA,NC,28670,UNA,0,0,1
000030056798,WILKES,OTHER,F,63,WILKESBORO,NC,28697,LIB,0,0,1
000000035177,WILKES,WHITE,M,58,WILKESBORO,NC,28697,REP,1,1,1
000000000097,WILKES,WHITE,F,72,NORTH WILKESBORO,NC,28659,DEM,1,1,1
000000000031,WILKES,WHITE,F,87,NORTH WILKESBORO,NC,28659,DEM,1,1,0
000000049220,WILKES,WHITE,F,53,NORTH WILKESBORO,NC,28659,REP,1,1,1
000030056533,WILKES,UNDESIGNATED,U,39,JONESVILLE,NC,28642,REP,0,0,1
000000000041,WILKES,WHITE,M,68,WILKESBORO,NC,28697,DEM,1,1,1
000030053768,WILKES,WHITE,M,19,WILKESBORO,NC,28697,LIB,0,0,1
000030011371,WILKES,WHITE,F,63,TRAPHILL,NC,28685,REP,1,1,1
000030046582,WILKES,WHITE,F,25,PURLEAR,NC,28665,UNA,0,0,1
000030054209,WILKES,WHITE,F,19,PURLEAR,NC,28665,UNA,0,0,1
000030017882,WILKES,WHITE,M,53,WILKESBORO,NC,28697,REP,1,1,1
000030037977,WILKES,WHITE,M,25,RONDA,NC,28670,UNA,0,0,1
000000000055,WILKES,WHITE,M,73,TRAPHILL,NC,28685,REP,1,1,1
000000000058,WILKES,WHITE,M,86,WILKESBORO,NC,28697,REP,1,1,1
000000034877,WILKES,WHITE,M,61,MILLERS CREEK,NC,28651,UNA,1,1,1
000000059426,WILKES,WHITE,F,51,NORTH WILKESBORO,NC,28659,REP,1,1,1
000030011372,WILKES,WHITE,M,64,TRAPHILL,NC,28685,REP,1,0,1
000030052803,WILKES,WHITE,U,31,NORTH WILKESBORO,NC,28659,REP,0,0,1
000000058146,WILKES,WHITE,F,55,NORTH WILKESBORO,NC,28659,REP,1,1,1
000030037782,WILKES,WHITE,M,39,NORTH WILKESBORO,NC,28659,DEM,0,1,1
000000000074,WILKES,WHITE,M,65,STATE ROAD,NC,28676,REP,1,1,1
000030038493,WILKES,WHITE,F,72,WILKESBORO,NC,28697,REP,1,1,1
000030041009,WILKES,WHITE,F,67,WILKESBORO,NC,28697,UNA,1,1,1
000000041418,WILKES,WHITE,F,54,NORTH WILKESBORO,NC,28659,REP,1,1,1
000030008344,WILKES,WHITE,M,58,NORTH WILKESBORO,NC,28659,REP,1,1,1
000000034217,WILKES,WHITE,F,60,MILLERS CREEK,NC,28651,REP,1,1,1
000000039138,WILKES,WHITE,F,57,RONDA,NC,28670,REP,1,1,1
000030003012,WILKES,WHITE,F,79,ROARING RIVER,NC,28669,UNA,1,1,1
000030001633,WILKES,WHITE,F,72,HAYS,NC,28635,REP,1,1,1
000000000084,WILKES,WHITE,F,62,NORTH WILKESBORO,NC,28659,UNA,1,1,1
000000000087,WILKES,WHITE,M,88,WILKESBORO,NC,28697,UNA,1,1,1
000030015865,WILKES,WHITE,M,35,NORTH WILKESBORO,NC,28659,REP,1,1,1
000000000091,WILKES,WHITE,F,91,NORTH WILKESBORO,NC,28659,DEM,1,1,1
000030006311,WILKES,WHITE,F,51,NORTH WILKESBORO,NC,28659,REP,1,1,1
000000000094,WILKES,WHITE,M,89,NORTH WILKESBORO,NC,28659,REP,1,1,1
000000050114,WILKES,WHITE,F,66,NORTH WILKESBORO,NC,28659,REP,1,1,1
000030050489,WILKES,WHITE,F,20,NORTH WILKESBORO,NC,28659,REP,0,0,1
000000000100,WILKES,WHITE,F,80,MCGRADY,NC,28649,REP,1,1,1
000000000102,WILKES,WHITE,F,88,NORTH WILKESBORO,NC,28659,UNA,1,1,1
000000056581,WILKES,WHITE,F,47,WILKESBORO,NC,28697,DEM,1,1,1
000030037212,WILKES,WHITE,F,39,NORTH WILKESBORO,NC,28659,UNA,0,1,1
000000042983,WILKES,WHITE,F,54,PURLEAR,NC,28665,REP,1,1,1
000000000107,WILKES,WHITE,M,85,MCGRADY,NC,28649,REP,1,1,1
