voter_reg_num,county_desc,race,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000000023721,YADKIN,WHITE,F,58,EAST BEND,NC,27018,UNA,1,1,1
000000076102,YADKIN,WHITE,F,57,HAMPTONVILLE,NC,27020,REP,1,1,1
000000079644,YADKIN,WHITE,F,25,BOONVILLE,NC,27011,REP,0,1,1
000000090161,YADKIN,WHITE,F,18,BOONVILLE,NC,27011,REP,0,0,1
000000000002,YADKIN,WHITE,M,77,YADKINVILLE,NC,27055,UNA,1,1,1
000000023261,YADKIN,WHITE,F,52,BOONVILLE,NC,27011,REP,1,1,1
000000000006,YADKIN,WHITE,F,78,YADKINVILLE,NC,27055,REP,1,1,1
000000076714,YADKIN,WHITE,M,26,YADKINVILLE,NC,27055,REP,1,1,1
000000000007,YADKIN,WHITE,M,73,YADKINVILLE,NC,27055,REP,1,1,1
000000018397,YADKIN,WHITE,F,64,YADKINVILLE,NC,27055,REP,1,1,1
000000068386,YADKIN,WHITE,F,67,EAST BEND,NC,27018,DEM,1,1,1
000000018786,YADKIN,WHITE,F,54,EAST BEND,NC,27018,REP,1,1,1
000000020592,YADKIN,WHITE,M,60,EAST BEND,NC,27018,REP,1,1,1
000000089806,YADKIN,WHITE,M,23,EAST BEND,NC,27018,REP,0,0,1
000000090657,YADKIN,WHITE,M,68,JONESVILLE,NC,28642,REP,0,0,1
000000086504,YADKIN,WHITE,M,43,HAMPTONVILLE,NC,27020,REP,0,0,1
000000085532,YADKIN,WHITE,M,57,YADKINVILLE,NC,27055,DEM,1,1,1
000000084832,YADKIN,WHITE,M,21,YADKINVILLE,NC,27055,UNA,0,0,1
000000077170,YADKIN,WHITE,M,62,YADKINVILLE,NC,27055,UNA,1,1,1
000000062166,YADKIN,WHITE,F,54,YADKINVILLE,NC,27055,REP,1,1,1
000000087413,YADKIN,OTHER,F,38,JONESVILLE,NC,28642,DEM,0,0,1
000000085878,YADKIN,UNDESIGNATED,M,46,JONESVILLE,NC,28642,UNA,0,0,1
000000077351,YADKIN,WHITE,M,41,BOONVILLE,NC,27011,UNA,0,1,1
000000083779,YADKIN,OTHER,F,28,HAMPTONVILLE,NC,27020,LIB,0,1,1
000000000013,YADKIN,WHITE,F,81,YADKINVILLE,NC,27055,REP,1,1,1
000000068480,YADKIN,WHITE,F,41,JONESVILLE,NC,28642,UNA,1,1,1
000000000015,YADKIN,WHITE,F,68,YADKINVILLE,NC,27055,REP,1,1,1
000000061808,YADKIN,WHITE,F,54,HAMPTONVILLE,NC,27020,REP,1,1,1
000000062349,YADKIN,WHITE,F,60,YADKINVILLE,NC,27055,REP,1,1,1
000000000018,YADKIN,WHITE,F,82,EAST BEND,NC,27018,REP,1,1,1
000000071835,YADKIN,WHITE,F,43,HAMPTONVILLE,NC,27020,REP,1,1,1
