voter_reg_num,county_desc,race,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000000033462,YANCEY,WHITE,F,65,BURNSVILLE,NC,28714,REP,1,1,1
000000033458,YANCEY,WHITE,U,64,BURNSVILLE,NC,28714,REP,1,1,1
000000031282,YANCEY,UNDESIGNATED,F,70,BURNSVILLE,NC,28714,DEM,0,0,1
000000014683,YANCEY,WHITE,F,74,GREEN MOUNTAIN,NC,28740,UNA,1,1,1
000000014722,YANCEY,WHITE,M,81,GREEN MOUNTAIN,NC,28740,UNA,1,1,1
000000010135,YANCEY,WHITE,M,75,BURNSVILLE,NC,28714,UNA,0,1,1
000000025582,YANCEY,WHITE,F,44,BURNSVILLE,NC,28714,DEM,1,1,1
000000033553,YANCEY,WHITE,F,33,BURNSVILLE,NC,28714,DEM,0,0,1
000000029994,YANCEY,WHITE,F,33,BURNSVILLE,NC,28714,UNA,0,1,1
000000026924,YANCEY,WHITE,F,86,BURNSVILLE,NC,28714,REP,1,1,1
000000027378,YANCEY,WHITE,F,26,BURNSVILLE,NC,28714,UNA,0,1,1
000000025551,YANCEY,WHITE,M,51,BURNSVILLE,NC,28714,UNA,1,1,1
000000034205,YANCEY,UNDESIGNATED,U,62,BURNSVILLE,NC,28714,UNA,0,0,1
000000032898,YANCEY,WHITE,U,65,BURNSVILLE,NC,28714,UNA,0,0,1
000000032209,YANCEY,BLACK or AFRICAN AMERICAN,F,47,BURNSVILLE,NC,28714,DEM,0,0,1
000000028967,YANCEY,WHITE,M,81,GREEN MOUNTAIN,NC,28740,UNA,0,1,1
000000014253,YANCEY,WHITE,F,72,BURNSVILLE,NC,28714,DEM,1,1,1
000000030126,YANCEY,WHITE,F,23,BURNSVILLE,NC,28714,UNA,0,1,1
000000006768,YANCEY,WHITE,M,69,BURNSVILLE,NC,28714,REP,1,1,1
000000006769,YANCEY,WHITE,F,63,BURNSVILLE,NC,28714,REP,1,1,1
000000025284,YANCEY,WHITE,M,28,GREEN MOUNTAIN,NC,28740,DEM,1,1,1
000000020424,YANCEY,WHITE,F,61,BURNSVILLE,NC,28714,UNA,1,1,1
000000003162,YANCEY,WHITE,M,57,BURNSVILLE,NC,28714,UNA,0,1,1
000000001729,YANCEY,WHITE,M,72,BURNSVILLE,NC,28714,REP,1,1,1
000000029762,YANCEY,WHITE,F,22,BURNSVILLE,NC,28714,DEM,0,1,1
