voter_reg_num,county_desc,race,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000000041713,ASHE,WHITE,U,65,JEFFERSON,NC,28640,REP,1,1,1
000000041628,ASHE,WHITE,M,32,JEFFERSON,NC,28640,REP,0,0,1
000000043592,ASHE,OTHER,M,31,WEST JEFFERSON,NC,28694,REP,0,0,1
000000016670,ASHE,WHITE,F,73,CRESTON,NC,28615,REP,1,1,1
000000044456,ASHE,WHITE,F,28,JEFFERSON,NC,28640,UNA,0,0,1
000000045709,ASHE,UNDESIGNATED,U,53,JEFFERSON,NC,28640,REP,0,0,1
000000045450,ASHE,WHITE,F,30,WEST JEFFERSON,NC,28694,DEM,1,1,1
000000010678,ASHE,WHITE,F,82,WEST JEFFERSON,NC,28694,DEM,1,1,1
000000024845,ASHE,WHITE,M,77,WEST JEFFERSON,NC,28694,REP,1,1,1
000000003254,ASHE,WHITE,F,63,WEST JEFFERSON,NC,28694,UNA,1,1,1
000000001325,ASHE,WHITE,F,60,CRUMPLER,NC,28617,DEM,1,1,1
000000001326,ASHE,WHITE,M,72,CRUMPLER,NC,28617,DEM,1,1,1
000000001327,ASHE,WHITE,M,63,CRUMPLER,NC,28617,UNA,1,1,1
000000001331,ASHE,WHITE,M,64,SCOTTVILLE,NC,28672,DEM,1,1,1
000000029912,ASHE,WHITE,F,30,JEFFERSON,NC,28640,UNA,1,1,1
000000001332,ASHE,WHITE,F,60,CRUMPLER,NC,28617,UNA,1,1,1
000000010685,ASHE,WHITE,F,58,JEFFERSON,NC,28640,UNA,1,1,1
000000016204,ASHE,WHITE,F,57,LANSING,NC,28643,REP,1,1,1
000000039736,ASHE,UNDESIGNATED,U,77,LAUREL SPRINGS,NC,28644,UNA,0,0,1
000000004511,ASHE,WHITE,F,75,JEFFERSON,NC,28640,DEM,1,1,1
000000045118,ASHE,UNDESIGNATED,U,21,WEST JEFFERSON,NC,28694,DEM,0,0,1
000000028571,ASHE,WHITE,M,33,JEFFERSON,NC,28640,UNA,1,1,1
000000016710,ASHE,WHITE,M,59,LANSING,NC,28643,DEM,1,1,1
000000010686,ASHE,WHITE,F,80,JEFFERSON,NC,28640,DEM,1,1,1
000000001336,ASHE,WHITE,M,58,CRUMPLER,NC,28617,UNA,1,1,1
000000010687,ASHE,WHITE,M,65,JEFFERSON,NC,28640,UNA,0,1,1
000000035234,ASHE,WHITE,M,74,CRUMPLER,NC,28617,UNA,1,1,1
000000042353,ASHE,WHITE,F,20,WEST JEFFERSON,NC,28694,UNA,0,0,1
000000042876,ASHE,WHITE,U,62,WEST JEFFERSON,NC,28694,UNA,1,1,1
000000025535,ASHE,WHITE,F,35,LANSING,NC,28643,UNA,1,1,1
000000010688,ASHE,WHITE,M,85,WEST JEFFERSON,NC,28694,REP,1,1,1
000000010689,ASHE,WHITE,M,68,CRUMPLER,NC,28617,REP,1,1,1
000000017137,ASHE,WHITE,F,49,FLEETWOOD,NC,28626,REP,1,1,1
000000029329,ASHE,WHITE,M,37,LANSING,NC,28643,UNA,1,1,1
000000024828,ASHE,WHITE,M,63,JEFFERSON,NC,28640,REP,1,1,1
000000039876,ASHE,UNDESIGNATED,U,39,CRUMPLER,NC,28617,REP,0,1,1
000000030915,ASHE,WHITE,F,72,WEST JEFFERSON,NC,28694,REP,1,1,1
000000026040,ASHE,WHITE,F,54,WEST JEFFERSON,NC,28694,UNA,1,1,1
000000031589,ASHE,WHITE,F,43,LANSING,NC,28643,REP,1,1,1
000000038613,ASHE,UNDESIGNATED,F,87,JEFFERSON,NC,28640,UNA,0,1,1
000000040235,ASHE,WHITE,F,22,WARRENSVILLE,NC,28693,UNA,0,0,1
000000043644,ASHE,WHITE,F,19,FLEETWOOD,NC,28626,REP,0,0,1
000000001602,ASHE,WHITE,F,83,WARRENSVILLE,NC,28693,REP,0,1,1
000000041164,ASHE,WHITE,F,21,WEST JEFFERSON,NC,28694,REP,0,0,1
000000010691,ASHE,WHITE,F,67,CRUMPLER,NC,28617,UNA,1,1,1
000000005763,ASHE,WHITE,F,59,JEFFERSON,NC,28640,REP,1,1,1
000000039910,ASHE,UNDESIGNATED,U,68,CRUMPLER,NC,28617,REP,0,1,1
000000030568,ASHE,WHITE,M,46,WEST JEFFERSON,NC,28694,REP,1,1,1
000000041675,ASHE,WHITE,F,67,WEST JEFFERSON,NC,28694,REP,0,0,1
000000031814,ASHE,WHITE,M,71,WEST JEFFERSON,NC,28694,UNA,1,1,1
000000018606,ASHE,WHITE,M,46,LANSING,NC,28643,REP,1,1,1
000000010692,ASHE,WHITE,F,57,CRUMPLER,NC,28617,REP,1,1,1
000000042755,ASHE,WHITE,M,20,LANSING,NC,28643,REP,0,0,1
000000030155,ASHE,WHITE,F,33,WEST JEFFERSON,NC,28694,REP,1,1,1
000000041026,ASHE,WHITE,M,72,WEST JEFFERSON,NC,28694,REP,0,0,1
000000000049,ASHE,WHITE,F,65,JEFFERSON,NC,28640,UNA,0,0,1
000000031892,ASHE,WHITE,M,77,CRUMPLER,NC,28617,REP,1,1,1
000000034194,ASHE,WHITE,F,64,CRUMPLER,NC,28617,REP,1,1,1
000000036068,ASHE,UNDESIGNATED,F,24,CRUMPLER,NC,28617,DEM,0,1,1
000000043442,ASHE,WHITE,F,67,FLEETWOOD,NC,28626,UNA,1,1,1
000000043443,ASHE,OTHER,M,70,FLEETWOOD,NC,28626,UNA,1,1,1
000000045724,ASHE,BLACK or AFRICAN AMERICAN,F,20,FLEETWOOD,NC,28626,UNA,0,0,1
000000044317,ASHE,WHITE,F,53,TODD,NC,28684,REP,1,1,1
000000044812,ASHE,WHITE,M,54,TODD,NC,28684,REP,1,1,1
000000044828,ASHE,WHITE,F,21,TODD,NC,28684,REP,0,0,1
000000035446,ASHE,WHITE,M,69,CRESTON,NC,28615,UNA,0,1,1
000000035445,ASHE,WHITE,F,63,CRESTON,NC,28615,UNA,0,1,1
000000044073,ASHE,WHITE,F,56,GRASSY CREEK,NC,28631,REP,0,0,1
000000038958,ASHE,UNDESIGNATED,M,30,JEFFERSON,NC,28640,UNA,0,1,1
000000035287,ASHE,WHITE,M,34,JEFFERSON,NC,28640,REP,0,1,1
000000034856,ASHE,WHITE,F,35,JEFFERSON,NC,28640,REP,0,1,1
000000039147,ASHE,UNDESIGNATED,U,32,LAUREL SPRINGS,NC,28644,REP,0,1,1
000000019592,ASHE,WHITE,F,60,FLEETWOOD,NC,28626,UNA,1,1,1
000000039134,ASHE,WHITE,M,36,LAUREL SPRINGS,NC,28644,REP,0,1,1
000000045655,ASHE,UNDESIGNATED,U,50,WEST JEFFERSON,NC,28694,REP,0,0,1
000000033540,ASHE,WHITE,F,54,WEST JEFFERSON,NC,28694,REP,1,1,1
000000034183,ASHE,WHITE,M,49,WEST JEFFERSON,NC,28694,REP,1,1,1
000000019559,ASHE,WHITE,F,57,JEFFERSON,NC,28640,DEM,1,1,1
000000020257,ASHE,WHITE,M,78,WEST JEFFERSON,NC,28694,REP,1,1,1
000000010698,ASHE,WHITE,F,85,WEST JEFFERSON,NC,28694,DEM,1,1,1
000000032566,ASHE,WHITE,F,44,TODD,NC,28684,UNA,1,1,1
000000039104,ASHE,WHITE,M,60,WEST JEFFERSON,NC,28694,REP,0,1,1
000000039443,ASHE,WHITE,M,35,WEST JEFFERSON,NC,28694,LIB,1,1,1
000000009342,ASHE,WHITE,F,56,LANSING,NC,28643,DEM,1,1,1
000000042336,ASHE,WHITE,F,89,CRESTON,NC,28615,UNA,1,1,1
000000038039,ASHE,WHITE,F,36,JEFFERSON,NC,28640,UNA,1,1,1
000000029746,ASHE,WHITE,M,46,WEST JEFFERSON,NC,28694,UNA,1,1,1
000000026718,ASHE,BLACK or AFRICAN AMERICAN,M,78,WEST JEFFERSON,NC,28694,UNA,0,1,1
000000038038,ASHE,WHITE,M,36,JEFFERSON,NC,28640,UNA,1,1,1
000000045567,ASHE,UNDESIGNATED,U,19,WEST JEFFERSON,NC,28694,DEM,0,0,1
000000043852,ASHE,WHITE,F,19,WEST JEFFERSON,NC,28694,UNA,0,0,1
000000041689,ASHE,INDIAN AMERICAN or ALASKA NATIVE,M,41,CRUMPLER,NC,28617,UNA,0,1,1
000000041607,ASHE,WHITE,F,23,JEFFERSON,NC,28640,UNA,0,1,1
000000041865,ASHE,WHITE,F,20,CRESTON,NC,28615,REP,0,0,1
000000019272,ASHE,WHITE,F,69,FLEETWOOD,NC,28626,UNA,1,1,1
000000006148,ASHE,WHITE,F,79,CRESTON,NC,28615,REP,1,1,1
000000035152,ASHE,WHITE,M,67,CRUMPLER,NC,28617,DEM,0,1,1
000000025132,ASHE,WHITE,F,52,CRESTON,NC,28615,REP,1,1,1
000000035153,ASHE,WHITE,F,68,CRUMPLER,NC,28617,DEM,0,1,1
