voter_reg_num,county_desc,race,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000000058945,BLADEN,BLACK or AFRICAN AMERICAN,F,53,ELIZABETHTOWN,NC,28337,DEM,1,0,1
000000058498,BLADEN,BLACK or AFRICAN AMERICAN,F,26,CLARKTON,NC,28433,DEM,1,1,1
000000015229,BLADEN,WHITE,F,61,TAR HEEL,NC,28392,DEM,1,1,1
000000005626,BLADEN,WHITE,M,63,TAR HEEL,NC,28392,DEM,1,1,1
000000071056,BLADEN,WHITE,U,33,HARRELLS,NC,28444,UNA,0,0,1
000000071035,BLADEN,WHITE,M,33,HARRELLS,NC,28444,REP,0,0,1
000000063955,BLADEN,WHITE,M,67,ELIZABETHTOWN,NC,28337,UNA,0,1,1
000000070609,BLADEN,WHITE,M,30,ELIZABETHTOWN,NC,28337,REP,0,1,1
000000064947,BLADEN,WHITE,M,70,ELIZABETHTOWN,NC,28337,REP,0,1,1
000000064863,BLADEN,WHITE,F,66,ELIZABETHTOWN,NC,28337,REP,0,1,1
000000068035,BLADEN,WHITE,F,35,ELIZABETHTOWN,NC,28337,REP,1,1,1
000000067464,BLADEN,WHITE,F,48,ELIZABETHTOWN,NC,28337,REP,1,1,1
000000065831,BLADEN,WHITE,F,76,CLARKTON,NC,28433,UNA,0,0,1
000000072138,BLADEN,WHITE,M,35,ST. PAULS,NC,28384,DEM,0,1,1
000000045534,BLADEN,WHITE,F,63,ST. PAULS,NC,28384,REP,1,1,0
000000034672,BLADEN,BLACK or AFRICAN AMERICAN,M,50,ELIZABETHTOWN,NC,28337,DEM,1,1,1
000000058242,BLADEN,BLACK or AFRICAN AMERICAN,F,27,ELIZABETHTOWN,NC,28337,REP,1,1,1
000000014257,BLADEN,BLACK or AFRICAN AMERICAN,F,77,ELIZABETHTOWN,NC,28337,DEM,1,1,1
000000056834,BLADEN,WHITE,M,67,KELLY,NC,28448,REP,1,1,1
000000066690,BLADEN,WHITE,M,21,TAR HEEL,NC,28392,REP,0,0,1
000000068266,BLADEN,WHITE,M,46,WHITE LAKE,NC,28337,UNA,1,1,1
000000065082,BLADEN,WHITE,M,23,TAR HEEL,NC,28392,REP,0,1,1
000000054041,BLADEN,BLACK or AFRICAN AMERICAN,F,37,ELIZABETHTOWN,NC,28337,DEM,1,1,1
000000066169,BLADEN,BLACK or AFRICAN AMERICAN,F,30,BLADENBORO,NC,28320,UNA,0,0,1
000000066990,BLADEN,WHITE,F,60,ELIZABETHTOWN,NC,28337,REP,1,1,1
000000068267,BLADEN,WHITE,F,44,WHITE LAKE,NC,28337,UNA,1,1,1
000000055104,BLADEN,WHITE,M,86,WHITE OAK,NC,28399,REP,1,1,1
000000050008,BLADEN,WHITE,F,72,BLADENBORO,NC,28320,UNA,1,1,1
000000022374,BLADEN,BLACK or AFRICAN AMERICAN,F,57,ELIZABETHTOWN,NC,28337,DEM,1,1,1
000000066991,BLADEN,WHITE,M,65,ELIZABETHTOWN,NC,28337,REP,1,1,1
000000071829,BLADEN,UNDESIGNATED,F,64,BLADENBORO,NC,28320,UNA,0,0,1
000000009373,BLADEN,WHITE,F,84,BLADENBORO,NC,28320,DEM,1,1,1
000000009374,BLADEN,WHITE,M,83,BLADENBORO,NC,28320,DEM,1,1,1
000000071892,BLADEN,WHITE,M,52,BLADENBORO,NC,28320,UNA,0,0,1
000000057438,BLADEN,BLACK or AFRICAN AMERICAN,F,74,ELIZABETHTOWN,NC,28337,DEM,1,1,1
000000049994,BLADEN,BLACK or AFRICAN AMERICAN,F,63,ELIZABETHTOWN,NC,28337,DEM,1,1,1
000000063624,BLADEN,BLACK or AFRICAN AMERICAN,M,84,ELIZABETHTOWN,NC,28337,DEM,0,1,1
000000021505,BLADEN,BLACK or AFRICAN AMERICAN,F,80,ELIZABETHTOWN,NC,28337,DEM,1,1,1
000000026412,BLADEN,WHITE,F,59,BLADENBORO,NC,28320,UNA,1,1,1
000000039602,BLADEN,WHITE,M,61,BLADENBORO,NC,28320,REP,1,1,1
000000018527,BLADEN,WHITE,M,62,COUNCIL,NC,28434,REP,1,1,1
000000056366,BLADEN,WHITE,F,52,BLADENBORO,NC,28320,UNA,1,1,1
000000069168,BLADEN,OTHER,F,41,ST. PAULS,NC,28384,DEM,0,1,1
000000063238,BLADEN,TWO or MORE RACES,M,22,ELIZABETHTOWN,NC,28337,UNA,0,1,1
000000071057,BLADEN,UNDESIGNATED,U,22,ELIZABETHTOWN,NC,28337,UNA,0,0,1
000000071979,BLADEN,WHITE,M,63,WHITE LAKE,NC,28337,REP,0,0,1
000000065460,BLADEN,UNDESIGNATED,U,33,BLADENBORO,NC,28320,DEM,0,0,1
000000070821,BLADEN,WHITE,M,67,WHITE OAK,NC,28399,REP,0,1,1
000000065184,BLADEN,UNDESIGNATED,M,45,KELLY,NC,28448,UNA,1,1,1
000000070319,BLADEN,UNDESIGNATED,U,68,ELIZABETHTOWN,NC,28337,UNA,0,0,1
000000058773,BLADEN,BLACK or AFRICAN AMERICAN,F,45,KELLY,NC,28448,DEM,1,1,1
000000068604,BLADEN,WHITE,F,62,ELIZABETHTOWN,NC,28337,REP,1,1,1
000000025916,BLADEN,BLACK or AFRICAN AMERICAN,F,68,BLADENBORO,NC,28320,DEM,1,1,1
000000063981,BLADEN,BLACK or AFRICAN AMERICAN,M,36,BLADENBORO,NC,28320,DEM,0,1,1
000000046990,BLADEN,BLACK or AFRICAN AMERICAN,F,77,CLARKTON,NC,28433,DEM,1,1,1
000000021732,BLADEN,WHITE,M,68,CLARKTON,NC,28433,REP,1,1,1
000000030855,BLADEN,BLACK or AFRICAN AMERICAN,F,61,BLADENBORO,NC,28320,DEM,1,1,1
000000017904,BLADEN,BLACK or AFRICAN AMERICAN,F,66,BLADENBORO,NC,28320,DEM,1,1,1
000000066456,BLADEN,BLACK or AFRICAN AMERICAN,F,22,ELIZABETHTOWN,NC,28337,DEM,0,0,1
