voter_reg_num,county_desc,race,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000000083544,BURKE,WHITE,M,38,MORGANTON,NC,28655,REP,1,1,1
000000132706,BURKE,WHITE,F,64,MORGANTON,NC,28655,DEM,1,1,1
000000153137,BURKE,WHITE,F,48,DREXEL,NC,28619,UNA,0,0,1
000000132704,BURKE,WHITE,M,71,MORGANTON,NC,28655,DEM,1,1,1
000000015081,BURKE,WHITE,M,55,CONNELLY SPRINGS,NC,28612,REP,1,1,1
000000038790,BURKE,WHITE,F,51,CONNELLY SPRINGS,NC,28612,REP,1,1,1
000000145316,BURKE,WHITE,F,45,HILDEBRAN,NC,28637,REP,0,0,1
000000079221,BURKE,WHITE,M,50,MORGANTON,NC,28655,DEM,1,1,1
000000008003,BURKE,WHITE,F,89,RUTHERFORD COLLEGE,NC,28671,DEM,1,1,1
000000011559,BURKE,WHITE,F,81,CONNELLY SPRINGS,NC,28612,REP,1,1,1
000000011564,BURKE,WHITE,F,79,CONNELLY SPRINGS,NC,28612,UNA,1,1,1
000000146869,BURKE,WHITE,M,39,MORGANTON,NC,28655,REP,0,0,1
000000085200,BURKE,WHITE,F,67,VALDESE,NC,28690,REP,1,1,1
000000143142,BURKE,WHITE,F,30,CONNELLY SPRINGS,NC,28612,UNA,0,0,0
000000128161,BURKE,WHITE,F,26,VALDESE,NC,28690,REP,0,1,1
000000000606,BURKE,WHITE,F,75,VALDESE,NC,28690,DEM,1,1,1
000000128676,BURKE,WHITE,F,26,VALDESE,NC,28690,UNA,0,1,1
000000147208,BURKE,WHITE,F,36,MORGANTON,NC,28655,REP,1,1,1
000000054932,BURKE,WHITE,F,58,VALDESE,NC,28690,REP,1,1,1
000000121541,BURKE,WHITE,F,36,VALDESE,NC,28690,REP,1,1,1
000000085514,BURKE,WHITE,F,58,HICKORY,NC,28602,REP,1,1,1
000000088882,BURKE,WHITE,F,36,MORGANTON,NC,28655,UNA,1,1,1
000000103242,BURKE,WHITE,F,47,MORGANTON,NC,28655,UNA,1,1,1
