voter_reg_num,county_desc,race,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000000011385,CAMDEN,WHITE,M,58,CAMDEN,NC,27921,DEM,1,1,1
000000011357,CAMDEN,WHITE,F,59,CAMDEN,NC,27921,DEM,1,1,1
000000011466,CAMDEN,BLACK or AFRICAN AMERICAN,F,61,CAMDEN,NC,27921,UNA,0,1,1
000000019794,CAMDEN,WHITE,F,25,SOUTH MILLS,NC,27976,REP,0,1,1
000000018184,CAMDEN,WHITE,F,21,CAMDEN,NC,27921,UNA,0,0,1
000000017438,CAMDEN,WHITE,F,41,SOUTH MILLS,NC,27976,REP,0,1,1
000000017361,CAMDEN,WHITE,U,41,SOUTH MILLS,NC,27976,REP,0,0,1
000000004018,CAMDEN,BLACK or AFRICAN AMERICAN,F,91,CAMDEN,NC,27921,DEM,1,1,1
000000014668,CAMDEN,WHITE,F,85,CAMDEN,NC,27921,DEM,1,1,1
000000018723,CAMDEN,WHITE,F,33,SOUTH MILLS,NC,27976,UNA,1,1,1
000000020017,CAMDEN,BLACK or AFRICAN AMERICAN,F,30,CAMDEN,NC,27921,DEM,0,0,1
000000008225,CAMDEN,WHITE,M,86,CAMDEN,NC,27921,UNA,1,1,1
000000014669,CAMDEN,WHITE,F,53,CAMDEN,NC,27921,DEM,1,1,1
000000009131,CAMDEN,WHITE,M,60,SHILOH,NC,27974,REP,1,1,1
000000009132,CAMDEN,WHITE,F,59,SHILOH,NC,27974,UNA,0,0,1
000000013168,CAMDEN,WHITE,M,60,SHILOH,NC,27974,UNA,1,1,1
000000019415,CAMDEN,WHITE,F,19,CAMDEN,NC,27921,LIB,0,0,1
000000020280,CAMDEN,UNDESIGNATED,M,80,CAMDEN,NC,27921,REP,0,0,1
000000018249,CAMDEN,UNDESIGNATED,U,63,CAMDEN,NC,27921,DEM,1,0,1
000000012673,CAMDEN,WHITE,M,31,SOUTH MILLS,NC,27976,UNA,1,1,1
000000011221,CAMDEN,WHITE,M,33,SOUTH MILLS,NC,27976,REP,1,1,1
000000007437,CAMDEN,WHITE,F,61,SOUTH MILLS,NC,27976,UNA,1,1,1
000000016603,CAMDEN,WHITE,M,23,SHAWBORO,NC,27973,REP,0,1,1
000000000427,CAMDEN,WHITE,F,65,CAMDEN,NC,27921,REP,1,1,1
000000019153,CAMDEN,WHITE,M,61,SHAWBORO,NC,27973,REP,0,0,1
000000020153,CAMDEN,WHITE,M,37,SHAWBORO,NC,27973,REP,0,0,1
000000016333,CAMDEN,WHITE,F,64,SOUTH MILLS,NC,27976,REP,0,1,1
000000001458,CAMDEN,WHITE,M,65,SOUTH MILLS,NC,27976,UNA,1,1,1
000000000012,CAMDEN,WHITE,M,69,CAMDEN,NC,27921,REP,1,1,1
000000001459,CAMDEN,WHITE,M,78,SOUTH MILLS,NC,27976,UNA,1,1,1
000000002422,CAMDEN,WHITE,F,87,SOUTH MILLS,NC,27976,REP,1,1,1
000000011177,CAMDEN,WHITE,M,52,CAMDEN,NC,27921,REP,1,1,1
000000019404,CAMDEN,WHITE,F,62,SHAWBORO,NC,27973,REP,0,0,1
000000000014,CAMDEN,WHITE,M,78,CAMDEN,NC,27921,UNA,1,1,1
000000015775,CAMDEN,WHITE,M,43,CAMDEN,NC,27921,UNA,0,1,1
000000020155,CAMDEN,WHITE,F,20,SOUTH MILLS,NC,27976,UNA,0,0,1
000000013565,CAMDEN,WHITE,F,85,CAMDEN,NC,27921,REP,1,1,1
000000019088,CAMDEN,WHITE,M,40,SOUTH MILLS,NC,27976,UNA,0,0,1
000000018852,CAMDEN,WHITE,U,31,CAMDEN,NC,27921,UNA,0,0,1
000000018480,CAMDEN,WHITE,F,21,SOUTH MILLS,NC,27976,UNA,0,0,1
000000005408,CAMDEN,WHITE,M,57,CAMDEN,NC,27921,REP,1,1,1
000000002706,CAMDEN,WHITE,M,57,SHILOH,NC,27974,UNA,1,1,1
000000013091,CAMDEN,BLACK or AFRICAN AMERICAN,M,41,CAMDEN,NC,27921,UNA,1,1,1
000000017851,CAMDEN,WHITE,F,79,SOUTH MILLS,NC,27976,DEM,0,0,1
