voter_reg_num,county_desc,race,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000030006465,GRAHAM,UNDESIGNATED,F,28,ROBBINSVILLE,NC,28771,DEM,0,1,1
000030007659,GRAHAM,WHITE,F,18,ROBBINSVILLE,NC,28771,REP,0,0,1
000030004890,GRAHAM,WHITE,M,72,ROBBINSVILLE,NC,28771,REP,1,1,1
000000002942,GRAHAM,WHITE,M,76,ROBBINSVILLE,NC,28771,REP,1,1,1
000000003383,GRAHAM,WHITE,F,88,ROBBINSVILLE,NC,28771,REP,1,1,1
000000001122,GRAHAM,WHITE,F,59,ROBBINSVILLE,NC,28771,REP,1,1,1
000030003826,GRAHAM,WHITE,M,48,ROBBINSVILLE,NC,28771,UNA,1,1,1
000030004517,GRAHAM,WHITE,F,27,ROBBINSVILLE,NC,28771,REP,1,1,1
000000001127,GRAHAM,WHITE,M,69,ROBBINSVILLE,NC,28771,REP,1,1,1
000000002945,GRAHAM,WHITE,F,69,ROBBINSVILLE,NC,28771,REP,1,1,1
000000006871,GRAHAM,WHITE,M,46,ROBBINSVILLE,NC,28771,REP,1,1,1
000000002947,GRAHAM,WHITE,F,64,ROBBINSVILLE,NC,28771,DEM,1,1,1
000030006243,GRAHAM,WHITE,F,77,ROBBINSVILLE,NC,28771,REP,0,1,1
000030001637,GRAHAM,WHITE,F,73,ROBBINSVILLE,NC,28771,REP,1,1,1
000030000484,GRAHAM,WHITE,F,41,ROBBINSVILLE,NC,28771,DEM,1,1,1
000000001133,GRAHAM,WHITE,F,82,ROBBINSVILLE,NC,28771,REP,1,1,1
000030007728,GRAHAM,WHITE,M,19,ROBBINSVILLE,NC,28771,REP,0,0,1
000000001452,GRAHAM,WHITE,F,57,ROBBINSVILLE,NC,28771,REP,1,1,1
000000001132,GRAHAM,WHITE,F,73,ROBBINSVILLE,NC,28771,REP,1,1,1
000000001129,GRAHAM,WHITE,M,62,ROBBINSVILLE,NC,28771,REP,1,1,1
000000002951,GRAHAM,WHITE,M,82,ROBBINSVILLE,NC,28771,REP,1,1,0
000030005715,GRAHAM,WHITE,M,49,ROBBINSVILLE,NC,28771,REP,0,0,1
000030000095,GRAHAM,WHITE,M,44,ROBBINSVILLE,NC,28771,UNA,1,1,1
000030000266,GRAHAM,WHITE,M,42,ROBBINSVILLE,NC,28771,REP,1,1,1
000000001142,GRAHAM,WHITE,M,60,ROBBINSVILLE,NC,28771,REP,1,1,1
000000002953,GRAHAM,WHITE,F,77,ROBBINSVILLE,NC,28771,DEM,1,0,1
000030006244,GRAHAM,WHITE,M,75,ROBBINSVILLE,NC,28771,REP,0,1,1
000000002948,GRAHAM,WHITE,F,81,ROBBINSVILLE,NC,28771,REP,1,1,1
000030003007,GRAHAM,WHITE,F,35,ROBBINSVILLE,NC,28771,REP,1,1,1
000030003500,GRAHAM,WHITE,F,37,ROBBINSVILLE,NC,28771,UNA,1,1,1
000030006271,GRAHAM,WHITE,F,67,ROBBINSVILLE,NC,28771,REP,0,1,1
000030003290,GRAHAM,WHITE,M,32,ROBBINSVILLE,NC,28771,REP,1,1,1
000000001155,GRAHAM,WHITE,M,69,ROBBINSVILLE,NC,28771,REP,1,1,1
000030000353,GRAHAM,WHITE,F,41,ROBBINSVILLE,NC,28771,REP,1,1,1
000000001158,GRAHAM,WHITE,F,63,ROBBINSVILLE,NC,28771,REP,1,1,1
000000007972,GRAHAM,WHITE,F,70,ROBBINSVILLE,NC,28771,DEM,1,1,1
000000001161,GRAHAM,WHITE,M,60,ROBBINSVILLE,NC,28771,REP,1,1,1
000030002333,GRAHAM,WHITE,M,68,ROBBINSVILLE,NC,28771,DEM,1,1,1
000000003609,GRAHAM,WHITE,F,59,ROBBINSVILLE,NC,28771,REP,1,1,1
000000001165,GRAHAM,WHITE,M,71,ROBBINSVILLE,NC,28771,DEM,1,1,1
000030003906,GRAHAM,WHITE,M,53,ROBBINSVILLE,NC,28771,REP,1,1,1
000000001167,GRAHAM,WHITE,F,58,ROBBINSVILLE,NC,28771,REP,1,1,1
000000007122,GRAHAM,WHITE,M,44,ROBBINSVILLE,NC,28771,REP,1,1,1
000030006935,GRAHAM,WHITE,F,42,ROBBINSVILLE,NC,28771,REP,0,0,1
000000001169,GRAHAM,WHITE,M,61,ROBBINSVILLE,NC,28771,REP,1,1,1
000000001171,GRAHAM,WHITE,F,63,ROBBINSVILLE,NC,28771,REP,1,1,1
000000001172,GRAHAM,WHITE,M,56,ROBBINSVILLE,NC,28771,REP,1,1,1
000030005441,GRAHAM,WHITE,M,31,ROBBINSVILLE,NC,28771,UNA,0,1,1
000000005430,GRAHAM,WHITE,M,49,ROBBINSVILLE,NC,28771,UNA,1,1,1
000030004206,GRAHAM,WHITE,M,29,ROBBINSVILLE,NC,28771,REP,1,0,1
000030007929,GRAHAM,OTHER,M,18,ROBBINSVILLE,NC,28771,UNA,0,0,1
000030002329,GRAHAM,WHITE,F,35,ROBBINSVILLE,NC,28771,REP,1,1,1
000000000006,GRAHAM,WHITE,F,65,ROBBINSVILLE,NC,28771,REP,1,1,1
000030006996,GRAHAM,WHITE,F,20,ROBBINSVILLE,NC,28771,REP,0,0,1
000030004614,GRAHAM,UNDESIGNATED,M,27,ROBBINSVILLE,NC,28771,REP,1,1,1
000000000010,GRAHAM,WHITE,M,64,ROBBINSVILLE,NC,28771,REP,1,1,1
000030003859,GRAHAM,WHITE,M,77,ROBBINSVILLE,NC,28771,REP,1,1,1
000030003856,GRAHAM,WHITE,F,77,ROBBINSVILLE,NC,28771,REP,1,1,1
000030007091,GRAHAM,WHITE,F,56,ROBBINSVILLE,NC,28771,REP,0,0,1
000030002170,GRAHAM,WHITE,M,77,ROBBINSVILLE,NC,28771,REP,1,1,1
000030003414,GRAHAM,WHITE,F,51,ROBBINSVILLE,NC,28771,REP,1,1,1
000030007090,GRAHAM,WHITE,M,61,ROBBINSVILLE,NC,28771,REP,0,0,1
000030005507,GRAHAM,WHITE,M,45,ROBBINSVILLE,NC,28771,UNA,0,0,1
000000007256,GRAHAM,WHITE,M,45,ROBBINSVILLE,NC,28771,REP,1,1,1
000000003304,GRAHAM,WHITE,F,75,ROBBINSVILLE,NC,28771,UNA,1,1,1
000030006469,GRAHAM,WHITE,F,73,ROBBINSVILLE,NC,28771,UNA,0,1,1
000000001179,GRAHAM,WHITE,F,70,ROBBINSVILLE,NC,28771,REP,1,1,1
000030005188,GRAHAM,WHITE,F,46,ROBBINSVILLE,NC,28771,UNA,0,1,1
000000003178,GRAHAM,WHITE,F,72,ROBBINSVILLE,NC,28771,DEM,1,1,1
000030007375,GRAHAM,WHITE,M,33,ROBBINSVILLE,NC,28771,REP,0,0,1
000030007376,GRAHAM,WHITE,F,31,ROBBINSVILLE,NC,28771,REP,0,0,1
000030004132,GRAHAM,WHITE,F,78,LAKE SANTEETLAH,NC,28771,REP,1,1,1
000030007546,GRAHAM,WHITE,F,55,ROBBINSVILLE,NC,28771,UNA,0,0,1
