voter_reg_num,county_desc,race,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000000112401,HALIFAX,WHITE,M,34,SCOTLAND NECK,NC,27874,REP,1,0,1
000000106195,HALIFAX,BLACK or AFRICAN AMERICAN,M,71,ROANOKE RAPIDS,NC,27870,DEM,0,1,1
000000045994,HALIFAX,BLACK or AFRICAN AMERICAN,F,53,ROANOKE RAPIDS,NC,27870,DEM,1,0,1
000000111447,HALIFAX,BLACK or AFRICAN AMERICAN,F,66,ROANOKE RAPIDS,NC,27870,DEM,0,0,1
000000111051,HALIFAX,OTHER,M,69,ROANOKE RAPIDS,NC,27870,UNA,0,0,1
000000048184,HALIFAX,BLACK or AFRICAN AMERICAN,F,57,ROANOKE RAPIDS,NC,27870,DEM,1,1,1
000000097353,HALIFAX,BLACK or AFRICAN AMERICAN,F,76,LITTLETON,NC,27850,DEM,0,1,1
000000093938,HALIFAX,BLACK or AFRICAN AMERICAN,F,30,ROANOKE RAPIDS,NC,27870,DEM,1,1,1
000000080532,HALIFAX,UNDESIGNATED,U,66,ROANOKE RAPIDS,NC,27870,UNA,1,1,1
000000067123,HALIFAX,BLACK or AFRICAN AMERICAN,M,53,ROANOKE RAPIDS,NC,27870,DEM,1,1,1
000000009385,HALIFAX,WHITE,M,83,ROANOKE RAPIDS,NC,27870,DEM,1,1,1
000000040677,HALIFAX,BLACK or AFRICAN AMERICAN,F,53,WELDON,NC,27890,DEM,1,0,1
000000092340,HALIFAX,WHITE,M,63,ROANOKE RAPIDS,NC,27870,REP,1,1,1
000000101500,HALIFAX,WHITE,M,62,ROANOKE RAPIDS,NC,27870,UNA,0,1,1
000000103443,HALIFAX,WHITE,F,65,ROANOKE RAPIDS,NC,27870,REP,0,1,1
000000077947,HALIFAX,BLACK or AFRICAN AMERICAN,M,43,ROANOKE RAPIDS,NC,27870,DEM,1,1,1
000000105556,HALIFAX,BLACK or AFRICAN AMERICAN,F,22,HALIFAX,NC,27839,DEM,0,1,1
000000094456,HALIFAX,BLACK or AFRICAN AMERICAN,M,46,HALIFAX,NC,27839,DEM,0,1,1
000000058092,HALIFAX,BLACK or AFRICAN AMERICAN,F,69,ROANOKE RAPIDS,NC,27870,DEM,1,1,1
000000078225,HALIFAX,BLACK or AFRICAN AMERICAN,F,60,ROANOKE RAPIDS,NC,27870,DEM,1,1,1
000000038148,HALIFAX,BLACK or AFRICAN AMERICAN,F,57,ENFIELD,NC,27823,DEM,1,1,1
000000070756,HALIFAX,BLACK or AFRICAN AMERICAN,M,36,ENFIELD,NC,27823,DEM,1,0,1
000000032132,HALIFAX,BLACK or AFRICAN AMERICAN,M,56,ENFIELD,NC,27823,DEM,1,1,1
000000098242,HALIFAX,UNDESIGNATED,U,24,ROANOKE RAPIDS,NC,27870,UNA,0,0,1
