voter_reg_num,county_desc,race,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000000264331,HAYWOOD,WHITE,F,49,WAYNESVILLE,NC,28786,DEM,0,1,1
000000225448,HAYWOOD,WHITE,F,75,CANTON,NC,28716,UNA,1,1,1
000000261042,HAYWOOD,WHITE,F,47,CANTON,NC,28716,DEM,0,0,1
000000279861,HAYWOOD,WHITE,M,49,CANTON,NC,28716,DEM,0,0,1
000000038061,HAYWOOD,WHITE,F,51,MAGGIE VALLEY,NC,28751,DEM,1,1,1
000000039586,HAYWOOD,WHITE,M,79,MAGGIE VALLEY,NC,28751,UNA,0,1,1
000000252282,HAYWOOD,WHITE,F,73,WAYNESVILLE,NC,28785,DEM,1,1,1
000000285551,HAYWOOD,WHITE,M,69,WAYNESVILLE,NC,28786,UNA,1,1,1
000000007224,HAYWOOD,WHITE,M,88,CANTON,NC,28716,DEM,1,1,1
000000040725,HAYWOOD,WHITE,M,83,WAYNESVILLE,NC,28785,REP,1,1,1
000000286335,HAYWOOD,WHITE,M,25,WAYNESVILLE,NC,28785,UNA,0,0,0
000000254406,HAYWOOD,WHITE,F,93,WAYNESVILLE,NC,28786,UNA,1,1,1
000000231264,HAYWOOD,WHITE,F,59,CANTON,NC,28716,REP,1,1,1
000000009763,HAYWOOD,WHITE,M,82,CANTON,NC,28716,DEM,1,1,1
000000033139,HAYWOOD,WHITE,M,80,WAYNESVILLE,NC,28786,DEM,1,1,1
000000009764,HAYWOOD,WHITE,F,79,CANTON,NC,28716,DEM,1,1,1
000000009765,HAYWOOD,WHITE,M,58,CANTON,NC,28716,DEM,1,1,1
000000258187,HAYWOOD,WHITE,F,85,MAGGIE VALLEY,NC,28751,UNA,1,1,1
000000279030,HAYWOOD,WHITE,M,62,WAYNESVILLE,NC,28786,UNA,0,0,1
000000271935,HAYWOOD,WHITE,F,22,MAGGIE VALLEY,NC,28751,DEM,0,1,1
