voter_reg_num,county_desc,race,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000000086933,HOKE,TWO or MORE RACES,M,47,RAEFORD,NC,28376,DEM,0,0,1
000000079202,HOKE,WHITE,M,54,RAEFORD,NC,28376,UNA,0,0,1
000000081368,HOKE,WHITE,F,40,RAEFORD,NC,28376,UNA,0,0,0
000000057078,HOKE,WHITE,F,47,RAEFORD,NC,28376,UNA,0,1,1
000000023667,HOKE,WHITE,M,79,FAYETTEVILLE,NC,28306,DEM,1,1,1
000000023666,HOKE,WHITE,F,71,FAYETTEVILLE,NC,28306,DEM,1,1,1
000000038025,HOKE,BLACK or AFRICAN AMERICAN,M,66,RAEFORD,NC,28376,REP,1,1,1
000000063946,HOKE,BLACK or AFRICAN AMERICAN,M,47,RAEFORD,NC,28376,UNA,0,1,1
000000079589,HOKE,BLACK or AFRICAN AMERICAN,F,45,RAEFORD,NC,28376,UNA,0,0,1
000000013711,HOKE,BLACK or AFRICAN AMERICAN,M,67,RAEFORD,NC,28376,DEM,1,1,1
000000068879,HOKE,BLACK or AFRICAN AMERICAN,F,27,RAEFORD,NC,28376,UNA,1,1,1
000000078161,HOKE,WHITE,M,36,RAEFORD,NC,28376,REP,1,1,1
000000079390,HOKE,WHITE,F,34,RAEFORD,NC,28376,REP,1,1,1
000000011604,HOKE,WHITE,M,67,RAEFORD,NC,28376,UNA,1,0,1
000000086042,HOKE,UNDESIGNATED,U,30,RAEFORD,NC,28376,REP,0,0,1
000000027535,HOKE,BLACK or AFRICAN AMERICAN,F,53,RAEFORD,NC,28376,UNA,1,1,1
000000052132,HOKE,BLACK or AFRICAN AMERICAN,F,28,RAEFORD,NC,28376,UNA,0,0,0
000000068791,HOKE,ASIAN,F,63,RAEFORD,NC,28376,UNA,0,1,1
000000071371,HOKE,OTHER,F,79,RAEFORD,NC,28376,DEM,0,1,1
000000004876,HOKE,WHITE,F,77,RAEFORD,NC,28376,UNA,1,1,1
000000054478,HOKE,WHITE,M,51,RAEFORD,NC,28376,REP,1,1,1
000000078250,HOKE,OTHER,M,61,RAEFORD,NC,28376,DEM,0,0,1
000000082732,HOKE,OTHER,M,26,RAEFORD,NC,28376,UNA,0,0,1
000000078304,HOKE,WHITE,F,20,RAEFORD,NC,28376,UNA,0,0,1
000000080334,HOKE,WHITE,M,36,FAYETTEVILLE,NC,28306,REP,0,0,1
000000080344,HOKE,WHITE,F,36,FAYETTEVILLE,NC,28306,REP,0,0,1
000000059121,HOKE,UNDESIGNATED,M,26,ABERDEEN,NC,28315,UNA,1,1,1
000000029936,HOKE,WHITE,M,56,ABERDEEN,NC,28315,UNA,1,1,1
000000044249,HOKE,WHITE,F,56,ABERDEEN,NC,28315,UNA,1,1,1
000000086586,HOKE,UNDESIGNATED,F,34,RAEFORD,NC,28376,REP,0,0,1
000000073055,HOKE,WHITE,M,50,RAEFORD,NC,28376,REP,0,1,1
000000079296,HOKE,BLACK or AFRICAN AMERICAN,F,42,RAEFORD,NC,28376,DEM,0,0,1
000000085949,HOKE,WHITE,F,50,RAEFORD,NC,28376,UNA,0,0,1
000000029110,HOKE,WHITE,M,65,LUMBER BRIDGE,NC,28357,REP,1,1,1
000000029111,HOKE,WHITE,F,68,LUMBER BRIDGE,NC,28357,REP,1,1,1
000000085277,HOKE,WHITE,F,25,RAEFORD,NC,28376,UNA,0,0,1
000000028610,HOKE,WHITE,M,68,RAEFORD,NC,28376,REP,1,1,1
000000083349,HOKE,UNDESIGNATED,U,24,RAEFORD,NC,28376,UNA,0,0,1
000000084583,HOKE,UNDESIGNATED,U,23,RAEFORD,NC,28376,UNA,0,0,0
000000051656,HOKE,BLACK or AFRICAN AMERICAN,F,56,RAEFORD,NC,28376,DEM,1,1,1
000000006780,HOKE,BLACK or AFRICAN AMERICAN,F,58,RAEFORD,NC,28376,DEM,1,1,1
000000079215,HOKE,WHITE,F,29,ABERDEEN,NC,28315,UNA,1,1,1
000000022788,HOKE,INDIAN AMERICAN or ALASKA NATIVE,F,74,RED SPRINGS,NC,28377,REP,1,1,1
000000066306,HOKE,BLACK or AFRICAN AMERICAN,F,31,RAEFORD,NC,28376,DEM,1,1,1
000000032439,HOKE,BLACK or AFRICAN AMERICAN,M,35,RAEFORD,NC,28376,UNA,1,1,1
000000012626,HOKE,WHITE,M,73,RAEFORD,NC,28376,REP,1,1,1
000000018878,HOKE,BLACK or AFRICAN AMERICAN,M,68,RED SPRINGS,NC,28377,DEM,1,0,1
000000033024,HOKE,WHITE,M,55,RAEFORD,NC,28376,REP,1,1,1
000000012625,HOKE,WHITE,F,70,RAEFORD,NC,28376,UNA,1,1,1
