voter_reg_num,county_desc,race,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000030048749,LEE,WHITE,U,33,SANFORD,NC,27330,DEM,0,1,1
000030046131,LEE,WHITE,F,32,SANFORD,NC,27332,UNA,0,1,1
000030039019,LEE,WHITE,M,70,SANFORD,NC,27330,REP,0,1,1
000030050773,LEE,BLACK or AFRICAN AMERICAN,F,49,SANFORD,NC,27330,REP,1,1,1
000030056528,LEE,WHITE,M,58,SANFORD,NC,27330,UNA,0,0,1
000030032116,LEE,WHITE,M,42,SANFORD,NC,27330,UNA,1,1,1
000000051690,LEE,WHITE,F,45,SANFORD,NC,27330,UNA,1,1,1
000030030303,LEE,WHITE,M,55,SANFORD,NC,27330,REP,1,0,1
000000044136,LEE,WHITE,F,52,SANFORD,NC,27330,REP,1,0,1
000000030616,LEE,WHITE,F,60,SANFORD,NC,27330,REP,1,1,1
000030014447,LEE,WHITE,F,66,SANFORD,NC,27330,DEM,1,0,1
000030057125,LEE,WHITE,F,20,SANFORD,NC,27330,DEM,0,0,1
000030051237,LEE,WHITE,M,23,SANFORD,NC,27330,REP,0,1,1
000000051995,LEE,WHITE,M,61,SANFORD,NC,27330,REP,1,1,1
000030051254,LEE,UNDESIGNATED,M,24,SANFORD,NC,27330,UNA,0,1,1
000030027163,LEE,WHITE,M,31,SANFORD,NC,27330,UNA,1,1,1
000030007115,LEE,WHITE,M,65,SANFORD,NC,27330,UNA,1,1,1
000030007116,LEE,WHITE,F,67,SANFORD,NC,27330,UNA,1,1,1
000030054282,LEE,WHITE,M,31,SANFORD,NC,27330,UNA,1,0,1
000030059804,LEE,WHITE,F,30,SANFORD,NC,27330,UNA,1,0,1
000030064245,LEE,WHITE,M,34,SANFORD,NC,27330,REP,1,1,1
000030026492,LEE,WHITE,M,61,SANFORD,NC,27332,UNA,1,1,0
000030057025,LEE,WHITE,F,75,SANFORD,NC,27330,REP,0,0,1
000030060691,LEE,OTHER,M,46,SANFORD,NC,27330,UNA,0,0,1
000030030407,LEE,WHITE,F,41,CAMERON,NC,28326,UNA,0,1,1
000030061890,LEE,UNDESIGNATED,F,87,SANFORD,NC,27332,REP,0,0,1
000030065249,LEE,WHITE,F,44,SANFORD,NC,27330,DEM,0,0,1
000030060327,LEE,WHITE,F,55,SANFORD,NC,27330,REP,0,0,1
000030050734,LEE,WHITE,F,80,CAMERON,NC,28326,UNA,0,1,1
000030047499,LEE,OTHER,F,22,SANFORD,NC,27332,UNA,0,1,0
000030055674,LEE,OTHER,F,20,SANFORD,NC,27332,DEM,0,0,1
000030004725,LEE,OTHER,F,58,SANFORD,NC,27330,UNA,1,1,1
000030061378,LEE,OTHER,F,18,SANFORD,NC,27330,LIB,0,0,1
000030063759,LEE,WHITE,F,44,SANFORD,NC,27330,UNA,0,0,1
000030063569,LEE,WHITE,M,75,SANFORD,NC,27332,REP,0,0,1
