voter_reg_num,county_desc,race,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000000074092,MACON,UNDESIGNATED,U,49,TOPTON,NC,28781,REP,0,0,1
000000058509,MACON,WHITE,F,53,OTTO,NC,28763,REP,0,1,1
000000002185,MACON,WHITE,M,79,FRANKLIN,NC,28734,UNA,1,1,1
000000045615,MACON,WHITE,M,53,FRANKLIN,NC,28734,REP,1,1,1
000000070054,MACON,WHITE,F,29,OTTO,NC,28763,UNA,1,1,1
000000065915,MACON,WHITE,F,82,FRANKLIN,NC,28734,UNA,0,0,1
000000036330,MACON,WHITE,F,76,OTTO,NC,28763,UNA,1,1,1
000000002187,MACON,WHITE,F,75,FRANKLIN,NC,28734,REP,1,1,1
000000065556,MACON,UNDESIGNATED,M,25,OTTO,NC,28763,UNA,0,1,1
000000038651,MACON,WHITE,F,85,FRANKLIN,NC,28734,DEM,1,1,1
000000020543,MACON,WHITE,F,52,FRANKLIN,NC,28734,REP,1,1,1
000000036196,MACON,WHITE,M,76,OTTO,NC,28763,UNA,1,1,1
000000069373,MACON,WHITE,F,47,BRYSON CITY,NC,28713,REP,0,0,1
000000069372,MACON,WHITE,M,54,BRYSON CITY,NC,28713,REP,0,0,1
000000026659,MACON,WHITE,M,67,FRANKLIN,NC,28734,DEM,1,1,1
000000031269,MACON,WHITE,F,86,FRANKLIN,NC,28734,DEM,1,1,1
000000050798,MACON,WHITE,F,75,FRANKLIN,NC,28734,REP,1,1,1
000000025151,MACON,WHITE,M,67,FRANKLIN,NC,28734,LIB,0,1,1
000000030188,MACON,WHITE,M,89,FRANKLIN,NC,28734,DEM,1,1,1
000000039745,MACON,WHITE,M,52,HIGHLANDS,NC,28741,DEM,1,1,1
000000063538,MACON,WHITE,M,72,FRANKLIN,NC,28734,REP,0,1,1
000000073636,MACON,UNDESIGNATED,M,31,FRANKLIN,NC,28734,DEM,0,0,1
000000054223,MACON,OTHER,F,41,FRANKLIN,NC,28734,DEM,1,0,0
000000058179,MACON,WHITE,F,54,FRANKLIN,NC,28734,DEM,0,1,1
000000064756,MACON,WHITE,F,61,HIGHLANDS,NC,28741,REP,0,1,1
000000064758,MACON,WHITE,M,81,HIGHLANDS,NC,28741,REP,0,1,1
000000062943,MACON,WHITE,M,70,OTTO,NC,28763,REP,0,1,1
000000063191,MACON,WHITE,F,69,OTTO,NC,28763,REP,0,1,1
000000070264,MACON,WHITE,F,69,HIGHLANDS,NC,28741,DEM,0,0,1
000000069294,MACON,WHITE,M,83,FRANKLIN,NC,28734,REP,0,0,1
000000069293,MACON,WHITE,F,82,FRANKLIN,NC,28734,REP,0,0,1
000000047684,MACON,WHITE,F,85,FRANKLIN,NC,28734,REP,1,1,1
000000064771,MACON,UNDESIGNATED,M,70,FRANKLIN,NC,28734,REP,0,1,1
000000068860,MACON,WHITE,M,44,FRANKLIN,NC,28734,UNA,0,0,1
000000067289,MACON,WHITE,M,61,HIGHLANDS,NC,28741,UNA,0,0,1
000000065583,MACON,WHITE,F,79,FRANKLIN,NC,28734,REP,0,1,1
000000028631,MACON,WHITE,M,59,FRANKLIN,NC,28734,UNA,1,1,1
000000062325,MACON,WHITE,M,24,FRANKLIN,NC,28734,REP,0,1,1
000000046905,MACON,WHITE,F,79,OTTO,NC,28763,UNA,1,1,1
000000044109,MACON,WHITE,F,44,FRANKLIN,NC,28734,UNA,1,1,1
000000050355,MACON,WHITE,M,55,FRANKLIN,NC,28734,REP,1,1,1
000000039190,MACON,WHITE,M,66,FRANKLIN,NC,28734,REP,1,1,1
000000072220,MACON,WHITE,F,77,FRANKLIN,NC,28734,UNA,0,0,1
000000046729,MACON,WHITE,M,76,FRANKLIN,NC,28734,REP,1,1,1
000000071874,MACON,WHITE,M,18,FRANKLIN,NC,28734,REP,0,0,1
000000069462,MACON,WHITE,F,29,FRANKLIN,NC,28734,REP,1,1,1
000000056638,MACON,OTHER,F,63,FRANKLIN,NC,28734,REP,1,1,1
000000067288,MACON,WHITE,F,66,HIGHLANDS,NC,28741,UNA,0,0,1
000000071567,MACON,WHITE,M,19,FRANKLIN,NC,28734,REP,0,0,1
000000033279,MACON,WHITE,F,54,FRANKLIN,NC,28734,REP,1,1,1
000000068318,MACON,WHITE,F,79,HIGHLANDS,NC,28741,REP,0,0,1
000000039964,MACON,WHITE,M,73,FRANKLIN,NC,28734,DEM,1,1,1
000000056918,MACON,WHITE,F,46,FRANKLIN,NC,28734,UNA,1,1,1
000000023491,MACON,WHITE,F,70,FRANKLIN,NC,28734,UNA,1,1,1
000000068319,MACON,WHITE,M,79,HIGHLANDS,NC,28741,REP,0,0,1
000000064524,MACON,WHITE,M,41,FRANKLIN,NC,28734,REP,0,0,1
000000068235,MACON,WHITE,F,21,FRANKLIN,NC,28734,REP,0,0,1
000000042245,MACON,BLACK or AFRICAN AMERICAN,F,43,FRANKLIN,NC,28734,DEM,1,1,1
000000056310,MACON,WHITE,M,35,FRANKLIN,NC,28734,UNA,1,1,1
000000048099,MACON,WHITE,F,70,FRANKLIN,NC,28734,UNA,1,1,1
000000043741,MACON,OTHER,F,49,FRANKLIN,NC,28734,REP,1,1,1
000000032734,MACON,WHITE,M,49,FRANKLIN,NC,28734,REP,1,1,1
000000052203,MACON,WHITE,F,51,FRANKLIN,NC,28734,REP,1,1,1
000000039966,MACON,WHITE,F,43,FRANKLIN,NC,28734,DEM,1,1,1
000000068338,MACON,WHITE,F,33,FRANKLIN,NC,28734,UNA,0,0,1
000000056088,MACON,WHITE,M,32,SCALY MTN,NC,28775,UNA,1,1,1
000000068123,MACON,WHITE,M,70,FRANKLIN,NC,28734,UNA,0,0,1
000000066514,MACON,WHITE,F,66,FRANKLIN,NC,28734,UNA,0,0,1
000000069633,MACON,WHITE,M,31,FRANKLIN,NC,28734,UNA,0,0,1
000000061756,MACON,WHITE,F,44,HIGHLANDS,NC,28741,REP,0,1,1
000000036419,MACON,WHITE,F,61,FRANKLIN,NC,28734,REP,1,1,1
000000037909,MACON,WHITE,F,74,FRANKLIN,NC,28734,REP,1,1,1
000000073355,MACON,WHITE,M,64,FRANKLIN,NC,28734,UNA,1,0,1
000000033285,MACON,WHITE,F,55,FRANKLIN,NC,28734,REP,1,0,1
000000054281,MACON,WHITE,M,57,FRANKLIN,NC,28734,DEM,0,0,1
