voter_reg_num,county_desc,race,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000030007213,MADISON,WHITE,F,54,MARSHALL,NC,28753,UNA,1,1,1
000030023710,MADISON,WHITE,M,65,MARS HILL,NC,28754,UNA,1,1,1
000030025032,MADISON,WHITE,M,34,MARS HILL,NC,28754,UNA,1,1,1
000030024395,MADISON,UNDESIGNATED,U,65,MARS HILL,NC,28754,UNA,1,1,1
000030006202,MADISON,WHITE,M,75,MARSHALL,NC,28753,REP,1,1,1
000030006201,MADISON,WHITE,F,70,MARSHALL,NC,28753,REP,1,1,1
000030016502,MADISON,UNDESIGNATED,M,66,HOT SPRINGS,NC,28743,DEM,1,1,1
000030019038,MADISON,WHITE,F,51,MARSHALL,NC,28753,UNA,1,1,1
000030005438,MADISON,WHITE,F,75,MARS HILL,NC,28754,DEM,1,1,1
000030005437,MADISON,WHITE,M,82,MARS HILL,NC,28754,DEM,1,1,1
000030028130,MADISON,WHITE,M,93,MARS HILL,NC,28754,UNA,0,0,1
000030028483,MADISON,WHITE,F,19,MARS HILL,NC,28754,DEM,0,0,0
000030005067,MADISON,WHITE,F,43,MARSHALL,NC,28753,UNA,0,1,0
000030026862,MADISON,WHITE,F,18,MARS HILL,NC,28754,NLB,0,0,1
000030007837,MADISON,WHITE,F,34,MARSHALL,NC,28753,UNA,1,1,1
000000000015,MADISON,WHITE,M,65,MARS HILL,NC,28754,DEM,1,1,1
000000000016,MADISON,WHITE,F,64,MARS HILL,NC,28754,DEM,1,1,1
000030000447,MADISON,WHITE,M,45,MARS HILL,NC,28754,UNA,1,1,1
000030021731,MADISON,WHITE,F,65,MARS HILL,NC,28754,UNA,1,1,1
000030022820,MADISON,WHITE,F,40,MARS HILL,NC,28754,UNA,0,1,1
000030013612,MADISON,WHITE,F,78,MARS HILL,NC,28754,DEM,1,1,1
000030003199,MADISON,WHITE,M,85,MARS HILL,NC,28754,REP,1,1,1
000030024286,MADISON,WHITE,F,37,LEICESTER,NC,28748,UNA,0,0,0
000030002322,MADISON,WHITE,M,68,MARS HILL,NC,28754,UNA,1,1,1
000030010823,MADISON,WHITE,M,77,LEICESTER,NC,28748,UNA,1,1,1
000030021698,MADISON,WHITE,M,25,MARSHALL,NC,28753,UNA,0,1,1
000000013777,MADISON,WHITE,M,78,MARS HILL,NC,28754,DEM,1,1,1
000030027206,MADISON,WHITE,M,47,MARSHALL,NC,28753,REP,1,1,1
000000000030,MADISON,WHITE,F,64,MARS HILL,NC,28754,DEM,1,1,1
000030015727,MADISON,OTHER,M,46,MARSHALL,NC,28753,UNA,1,1,1
000030012796,MADISON,WHITE,F,46,MARS HILL,NC,28754,UNA,1,1,1
000030021701,MADISON,WHITE,M,66,MARS HILL,NC,28754,REP,1,1,1
000000005403,MADISON,WHITE,F,61,MARSHALL,NC,28753,UNA,1,1,1
000030011819,MADISON,WHITE,F,69,LEICESTER,NC,28748,UNA,1,1,1
000000000034,MADISON,WHITE,F,52,HOT SPRINGS,NC,28743,DEM,1,1,1
