voter_reg_num,county_desc,race,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000000026141,MITCHELL,WHITE,M,71,SPRUCE PINE,NC,28777,REP,0,1,1
000000024704,MITCHELL,WHITE,F,77,SPRUCE PINE,NC,28777,REP,1,1,1
000000024695,MITCHELL,WHITE,M,77,SPRUCE PINE,NC,28777,REP,1,1,1
000000025220,MITCHELL,WHITE,F,72,BAKERSVILLE,NC,28705,REP,0,1,1
000000026104,MITCHELL,WHITE,F,42,BAKERSVILLE,NC,28705,REP,0,1,1
000000025221,MITCHELL,WHITE,M,77,BAKERSVILLE,NC,28705,REP,0,1,1
000000027056,MITCHELL,WHITE,F,61,BAKERSVILLE,NC,28705,REP,0,1,1
000000023558,MITCHELL,WHITE,M,62,BAKERSVILLE,NC,28705,REP,1,1,1
000000017033,MITCHELL,WHITE,F,81,BAKERSVILLE,NC,28705,REP,1,1,1
000000016972,MITCHELL,WHITE,M,83,BAKERSVILLE,NC,28705,REP,1,1,1
000000006708,MITCHELL,WHITE,F,62,SPRUCE PINE,NC,28777,REP,1,1,1
000000017432,MITCHELL,WHITE,M,65,SPRUCE PINE,NC,28777,REP,1,1,1
000000028339,MITCHELL,WHITE,F,49,SPRUCE PINE,NC,28777,UNA,0,1,1
000000022945,MITCHELL,WHITE,M,77,SPRUCE PINE,NC,28777,REP,1,1,1
000000022946,MITCHELL,WHITE,F,71,SPRUCE PINE,NC,28777,REP,1,1,1
000000026326,MITCHELL,WHITE,F,68,BAKERSVILLE,NC,28705,DEM,0,1,1
000000025182,MITCHELL,UNDESIGNATED,U,67,GREEN MOUNTAIN,NC,28740,UNA,0,1,1
000000011301,MITCHELL,OTHER,M,66,BAKERSVILLE,NC,28705,REP,1,1,1
000000010615,MITCHELL,WHITE,F,64,BAKERSVILLE,NC,28705,UNA,1,1,1
000000023895,MITCHELL,WHITE,M,76,SPRUCE PINE,NC,28777,REP,0,1,1
000000023881,MITCHELL,WHITE,F,79,SPRUCE PINE,NC,28777,REP,0,1,1
000000027352,MITCHELL,WHITE,F,60,BAKERSVILLE,NC,28705,UNA,1,0,1
000000010701,MITCHELL,WHITE,M,76,BAKERSVILLE,NC,28705,UNA,1,1,1
000000013321,MITCHELL,WHITE,F,60,BAKERSVILLE,NC,28705,REP,0,1,1
000000023505,MITCHELL,WHITE,F,72,SPRUCE PINE,NC,28777,REP,1,1,1
000000023506,MITCHELL,UNDESIGNATED,M,75,SPRUCE PINE,NC,28777,REP,1,1,1
000000024561,MITCHELL,WHITE,F,29,SPRUCE PINE,NC,28777,REP,0,1,1
000000026903,MITCHELL,UNDESIGNATED,U,36,SPRUCE PINE,NC,28777,DEM,0,0,1
000000009434,MITCHELL,WHITE,M,62,SPRUCE PINE,NC,28777,REP,1,1,1
000000026884,MITCHELL,WHITE,M,32,SPRUCE PINE,NC,28777,REP,1,1,1
000000026780,MITCHELL,UNDESIGNATED,U,35,SPRUCE PINE,NC,28777,UNA,0,1,1
000000000033,MITCHELL,WHITE,F,81,SPRUCE PINE,NC,28777,REP,1,1,1
000000018168,MITCHELL,WHITE,M,73,BAKERSVILLE,NC,28705,UNA,1,1,1
000000026089,MITCHELL,WHITE,M,73,BAKERSVILLE,NC,28705,DEM,0,1,1
000000018169,MITCHELL,WHITE,F,75,BAKERSVILLE,NC,28705,UNA,1,1,1
000000025156,MITCHELL,WHITE,F,63,BAKERSVILLE,NC,28705,UNA,0,1,1
000000024868,MITCHELL,UNDESIGNATED,U,59,SPRUCE PINE,NC,28777,REP,1,1,1
000000022215,MITCHELL,WHITE,F,77,BAKERSVILLE,NC,28705,DEM,1,1,1
000000024767,MITCHELL,WHITE,M,42,BAKERSVILLE,NC,28705,REP,1,1,1
000000024633,MITCHELL,WHITE,M,48,BAKERSVILLE,NC,28705,REP,1,1,1
000000026879,MITCHELL,WHITE,M,66,SPRUCE PINE,NC,28777,REP,0,0,1
000000026870,MITCHELL,WHITE,F,67,SPRUCE PINE,NC,28777,DEM,0,0,1
000000022284,MITCHELL,WHITE,F,80,SPRUCE PINE,NC,28777,REP,0,1,1
