voter_reg_num,county_desc,race,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000030046249,RUTHERFORD,WHITE,M,76,UNION MILLS,NC,28167,REP,0,0,0
000030046250,RUTHERFORD,WHITE,F,72,UNION MILLS,NC,28167,REP,0,0,0
000030063421,RUTHERFORD,UNDESIGNATED,U,59,RUTHERFORDTON,NC,28139,UNA,1,1,1
000030064804,RUTHERFORD,UNDESIGNATED,U,65,MOORESBORO,NC,28114,DEM,0,0,1
000030001440,RUTHERFORD,WHITE,M,64,FOREST CITY,NC,28043,UNA,1,1,1
000030020554,RUTHERFORD,UNDESIGNATED,F,60,FOREST CITY,NC,28043,DEM,0,0,1
000030034839,RUTHERFORD,WHITE,M,31,UNION MILLS,NC,28167,REP,1,1,1
000030009896,RUTHERFORD,ASIAN,F,70,UNION MILLS,NC,28167,REP,1,1,1
000030025792,RUTHERFORD,WHITE,F,32,UNION MILLS,NC,28167,REP,1,1,1
000030030205,RUTHERFORD,WHITE,M,58,RUTHERFORDTON,NC,28139,REP,1,1,1
000000029751,RUTHERFORD,WHITE,M,63,ELLENBORO,NC,28040,DEM,0,1,1
000030040936,RUTHERFORD,WHITE,M,31,FOREST CITY,NC,28043,REP,1,1,1
000000022998,RUTHERFORD,WHITE,M,66,FOREST CITY,NC,28043,REP,1,1,1
000030015315,RUTHERFORD,WHITE,F,36,FOREST CITY,NC,28043,UNA,1,1,1
000030032381,RUTHERFORD,WHITE,M,35,FOREST CITY,NC,28043,REP,0,1,1
000030017463,RUTHERFORD,WHITE,F,35,FOREST CITY,NC,28043,REP,0,1,1
000030009885,RUTHERFORD,BLACK or AFRICAN AMERICAN,F,42,SPINDALE,NC,28160,UNA,1,1,1
000000014136,RUTHERFORD,WHITE,F,62,RUTHERFORDTON,NC,28139,DEM,1,1,1
000030010359,RUTHERFORD,WHITE,M,46,RUTHERFORDTON,NC,28139,UNA,1,1,1
000000041288,RUTHERFORD,BLACK or AFRICAN AMERICAN,F,69,FOREST CITY,NC,28043,DEM,1,1,1
000030010618,RUTHERFORD,WHITE,F,38,RUTHERFORDTON,NC,28139,UNA,1,1,1
000000033666,RUTHERFORD,BLACK or AFRICAN AMERICAN,F,52,FOREST CITY,NC,28043,DEM,1,1,1
000000050289,RUTHERFORD,BLACK or AFRICAN AMERICAN,M,54,FOREST CITY,NC,28043,DEM,1,1,1
000030066108,RUTHERFORD,UNDESIGNATED,U,31,FOREST CITY,NC,28043,REP,0,0,1
000030055940,RUTHERFORD,WHITE,F,29,FOREST CITY,NC,28043,DEM,0,0,1
000030040483,RUTHERFORD,WHITE,F,63,FOREST CITY,NC,28043,UNA,0,0,1
000030053731,RUTHERFORD,UNDESIGNATED,U,90,FOREST CITY,NC,28043,REP,0,1,1
000030046049,RUTHERFORD,WHITE,F,55,FOREST CITY,NC,28043,REP,0,1,1
000030045020,RUTHERFORD,WHITE,M,56,FOREST CITY,NC,28043,REP,0,0,1
000030059548,RUTHERFORD,WHITE,M,40,RUTHERFORDTON,NC,28139,DEM,0,0,1
000030037589,RUTHERFORD,OTHER,M,52,BOSTIC,NC,28018,DEM,1,1,1
000030046006,RUTHERFORD,WHITE,F,36,BOSTIC,NC,28018,DEM,0,1,1
000030046822,RUTHERFORD,OTHER,M,68,RUTHERFORDTON,NC,28139,UNA,0,1,1
000030033687,RUTHERFORD,OTHER,M,29,FOREST CITY,NC,28043,UNA,1,1,1
000030054034,RUTHERFORD,UNDESIGNATED,U,60,RUTHERFORDTON,NC,28139,REP,0,1,1
000030032813,RUTHERFORD,WHITE,F,80,MOORESBORO,NC,28114,UNA,1,1,1
000030064857,RUTHERFORD,WHITE,F,19,MOORESBORO,NC,28114,REP,0,0,1
000030041037,RUTHERFORD,WHITE,M,74,FOREST CITY,NC,28043,REP,1,1,1
000030001951,RUTHERFORD,WHITE,F,44,FOREST CITY,NC,28043,UNA,1,1,1
000000037724,RUTHERFORD,WHITE,M,69,FOREST CITY,NC,28043,REP,1,1,1
000000009410,RUTHERFORD,WHITE,F,83,FOREST CITY,NC,28043,UNA,1,1,1
000030036608,RUTHERFORD,WHITE,M,30,BOSTIC,NC,28018,REP,0,1,1
000030035088,RUTHERFORD,WHITE,M,53,RUTHERFORDTON,NC,28139,UNA,1,1,1
000000033441,RUTHERFORD,WHITE,M,53,MOORESBORO,NC,28114,UNA,1,1,1
000030061742,RUTHERFORD,WHITE,F,38,FOREST CITY,NC,28043,REP,0,1,1
000000046234,RUTHERFORD,WHITE,M,46,FOREST CITY,NC,28043,REP,1,1,1
000030057043,RUTHERFORD,WHITE,M,21,FOREST CITY,NC,28043,REP,0,0,1
000000044291,RUTHERFORD,WHITE,F,67,FOREST CITY,NC,28043,UNA,1,1,1
000000002420,RUTHERFORD,WHITE,F,89,UNION MILLS,NC,28167,REP,1,1,1
000030041038,RUTHERFORD,WHITE,F,72,FOREST CITY,NC,28043,REP,1,1,1
000030045360,RUTHERFORD,WHITE,F,71,RUTHERFORDTON,NC,28139,DEM,0,1,1
000030052759,RUTHERFORD,UNDESIGNATED,U,28,UNION MILLS,NC,28167,REP,0,1,1
000030061791,RUTHERFORD,WHITE,M,41,FOREST CITY,NC,28043,REP,0,1,1
000030032942,RUTHERFORD,WHITE,M,71,FOREST CITY,NC,28043,REP,1,1,1
000030041516,RUTHERFORD,WHITE,F,28,BOSTIC,NC,28018,REP,0,1,1
000000029579,RUTHERFORD,WHITE,F,64,FOREST CITY,NC,28043,REP,1,1,1
000000030880,RUTHERFORD,WHITE,F,62,RUTHERFORDTON,NC,28139,REP,1,1,1
000030064597,RUTHERFORD,WHITE,F,71,BOSTIC,NC,28018,UNA,1,1,1
000030063422,RUTHERFORD,WHITE,M,68,BOSTIC,NC,28018,UNA,1,0,1
000030065896,RUTHERFORD,UNDESIGNATED,F,42,BOSTIC,NC,28018,UNA,1,1,1
000030065257,RUTHERFORD,WHITE,F,24,LAKE LURE,NC,28746,REP,0,0,1
000030047626,RUTHERFORD,OTHER,F,39,RUTHERFORDTON,NC,28139,REP,0,0,1
000030063423,RUTHERFORD,WHITE,M,47,LAKE LURE,NC,28746,REP,0,0,1
000030059103,RUTHERFORD,WHITE,M,40,FOREST CITY,NC,28043,UNA,0,0,1
000030066383,RUTHERFORD,UNDESIGNATED,U,61,FOREST CITY,NC,28043,REP,0,0,1
000030061117,RUTHERFORD,WHITE,M,52,MILL SPRING,NC,28756,UNA,0,0,1
000030060736,RUTHERFORD,WHITE,F,19,FOREST CITY,NC,28043,UNA,0,0,1
000000024965,RUTHERFORD,WHITE,F,86,BOSTIC,NC,28018,REP,1,1,1
000030037269,RUTHERFORD,WHITE,F,59,RUTHERFORDTON,NC,28139,DEM,1,1,1
000030062702,RUTHERFORD,WHITE,M,79,RUTHERFORDTON,NC,28139,DEM,0,0,1
000030065983,RUTHERFORD,WHITE,M,26,ELLENBORO,NC,28040,REP,0,0,1
000030047069,RUTHERFORD,WHITE,F,85,RUTHERFORDTON,NC,28139,DEM,0,1,1
000000025263,RUTHERFORD,WHITE,F,85,FOREST CITY,NC,28043,DEM,1,1,1
000030047130,RUTHERFORD,WHITE,F,57,RUTHERFORDTON,NC,28139,REP,0,1,1
000030062589,RUTHERFORD,WHITE,F,41,FOREST CITY,NC,28043,DEM,0,0,1
000030053242,RUTHERFORD,UNDESIGNATED,U,68,RUTHERFORDTON,NC,28139,REP,0,1,1
000000024401,RUTHERFORD,WHITE,F,87,RUTHERFORDTON,NC,28139,REP,1,1,1
000030002608,RUTHERFORD,WHITE,F,49,RUTHERFORDTON,NC,28139,UNA,0,0,1
000030005468,RUTHERFORD,WHITE,F,62,RUTHERFORDTON,NC,28139,REP,1,1,1
000030047585,RUTHERFORD,WHITE,F,84,MILL SPRING,NC,28756,REP,1,1,1
000030066308,RUTHERFORD,UNDESIGNATED,U,46,FOREST CITY,NC,28043,REP,0,1,1
000000047892,RUTHERFORD,WHITE,M,66,RUTHERFORDTON,NC,28139,UNA,1,1,1
000030065640,RUTHERFORD,WHITE,U,23,LAKE LURE,NC,28746,REP,0,1,1
000030029050,RUTHERFORD,WHITE,M,71,RUTHERFORDTON,NC,28139,REP,0,1,1
000030047629,RUTHERFORD,WHITE,M,56,RUTHERFORDTON,NC,28139,REP,0,1,1
000030048952,RUTHERFORD,WHITE,F,77,RUTHERFORDTON,NC,28139,UNA,1,1,1
000030063305,RUTHERFORD,WHITE,M,72,SPINDALE,NC,28160,UNA,0,1,1
000030025273,RUTHERFORD,WHITE,F,39,RUTHERFORDTON,NC,28139,UNA,1,1,1
000030051736,RUTHERFORD,WHITE,F,54,RUTHERFORDTON,NC,28139,REP,0,1,1
000030047441,RUTHERFORD,WHITE,F,74,SPINDALE,NC,28160,UNA,1,1,1
000030057083,RUTHERFORD,WHITE,M,49,LAKE LURE,NC,28746,UNA,0,0,1
000030012675,RUTHERFORD,WHITE,M,41,RUTHERFORDTON,NC,28139,REP,1,1,1
000030064809,RUTHERFORD,WHITE,F,25,FOREST CITY,NC,28043,REP,0,0,1
000030048786,RUTHERFORD,WHITE,M,72,RUTHERFORDTON,NC,28139,REP,0,1,1
000030046717,RUTHERFORD,WHITE,F,55,FOREST CITY,NC,28043,REP,1,1,1
000030048788,RUTHERFORD,WHITE,F,70,RUTHERFORDTON,NC,28139,REP,0,1,1
000030046765,RUTHERFORD,WHITE,M,58,FOREST CITY,NC,28043,REP,1,1,1
000030050460,RUTHERFORD,WHITE,M,37,ELLENBORO,NC,28040,REP,0,1,1
000030031289,RUTHERFORD,WHITE,M,57,ELLENBORO,NC,28040,UNA,1,1,1
000030063424,RUTHERFORD,WHITE,M,67,BOSTIC,NC,28018,UNA,0,0,1
000030008461,RUTHERFORD,WHITE,M,46,RUTHERFORDTON,NC,28139,REP,1,1,1
000030032326,RUTHERFORD,UNDESIGNATED,F,30,UNION MILLS,NC,28167,REP,1,1,1
000030054340,RUTHERFORD,WHITE,F,60,LAKE LURE,NC,28746,UNA,0,0,1
000030014156,RUTHERFORD,WHITE,F,58,MOORESBORO,NC,28114,REP,0,1,1
000000030264,RUTHERFORD,WHITE,M,58,RUTHERFORDTON,NC,28139,REP,1,1,1
000030046793,RUTHERFORD,WHITE,M,28,SPINDALE,NC,28160,REP,1,1,1
000030062402,RUTHERFORD,WHITE,F,50,RUTHERFORDTON,NC,28139,DEM,0,0,1
000030062404,RUTHERFORD,WHITE,M,51,RUTHERFORDTON,NC,28139,UNA,0,0,1
000030063426,RUTHERFORD,WHITE,M,47,MOORESBORO,NC,28114,REP,1,1,1
000030046788,RUTHERFORD,WHITE,F,27,SPINDALE,NC,28160,REP,1,1,1
000030009278,RUTHERFORD,WHITE,F,46,RUTHERFORDTON,NC,28139,REP,0,1,1
000000020457,RUTHERFORD,WHITE,M,76,SPINDALE,NC,28160,UNA,1,1,1
000030058008,RUTHERFORD,UNDESIGNATED,U,33,LAKE LURE,NC,28746,DEM,1,1,1
000000030374,RUTHERFORD,WHITE,F,55,RUTHERFORDTON,NC,28139,REP,1,1,1
000000020458,RUTHERFORD,WHITE,F,76,SPINDALE,NC,28160,REP,1,1,1
000030032143,RUTHERFORD,WHITE,M,52,MOORESBORO,NC,28114,REP,1,1,1
000030059450,RUTHERFORD,WHITE,M,28,RUTHERFORDTON,NC,28139,UNA,0,0,1
000030002410,RUTHERFORD,WHITE,M,64,RUTHERFORDTON,NC,28139,REP,1,1,1
000030023091,RUTHERFORD,WHITE,F,60,RUTHERFORDTON,NC,28139,REP,1,1,1
000030038545,RUTHERFORD,WHITE,F,40,RUTHERFORDTON,NC,28139,REP,1,1,1
000030020839,RUTHERFORD,WHITE,M,45,FOREST CITY,NC,28043,REP,0,1,1
000000043472,RUTHERFORD,WHITE,F,49,RUTHERFORDTON,NC,28139,UNA,1,1,1
000000037590,RUTHERFORD,WHITE,F,72,RUTHERFORDTON,NC,28139,UNA,1,1,1
000030057347,RUTHERFORD,WHITE,M,73,UNION MILLS,NC,28167,UNA,0,0,1
000030056757,RUTHERFORD,WHITE,F,76,UNION MILLS,NC,28167,DEM,0,0,1
000030060366,RUTHERFORD,OTHER,F,48,FOREST CITY,NC,28043,UNA,0,0,1
000030052809,RUTHERFORD,UNDESIGNATED,U,71,LAKE LURE,NC,28746,DEM,1,1,1
000000040587,RUTHERFORD,WHITE,F,71,RUTHERFORDTON,NC,28139,REP,1,1,1
000030065570,RUTHERFORD,OTHER,F,33,RUTHERFORDTON,NC,28139,REP,0,0,1
000030024133,RUTHERFORD,WHITE,M,59,RUTHERFORDTON,NC,28139,UNA,1,1,1
000030064888,RUTHERFORD,WHITE,M,76,FOREST CITY,NC,28043,DEM,0,0,1
000030064889,RUTHERFORD,WHITE,F,73,FOREST CITY,NC,28043,DEM,0,0,1
000000030038,RUTHERFORD,WHITE,F,81,SPINDALE,NC,28160,REP,1,1,1
000000010644,RUTHERFORD,WHITE,F,77,RUTHERFORDTON,NC,28139,UNA,1,1,1
000030053837,RUTHERFORD,UNDESIGNATED,U,65,RUTHERFORDTON,NC,28139,REP,0,1,1
000030052585,RUTHERFORD,WHITE,M,66,RUTHERFORDTON,NC,28139,LIB,1,1,1
000030026320,RUTHERFORD,WHITE,M,93,SPINDALE,NC,28160,REP,1,1,1
000000010645,RUTHERFORD,WHITE,M,79,RUTHERFORDTON,NC,28139,REP,1,1,1
000000042202,RUTHERFORD,BLACK or AFRICAN AMERICAN,F,57,FOREST CITY,NC,28043,DEM,1,1,1
000000020461,RUTHERFORD,BLACK or AFRICAN AMERICAN,F,80,SPINDALE,NC,28160,DEM,1,1,1
000030065350,RUTHERFORD,WHITE,M,62,RUTHERFORDTON,NC,28139,DEM,0,0,1
000030043386,RUTHERFORD,BLACK or AFRICAN AMERICAN,M,28,SPINDALE,NC,28160,UNA,0,1,1
000030051339,RUTHERFORD,WHITE,M,40,RUTHERFORDTON,NC,28139,REP,0,1,1
000030032497,RUTHERFORD,OTHER,M,42,ELLENBORO,NC,28040,REP,1,1,1
000030040765,RUTHERFORD,WHITE,F,43,ELLENBORO,NC,28040,REP,1,1,1
000030065649,RUTHERFORD,WHITE,M,37,RUTHERFORDTON,NC,28139,REP,0,0,1
000030030980,RUTHERFORD,BLACK or AFRICAN AMERICAN,U,49,FOREST CITY,NC,28043,UNA,1,1,1
000030030982,RUTHERFORD,BLACK or AFRICAN AMERICAN,M,54,FOREST CITY,NC,28043,UNA,1,1,1
000030038996,RUTHERFORD,OTHER,F,27,RUTHERFORDTON,NC,28139,DEM,0,1,1
000030036873,RUTHERFORD,WHITE,M,57,FOREST CITY,NC,28043,REP,0,0,1
000030035688,RUTHERFORD,WHITE,F,55,FOREST CITY,NC,28043,REP,1,1,1
000030057423,RUTHERFORD,WHITE,F,57,RUTHERFORDTON,NC,28139,UNA,0,0,1
000030066469,RUTHERFORD,UNDESIGNATED,U,36,RUTHERFORDTON,NC,28139,UNA,0,0,1
000030038457,RUTHERFORD,UNDESIGNATED,F,38,RUTHERFORDTON,NC,28139,REP,1,1,1
000030057672,RUTHERFORD,OTHER,M,42,RUTHERFORDTON,NC,28139,UNA,0,0,1
000030059363,RUTHERFORD,WHITE,F,40,RUTHERFORDTON,NC,28139,UNA,0,0,1
000030030823,RUTHERFORD,OTHER,M,34,FOREST CITY,NC,28043,DEM,1,1,1
000030049860,RUTHERFORD,WHITE,F,22,RUTHERFORDTON,NC,28139,DEM,0,1,1
000030005187,RUTHERFORD,WHITE,F,49,RUTHERFORDTON,NC,28139,UNA,1,1,1
000030005188,RUTHERFORD,WHITE,M,54,RUTHERFORDTON,NC,28139,REP,1,1,1
000030046051,RUTHERFORD,WHITE,F,82,SPINDALE,NC,28160,DEM,0,1,1
000030053030,RUTHERFORD,UNDESIGNATED,U,66,ELLENBORO,NC,28040,DEM,0,1,1
000030040662,RUTHERFORD,WHITE,M,55,ELLENBORO,NC,28040,REP,1,1,1
000030039433,RUTHERFORD,WHITE,F,51,MOORESBORO,NC,28114,REP,1,1,1
000000004469,RUTHERFORD,WHITE,F,79,FOREST CITY,NC,28043,REP,1,1,1
000030035863,RUTHERFORD,WHITE,F,52,LAKE LURE,NC,28746,UNA,1,0,0
000000006516,RUTHERFORD,WHITE,F,78,BOSTIC,NC,28018,UNA,1,1,1
000000032705,RUTHERFORD,WHITE,M,53,RUTHERFORDTON,NC,28139,REP,1,1,1
000030034534,RUTHERFORD,WHITE,F,64,FOREST CITY,NC,28043,REP,1,1,1
000030044302,RUTHERFORD,WHITE,M,24,RUTHERFORDTON,NC,28139,REP,0,1,1
000030051711,RUTHERFORD,WHITE,M,73,FOREST CITY,NC,28043,UNA,0,1,1
000000019670,RUTHERFORD,WHITE,M,69,FOREST CITY,NC,28043,REP,1,1,1
000030011182,RUTHERFORD,WHITE,M,70,FOREST CITY,NC,28043,REP,1,1,1
000000038708,RUTHERFORD,WHITE,F,54,RUTHERFORDTON,NC,28139,REP,1,1,1
000030064845,RUTHERFORD,UNDESIGNATED,F,44,FOREST CITY,NC,28043,UNA,0,0,1
000030054373,RUTHERFORD,UNDESIGNATED,F,22,FOREST CITY,NC,28043,UNA,0,0,0
000030026443,RUTHERFORD,OTHER,F,34,FOREST CITY,NC,28043,DEM,1,1,1
000030054441,RUTHERFORD,UNDESIGNATED,M,22,FOREST CITY,NC,28043,DEM,0,0,1
000030046328,RUTHERFORD,WHITE,F,41,RUTHERFORDTON,NC,28139,UNA,0,1,1
000030046920,RUTHERFORD,WHITE,F,70,FOREST CITY,NC,28043,DEM,0,1,1
000030046803,RUTHERFORD,WHITE,M,71,FOREST CITY,NC,28043,UNA,0,1,1
000030037214,RUTHERFORD,WHITE,F,71,ELLENBORO,NC,28040,REP,1,1,1
000030034349,RUTHERFORD,WHITE,F,28,FOREST CITY,NC,28043,REP,1,1,1
000000046506,RUTHERFORD,UNDESIGNATED,U,50,MOORESBORO,NC,28114,REP,1,1,1
000000035261,RUTHERFORD,WHITE,F,54,BOSTIC,NC,28018,REP,1,1,1
000000032903,RUTHERFORD,WHITE,F,54,ELLENBORO,NC,28040,REP,1,1,1
000030020173,RUTHERFORD,WHITE,F,34,SPINDALE,NC,28160,UNA,1,1,1
000030016824,RUTHERFORD,BLACK or AFRICAN AMERICAN,F,51,FOREST CITY,NC,28043,DEM,1,1,1
000030007571,RUTHERFORD,BLACK or AFRICAN AMERICAN,M,61,FOREST CITY,NC,28043,DEM,1,1,1
000030035764,RUTHERFORD,WHITE,F,72,FOREST CITY,NC,28043,UNA,1,1,1
000030066026,RUTHERFORD,WHITE,M,31,SPINDALE,NC,28160,REP,0,0,1
000000040023,RUTHERFORD,WHITE,F,62,FOREST CITY,NC,28043,DEM,1,1,1
000030053389,RUTHERFORD,UNDESIGNATED,U,27,FOREST CITY,NC,28043,REP,0,1,1
000030038026,RUTHERFORD,WHITE,F,26,RUTHERFORDTON,NC,28139,DEM,1,1,1
000030065280,RUTHERFORD,WHITE,F,71,MOORESBORO,NC,28114,REP,0,0,1
000000016556,RUTHERFORD,WHITE,M,82,RUTHERFORDTON,NC,28139,REP,1,1,1
000030057215,RUTHERFORD,WHITE,M,39,UNION MILLS,NC,28167,UNA,0,0,1
000030015695,RUTHERFORD,WHITE,M,36,FOREST CITY,NC,28043,REP,1,1,1
000030059288,RUTHERFORD,UNDESIGNATED,U,40,SPINDALE,NC,28160,UNA,1,1,1
000030049445,RUTHERFORD,WHITE,M,29,FOREST CITY,NC,28043,REP,0,1,1
000030065279,RUTHERFORD,UNDESIGNATED,M,72,MOORESBORO,NC,28114,REP,0,0,1
000000016557,RUTHERFORD,WHITE,F,83,RUTHERFORDTON,NC,28139,DEM,1,1,1
000030046397,RUTHERFORD,WHITE,F,53,FOREST CITY,NC,28043,REP,1,1,1
000030060948,RUTHERFORD,BLACK or AFRICAN AMERICAN,M,30,FOREST CITY,NC,28043,DEM,0,0,1
000000037243,RUTHERFORD,WHITE,F,64,FOREST CITY,NC,28043,REP,1,1,1
000000003005,RUTHERFORD,WHITE,M,60,RUTHERFORDTON,NC,28139,UNA,1,1,1
000030023291,RUTHERFORD,BLACK or AFRICAN AMERICAN,M,54,FOREST CITY,NC,28043,DEM,1,1,1
000030065010,RUTHERFORD,WHITE,F,40,RUTHERFORDTON,NC,28139,REP,1,1,1
000030056758,RUTHERFORD,WHITE,F,74,UNION MILLS,NC,28167,REP,0,0,1
000000034432,RUTHERFORD,WHITE,F,55,RUTHERFORDTON,NC,28139,UNA,1,1,1
000030042920,RUTHERFORD,WHITE,F,74,RUTHERFORDTON,NC,28139,DEM,0,1,1
000030003890,RUTHERFORD,WHITE,F,78,SPINDALE,NC,28160,UNA,1,1,1
000030058575,RUTHERFORD,WHITE,F,38,FOREST CITY,NC,28043,REP,0,0,1
000030066214,RUTHERFORD,UNDESIGNATED,U,18,MOORESBORO,NC,28114,REP,0,0,1
000000048424,RUTHERFORD,WHITE,F,64,RUTHERFORDTON,NC,28139,DEM,1,0,0
000030061053,RUTHERFORD,WHITE,M,53,MOORESBORO,NC,28114,REP,0,1,1
000030017636,RUTHERFORD,BLACK or AFRICAN AMERICAN,F,62,FOREST CITY,NC,28043,DEM,0,1,1
000000038521,RUTHERFORD,WHITE,M,62,FOREST CITY,NC,28043,REP,1,1,1
000030063428,RUTHERFORD,WHITE,F,46,MOORESBORO,NC,28114,REP,0,1,1
000000050211,RUTHERFORD,WHITE,M,75,FOREST CITY,NC,28043,DEM,1,1,1
000030022496,RUTHERFORD,UNDESIGNATED,U,55,MOORESBORO,NC,28114,UNA,1,1,1
000030004227,RUTHERFORD,WHITE,M,47,SPINDALE,NC,28160,DEM,0,1,1
000000049401,RUTHERFORD,WHITE,F,47,RUTHERFORDTON,NC,28139,UNA,1,1,1
000000045367,RUTHERFORD,WHITE,M,52,RUTHERFORDTON,NC,28139,REP,1,1,1
000030060005,RUTHERFORD,WHITE,F,62,RUTHERFORDTON,NC,28139,REP,0,0,1
000030058420,RUTHERFORD,WHITE,F,25,RUTHERFORDTON,NC,28139,UNA,0,0,1
000030011890,RUTHERFORD,WHITE,F,63,ELLENBORO,NC,28040,REP,1,1,1
000030006504,RUTHERFORD,WHITE,M,67,ELLENBORO,NC,28040,REP,1,1,1
000030041302,RUTHERFORD,UNDESIGNATED,U,31,ELLENBORO,NC,28040,REP,1,1,1
000030061936,RUTHERFORD,WHITE,M,19,RUTHERFORDTON,NC,28139,REP,0,0,1
000000044927,RUTHERFORD,WHITE,F,47,BOSTIC,NC,28018,REP,1,1,1
000000000904,RUTHERFORD,WHITE,F,70,FOREST CITY,NC,28043,REP,1,1,1
000000049768,RUTHERFORD,WHITE,M,65,BOSTIC,NC,28018,UNA,1,1,1
000000049476,RUTHERFORD,WHITE,M,82,FOREST CITY,NC,28043,REP,1,1,1
000000050417,RUTHERFORD,WHITE,F,85,FOREST CITY,NC,28043,REP,1,1,1
000000028732,RUTHERFORD,WHITE,F,78,RUTHERFORDTON,NC,28139,UNA,1,1,1
000000036585,RUTHERFORD,WHITE,M,50,RUTHERFORDTON,NC,28139,REP,1,1,1
000030063223,RUTHERFORD,WHITE,M,37,ELLENBORO,NC,28040,REP,0,0,1
000030059550,RUTHERFORD,WHITE,F,20,FOREST CITY,NC,28043,UNA,0,0,1
000030059035,RUTHERFORD,WHITE,F,20,RUTHERFORDTON,NC,28139,REP,0,0,1
000000033727,RUTHERFORD,WHITE,M,52,BOSTIC,NC,28018,REP,1,1,1
000030001043,RUTHERFORD,WHITE,F,42,ELLENBORO,NC,28040,UNA,1,1,1
000030054807,RUTHERFORD,WHITE,M,50,MOORESBORO,NC,28114,REP,0,0,1
000030056325,RUTHERFORD,WHITE,F,80,FOREST CITY,NC,28043,REP,0,0,1
000030060011,RUTHERFORD,WHITE,F,20,RUTHERFORDTON,NC,28139,REP,0,0,1
000030010053,RUTHERFORD,WHITE,M,38,BOSTIC,NC,28018,REP,1,1,1
