voter_reg_num,county_desc,race,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000000012228,STANLY,WHITE,F,43,ALBEMARLE,NC,28001,REP,1,0,1
000000045108,STANLY,WHITE,M,41,ALBEMARLE,NC,28001,REP,1,1,1
000000087824,STANLY,UNDESIGNATED,M,68,OAKBORO,NC,28129,DEM,1,1,1
000000053906,STANLY,WHITE,F,84,LOCUST,NC,28097,UNA,1,1,1
000000066143,STANLY,WHITE,M,56,LOCUST,NC,28097,REP,1,1,1
000000077117,STANLY,UNDESIGNATED,M,63,LOCUST,NC,28097,REP,0,1,1
000000080372,STANLY,WHITE,M,52,ALBEMARLE,NC,28001,REP,0,1,1
000000065324,STANLY,WHITE,M,30,NORWOOD,NC,28128,REP,1,1,1
000000000008,STANLY,WHITE,M,71,ALBEMARLE,NC,28001,DEM,1,1,1
000000080764,STANLY,WHITE,F,60,MT PLEASANT,NC,28124,REP,0,1,1
000000000010,STANLY,WHITE,F,88,ALBEMARLE,NC,28001,REP,1,1,1
000000101138,STANLY,UNDESIGNATED,U,33,NORWOOD,NC,28128,REP,0,0,1
000000000012,STANLY,WHITE,M,61,MT PLEASANT,NC,28124,REP,1,1,1
000000000013,STANLY,WHITE,F,73,ALBEMARLE,NC,28001,UNA,1,1,1
000000000014,STANLY,WHITE,F,65,NEW LONDON,NC,28127,REP,1,1,1
000000000015,STANLY,WHITE,F,90,NEW LONDON,NC,28127,REP,1,1,1
000000100645,STANLY,WHITE,U,24,ALBEMARLE,NC,28001,UNA,0,0,1
000000006600,STANLY,WHITE,F,81,NEW LONDON,NC,28127,REP,1,1,1
000000092880,STANLY,BLACK or AFRICAN AMERICAN,F,52,ALBEMARLE,NC,28001,DEM,1,1,1
000000000021,STANLY,BLACK or AFRICAN AMERICAN,F,53,ALBEMARLE,NC,28001,DEM,1,1,1
000000077839,STANLY,BLACK or AFRICAN AMERICAN,F,25,ALBEMARLE,NC,28001,DEM,0,1,1
000000075534,STANLY,WHITE,M,46,LOCUST,NC,28097,REP,1,1,1
000000098721,STANLY,WHITE,M,67,ALBEMARLE,NC,28001,REP,0,0,1
000000076592,STANLY,UNDESIGNATED,U,29,ALBEMARLE,NC,28001,DEM,0,1,1
000000073321,STANLY,WHITE,F,35,BADIN,NC,28009,REP,1,1,1
000000000027,STANLY,OTHER,M,56,ALBEMARLE,NC,28001,DEM,1,1,1
000000000030,STANLY,WHITE,F,67,ALBEMARLE,NC,28001,REP,1,1,1
000000101756,STANLY,WHITE,M,40,LOCUST,NC,28097,DEM,0,0,1
000000085766,STANLY,UNDESIGNATED,U,65,ALBEMARLE,NC,28001,REP,0,1,1
000000092753,STANLY,WHITE,M,31,ALBEMARLE,NC,28001,UNA,0,0,1
000000000038,STANLY,WHITE,M,78,ALBEMARLE,NC,28001,UNA,1,1,1
000000092757,STANLY,WHITE,U,35,ALBEMARLE,NC,28001,UNA,1,0,1
000000101090,STANLY,WHITE,M,25,ALBEMARLE,NC,28001,REP,0,1,1
000000000040,STANLY,WHITE,F,89,ALBEMARLE,NC,28001,UNA,1,1,1
000000000041,STANLY,WHITE,M,88,STANFIELD,NC,28163,REP,1,1,1
000000092744,STANLY,WHITE,U,31,NORWOOD,NC,28128,REP,1,1,1
000000000045,STANLY,WHITE,F,67,LOCUST,NC,28097,UNA,1,1,1
000000000046,STANLY,WHITE,M,58,ALBEMARLE,NC,28001,REP,1,1,1
000000081029,STANLY,WHITE,F,68,ALBEMARLE,NC,28001,UNA,0,1,1
000000000048,STANLY,WHITE,F,77,ALBEMARLE,NC,28001,UNA,1,1,1
000000067990,STANLY,WHITE,F,37,ALBEMARLE,NC,28001,UNA,0,1,1
000000082586,STANLY,WHITE,M,53,LOCUST,NC,28097,UNA,1,1,1
000000000054,STANLY,WHITE,F,74,ALBEMARLE,NC,28001,UNA,1,1,1
