voter_reg_num,county_desc,race,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000030042928,SURRY,UNDESIGNATED,U,58,DOBSON,NC,27017,REP,0,1,1
000030037461,SURRY,UNDESIGNATED,F,42,DOBSON,NC,27017,REP,1,1,1
000030033473,SURRY,WHITE,F,30,DOBSON,NC,27017,LIB,1,1,1
000030038907,SURRY,WHITE,M,75,LOWGAP,NC,27024,UNA,0,1,1
000030023488,SURRY,WHITE,F,49,ELKIN,NC,28621,REP,1,1,1
000030052351,SURRY,WHITE,F,31,MOUNT AIRY,NC,27030,UNA,1,1,1
000030051383,SURRY,WHITE,M,30,MOUNT AIRY,NC,27030,UNA,1,1,1
000030016981,SURRY,WHITE,F,77,MOUNT AIRY,NC,27030,REP,1,1,1
000030016994,SURRY,WHITE,M,75,MOUNT AIRY,NC,27030,REP,1,1,1
000000012944,SURRY,WHITE,F,62,MOUNT AIRY,NC,27030,DEM,1,1,1
000030048696,SURRY,UNDESIGNATED,U,66,THURMOND,NC,28683,REP,0,1,1
000030009815,SURRY,WHITE,F,81,PINNACLE,NC,27043,REP,1,1,1
000000041185,SURRY,WHITE,F,54,PINNACLE,NC,27043,REP,0,1,1
000030050922,SURRY,UNDESIGNATED,M,62,MOUNT AIRY,NC,27030,REP,0,1,1
000000008426,SURRY,BLACK or AFRICAN AMERICAN,F,62,ELKIN,NC,28621,DEM,1,1,1
000030037003,SURRY,BLACK or AFRICAN AMERICAN,M,67,ELKIN,NC,28621,DEM,1,1,1
000030063729,SURRY,UNDESIGNATED,M,27,PILOT MOUNTAIN,NC,27041,REP,0,1,1
000030014918,SURRY,OTHER,F,49,MOUNT AIRY,NC,27030,REP,1,1,1
000030020325,SURRY,UNDESIGNATED,F,67,STATE ROAD,NC,28676,REP,1,1,1
000030064256,SURRY,UNDESIGNATED,F,28,PINNACLE,NC,27043,REP,0,0,1
000030061135,SURRY,WHITE,U,38,ELKIN,NC,28621,UNA,1,1,1
