voter_reg_num,county_desc,race,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000000005647,TYRRELL,UNDESIGNATED,U,53,COLUMBIA,NC,27925,REP,0,1,1
000000000704,TYRRELL,WHITE,M,64,COLUMBIA,NC,27925,REP,1,1,1
000000000698,TYRRELL,WHITE,F,61,COLUMBIA,NC,27925,UNA,1,1,1
000000001743,TYRRELL,BLACK or AFRICAN AMERICAN,F,64,COLUMBIA,NC,27925,DEM,1,1,1
000000001739,TYRRELL,BLACK or AFRICAN AMERICAN,M,75,COLUMBIA,NC,27925,DEM,1,1,1
000000001737,TYRRELL,BLACK or AFRICAN AMERICAN,F,75,COLUMBIA,NC,27925,DEM,1,1,1
000000006198,TYRRELL,UNDESIGNATED,U,65,COLUMBIA,NC,27925,DEM,0,0,1
000000003120,TYRRELL,BLACK or AFRICAN AMERICAN,M,39,COLUMBIA,NC,27925,DEM,0,0,0
000000001731,TYRRELL,BLACK or AFRICAN AMERICAN,F,68,COLUMBIA,NC,27925,DEM,1,0,1
000000005352,TYRRELL,BLACK or AFRICAN AMERICAN,M,72,COLUMBIA,NC,27925,DEM,0,1,1
000000006052,TYRRELL,ASIAN,M,52,COLUMBIA,NC,27925,REP,0,0,1
000000006111,TYRRELL,ASIAN,F,49,COLUMBIA,NC,27925,UNA,0,0,1
000000002953,TYRRELL,WHITE,F,66,COLUMBIA,NC,27925,UNA,1,1,1
000000002954,TYRRELL,WHITE,M,70,COLUMBIA,NC,27925,UNA,0,1,1
000000000229,TYRRELL,BLACK or AFRICAN AMERICAN,F,65,COLUMBIA,NC,27925,DEM,1,1,1
000000005991,TYRRELL,BLACK or AFRICAN AMERICAN,M,69,COLUMBIA,NC,27925,DEM,1,0,1
000000006028,TYRRELL,WHITE,M,75,COLUMBIA,NC,27925,REP,1,1,1
000000006025,TYRRELL,WHITE,F,69,COLUMBIA,NC,27925,REP,1,1,1
000000005838,TYRRELL,WHITE,M,57,COLUMBIA,NC,27925,UNA,0,1,1
000000005771,TYRRELL,WHITE,F,56,COLUMBIA,NC,27925,REP,0,0,1
000000006233,TYRRELL,WHITE,F,67,COLUMBIA,NC,27925,REP,0,0,1
000000005001,TYRRELL,UNDESIGNATED,M,65,COLUMBIA,NC,27925,UNA,1,1,1
000000003736,TYRRELL,WHITE,M,35,COLUMBIA,NC,27925,UNA,1,1,1
000000001759,TYRRELL,WHITE,M,51,COLUMBIA,NC,27925,UNA,1,1,1
000000006199,TYRRELL,UNDESIGNATED,U,18,COLUMBIA,NC,27925,REP,0,0,1
000000004959,TYRRELL,WHITE,F,58,COLUMBIA,NC,27925,UNA,1,1,1
000000000717,TYRRELL,WHITE,F,68,COLUMBIA,NC,27925,REP,1,1,1
000000001757,TYRRELL,WHITE,F,68,COLUMBIA,NC,27925,UNA,1,1,1
000000004703,TYRRELL,WHITE,F,55,COLUMBIA,NC,27925,UNA,1,1,1
000000005650,TYRRELL,UNDESIGNATED,U,32,COLUMBIA,NC,27925,UNA,0,0,1
000000002496,TYRRELL,WHITE,M,49,COLUMBIA,NC,27925,DEM,1,1,1
000000005512,TYRRELL,UNDESIGNATED,U,35,COLUMBIA,NC,27925,UNA,0,0,1
000000000714,TYRRELL,WHITE,M,62,COLUMBIA,NC,27925,UNA,1,1,1
000000002497,TYRRELL,WHITE,F,47,COLUMBIA,NC,27925,DEM,1,1,1
000000000713,TYRRELL,WHITE,F,69,COLUMBIA,NC,27925,UNA,1,1,1
000000000711,TYRRELL,WHITE,F,62,COLUMBIA,NC,27925,DEM,1,1,1
000000000726,TYRRELL,WHITE,M,56,COLUMBIA,NC,27925,UNA,1,1,1
000000006132,TYRRELL,WHITE,M,63,COLUMBIA,NC,27925,REP,0,1,1
000000000241,TYRRELL,WHITE,F,75,COLUMBIA,NC,27925,REP,1,1,1
000000001753,TYRRELL,WHITE,F,81,COLUMBIA,NC,27925,DEM,1,1,1
000000006205,TYRRELL,WHITE,F,56,COLUMBIA,NC,27925,REP,1,1,1
000000006200,TYRRELL,UNDESIGNATED,U,57,COLUMBIA,NC,27925,REP,1,1,1
000000000710,TYRRELL,WHITE,M,69,COLUMBIA,NC,27925,REP,1,1,1
000000002693,TYRRELL,WHITE,M,60,COLUMBIA,NC,27925,UNA,1,1,1
000000001752,TYRRELL,WHITE,M,71,COLUMBIA,NC,27925,UNA,1,1,1
000000006090,TYRRELL,UNDESIGNATED,U,39,COLUMBIA,NC,27925,UNA,0,0,1
000000005276,TYRRELL,WHITE,F,24,COLUMBIA,NC,27925,UNA,0,1,1
000000002955,TYRRELL,WHITE,M,47,COLUMBIA,NC,27925,UNA,1,1,1
000000002506,TYRRELL,WHITE,F,45,COLUMBIA,NC,27925,UNA,1,1,1
000000006022,TYRRELL,UNDESIGNATED,U,53,COLUMBIA,NC,27925,LIB,1,1,1
000000005604,TYRRELL,BLACK or AFRICAN AMERICAN,M,56,COLUMBIA,NC,27925,DEM,1,1,1
000000003355,TYRRELL,BLACK or AFRICAN AMERICAN,F,69,COLUMBIA,NC,27925,DEM,1,1,1
000000004993,TYRRELL,BLACK or AFRICAN AMERICAN,F,47,COLUMBIA,NC,27925,DEM,1,1,1
000000000062,TYRRELL,BLACK or AFRICAN AMERICAN,F,84,COLUMBIA,NC,27925,DEM,1,1,1
000000003974,TYRRELL,BLACK or AFRICAN AMERICAN,M,52,COLUMBIA,NC,27925,DEM,1,1,1
000000004690,TYRRELL,WHITE,M,75,COLUMBIA,NC,27925,REP,1,1,1
000000003996,TYRRELL,WHITE,F,75,COLUMBIA,NC,27925,DEM,0,1,1
000000003995,TYRRELL,WHITE,M,82,COLUMBIA,NC,27925,REP,1,1,1
000000000261,TYRRELL,BLACK or AFRICAN AMERICAN,F,68,COLUMBIA,NC,27925,DEM,1,1,1
000000000258,TYRRELL,BLACK or AFRICAN AMERICAN,F,87,COLUMBIA,NC,27925,DEM,1,1,1
000000005897,TYRRELL,UNDESIGNATED,U,66,COLUMBIA,NC,27925,UNA,1,1,1
000000004792,TYRRELL,WHITE,M,33,CRESWELL,NC,27928,REP,0,0,0
000000003988,TYRRELL,WHITE,M,65,CRESWELL,NC,27928,REP,1,1,1
000000006240,TYRRELL,WHITE,F,58,COLUMBIA,NC,27925,REP,0,0,1
000000005661,TYRRELL,UNDESIGNATED,U,54,COLUMBIA,NC,27925,REP,0,1,1
000000006219,TYRRELL,UNDESIGNATED,U,45,COLUMBIA,NC,27925,DEM,1,1,1
000000001595,TYRRELL,BLACK or AFRICAN AMERICAN,F,80,COLUMBIA,NC,27925,DEM,1,1,1
000000006216,TYRRELL,BLACK or AFRICAN AMERICAN,M,72,COLUMBIA,NC,27925,DEM,0,0,1
000000005063,TYRRELL,UNDESIGNATED,U,49,COLUMBIA,NC,27925,DEM,1,1,1
000000000254,TYRRELL,BLACK or AFRICAN AMERICAN,M,65,COLUMBIA,NC,27925,DEM,1,1,1
000000000253,TYRRELL,BLACK or AFRICAN AMERICAN,F,85,COLUMBIA,NC,27925,DEM,0,1,1
000000002571,TYRRELL,BLACK or AFRICAN AMERICAN,M,84,COLUMBIA,NC,27925,DEM,1,1,1
000000004024,TYRRELL,BLACK or AFRICAN AMERICAN,F,56,COLUMBIA,NC,27925,DEM,1,0,1
000000001592,TYRRELL,BLACK or AFRICAN AMERICAN,F,70,COLUMBIA,NC,27925,DEM,1,1,1
000000001591,TYRRELL,BLACK or AFRICAN AMERICAN,F,69,COLUMBIA,NC,27925,DEM,1,1,1
000000005522,TYRRELL,UNDESIGNATED,U,73,COLUMBIA,NC,27925,DEM,0,1,1
000000006195,TYRRELL,UNDESIGNATED,U,59,COLUMBIA,NC,27925,DEM,1,0,1
000000003516,TYRRELL,BLACK or AFRICAN AMERICAN,F,38,COLUMBIA,NC,27925,DEM,1,0,1
000000006217,TYRRELL,BLACK or AFRICAN AMERICAN,F,87,COLUMBIA,NC,27925,DEM,0,0,1
000000006214,TYRRELL,UNDESIGNATED,F,19,COLUMBIA,NC,27925,DEM,0,0,1
000000000272,TYRRELL,BLACK or AFRICAN AMERICAN,F,54,COLUMBIA,NC,27925,DEM,1,1,1
000000001580,TYRRELL,BLACK or AFRICAN AMERICAN,F,65,COLUMBIA,NC,27925,DEM,1,1,1
000000004056,TYRRELL,BLACK or AFRICAN AMERICAN,F,68,COLUMBIA,NC,27925,DEM,1,1,1
