voter_reg_num,county_desc,race,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000000027729,WARREN,WHITE,M,28,WARRENTON,NC,27589,REP,1,0,1
000000029576,WARREN,WHITE,F,27,WARRENTON,NC,27589,REP,1,0,1
000000026902,WARREN,WHITE,F,76,NORLINA,NC,27563,DEM,1,1,1
000000035273,WARREN,WHITE,F,22,WARRENTON,NC,27589,REP,0,0,1
000000026646,WARREN,WHITE,F,55,NORLINA,NC,27563,UNA,1,1,1
000000000548,WARREN,WHITE,M,68,HENDERSON,NC,27537,DEM,1,1,1
000000031312,WARREN,WHITE,M,49,HENDERSON,NC,27537,REP,0,1,1
000000034738,WARREN,WHITE,M,34,NORLINA,NC,27563,REP,0,1,1
000000011509,WARREN,WHITE,F,67,HENDERSON,NC,27537,UNA,1,1,1
000000029654,WARREN,WHITE,F,44,HENDERSON,NC,27537,UNA,1,1,1
000000035543,WARREN,WHITE,M,67,HENDERSON,NC,27537,REP,0,1,1
000000023310,WARREN,WHITE,M,35,NORLINA,NC,27563,UNA,1,1,1
000000021610,WARREN,WHITE,F,79,NORLINA,NC,27563,DEM,1,1,1
000000009759,WARREN,BLACK or AFRICAN AMERICAN,F,72,NORLINA,NC,27563,UNA,1,0,1
000000030170,WARREN,WHITE,M,32,NORLINA,NC,27563,NLB,0,0,1
000000030768,WARREN,WHITE,F,31,NORLINA,NC,27563,REP,0,1,1
000000032936,WARREN,UNDESIGNATED,U,35,NORLINA,NC,27563,UNA,0,1,1
000000032647,WARREN,UNDESIGNATED,U,59,MANSON,NC,27553,UNA,0,1,1
000000026528,WARREN,WHITE,M,44,WARRENTON,NC,27589,UNA,1,1,1
000000027794,WARREN,WHITE,F,70,LITTLETON,NC,27850,UNA,1,0,1
000000028140,WARREN,WHITE,M,75,LITTLETON,NC,27850,UNA,1,0,1
000000030581,WARREN,WHITE,M,63,LITTLETON,NC,27850,UNA,0,1,1
000000030959,WARREN,WHITE,F,61,LITTLETON,NC,27850,UNA,0,1,1
000000023737,WARREN,INDIAN AMERICAN or ALASKA NATIVE,F,75,WARRENTON,NC,27589,DEM,1,1,1
000000032579,WARREN,OTHER,F,26,MACON,NC,27551,DEM,1,1,1
000000030838,WARREN,WHITE,F,73,LITTLETON,NC,27850,REP,0,1,1
000000000514,WARREN,WHITE,F,68,WARRENTON,NC,27589,UNA,1,1,1
000000005557,WARREN,WHITE,F,71,MANSON,NC,27553,DEM,1,1,1
000000009803,WARREN,WHITE,M,65,LITTLETON,NC,27850,REP,1,1,1
000000023455,WARREN,BLACK or AFRICAN AMERICAN,F,56,WARRENTON,NC,27589,DEM,1,1,1
000000036987,WARREN,BLACK or AFRICAN AMERICAN,M,32,WARRENTON,NC,27589,DEM,1,1,1
000000000506,WARREN,WHITE,M,67,WARRENTON,NC,27589,UNA,1,1,1
000000021361,WARREN,BLACK or AFRICAN AMERICAN,F,66,MANSON,NC,27553,DEM,1,1,1
000000009792,WARREN,WHITE,F,68,LITTLETON,NC,27850,REP,1,1,1
000000036843,WARREN,WHITE,F,81,WARRENTON,NC,27589,REP,0,0,1
000000030837,WARREN,WHITE,M,78,LITTLETON,NC,27850,UNA,1,1,1
000000033088,WARREN,UNDESIGNATED,U,75,MANSON,NC,27553,DEM,0,1,1
000000030328,WARREN,BLACK or AFRICAN AMERICAN,F,53,NORLINA,NC,27563,DEM,0,1,1
000000023407,WARREN,WHITE,M,63,MANSON,NC,27553,REP,1,1,1
000000024864,WARREN,BLACK or AFRICAN AMERICAN,M,73,NORLINA,NC,27563,DEM,1,1,1
000000000792,WARREN,WHITE,M,75,MACON,NC,27551,DEM,1,1,1
000000000793,WARREN,WHITE,F,75,MACON,NC,27551,DEM,1,1,1
000000020478,WARREN,BLACK or AFRICAN AMERICAN,M,60,WARRENTON,NC,27589,DEM,1,1,1
000000030248,WARREN,BLACK or AFRICAN AMERICAN,F,60,WARRENTON,NC,27589,DEM,0,1,1
000000036838,WARREN,WHITE,M,62,LITTLETON,NC,27850,REP,0,0,1
000000034375,WARREN,INDIAN AMERICAN or ALASKA NATIVE,M,34,WARRENTON,NC,27589,REP,0,1,1
000000035060,WARREN,BLACK or AFRICAN AMERICAN,F,65,WARRENTON,NC,27589,DEM,0,0,1
000000031841,WARREN,WHITE,F,63,HENDERSON,NC,27537,UNA,1,1,1
000000032459,WARREN,UNDESIGNATED,M,38,HENDERSON,NC,27537,REP,1,1,1
000000036936,WARREN,BLACK or AFRICAN AMERICAN,F,31,NORLINA,NC,27563,UNA,0,0,1
000000006126,WARREN,BLACK or AFRICAN AMERICAN,F,80,MANSON,NC,27553,DEM,1,1,1
000000001486,WARREN,BLACK or AFRICAN AMERICAN,M,82,MANSON,NC,27553,DEM,1,1,1
000000021829,WARREN,BLACK or AFRICAN AMERICAN,F,75,MANSON,NC,27553,DEM,1,1,1
000000021830,WARREN,BLACK or AFRICAN AMERICAN,M,75,MANSON,NC,27553,DEM,1,1,1
000000028133,WARREN,WHITE,M,71,MACON,NC,27551,REP,1,1,1
000000036683,WARREN,WHITE,F,72,MACON,NC,27551,UNA,0,0,1
000000014273,WARREN,BLACK or AFRICAN AMERICAN,F,61,WARRENTON,NC,27589,DEM,1,1,1
000000009005,WARREN,BLACK or AFRICAN AMERICAN,M,67,NORLINA,NC,27563,DEM,1,1,1
000000033670,WARREN,UNDESIGNATED,F,65,WARRENTON,NC,27589,DEM,0,0,1
000000014548,WARREN,BLACK or AFRICAN AMERICAN,M,49,NORLINA,NC,27563,DEM,0,1,1
000000022059,WARREN,BLACK or AFRICAN AMERICAN,M,72,NORLINA,NC,27563,DEM,1,1,1
000000022324,WARREN,BLACK or AFRICAN AMERICAN,F,61,WARRENTON,NC,27589,DEM,0,1,1
000000026634,WARREN,BLACK or AFRICAN AMERICAN,M,67,WARRENTON,NC,27589,DEM,1,1,1
000000019741,WARREN,BLACK or AFRICAN AMERICAN,M,37,WARRENTON,NC,27589,DEM,1,0,1
000000022669,WARREN,BLACK or AFRICAN AMERICAN,F,48,WARRENTON,NC,27589,DEM,1,1,1
000000005329,WARREN,BLACK or AFRICAN AMERICAN,F,73,NORLINA,NC,27563,DEM,1,1,1
000000026993,WARREN,BLACK or AFRICAN AMERICAN,M,61,NORLINA,NC,27563,DEM,0,1,1
000000028615,WARREN,WHITE,F,63,WARRENTON,NC,27589,REP,1,1,1
000000032651,WARREN,UNDESIGNATED,U,22,NORLINA,NC,27563,UNA,0,0,1
000000022291,WARREN,BLACK or AFRICAN AMERICAN,F,40,WARRENTON,NC,27589,DEM,1,1,1
000000011294,WARREN,BLACK or AFRICAN AMERICAN,F,78,NORLINA,NC,27563,DEM,1,1,1
000000015195,WARREN,BLACK or AFRICAN AMERICAN,F,63,WARRENTON,NC,27589,DEM,1,1,1
000000002147,WARREN,BLACK or AFRICAN AMERICAN,F,51,WARRENTON,NC,27589,DEM,1,1,1
000000031814,WARREN,BLACK or AFRICAN AMERICAN,F,23,WARRENTON,NC,27589,DEM,0,0,1
000000036012,WARREN,BLACK or AFRICAN AMERICAN,M,18,WARRENTON,NC,27589,DEM,0,0,1
000000026065,WARREN,BLACK or AFRICAN AMERICAN,M,34,NORLINA,NC,27563,UNA,1,1,1
000000035716,WARREN,WHITE,F,65,MACON,NC,27551,UNA,0,0,1
000000034766,WARREN,WHITE,F,62,MACON,NC,27551,UNA,0,0,1
000000034848,WARREN,OTHER,F,46,MACON,NC,27551,DEM,1,1,1
000000034765,WARREN,WHITE,M,65,MACON,NC,27551,REP,0,0,1
000000029808,WARREN,BLACK or AFRICAN AMERICAN,F,42,NORLINA,NC,27563,DEM,1,1,1
000000006005,WARREN,WHITE,M,67,WARRENTON,NC,27589,DEM,1,1,1
000000037148,WARREN,INDIAN AMERICAN or ALASKA NATIVE,M,49,WARRENTON,NC,27589,DEM,1,0,1
